SPN,STN,YEAR,CAPTURE_DATE,SPECIES,SEX,SHELL_CONDITION,LENGTH,WEIGHT,FEMALE_MATURITY,CLUTCH_FULLNESS,EGG_DEVELOPMENT,CLUTCH_COND,EGG_COLOR
113,103,2022,9/11/2022,69323,2,3,90.7,574,2,0,,5,
124,65,2022,9/12/2022,69323,2,3,103.3,910,2,0,,5,
121,65,2022,9/12/2022,69323,2,3,84.2,462,2,0,,5,
126,64,2022,9/12/2022,69323,2,2,89.5,499,1,0,,4,
159,81,2022,9/13/2022,69323,2,3,90.2,600,2,0,C:\Users\jon.richar\Work\GitRepos\EBSCrabLengthWeight\DATA,5,
160,81,2022,9/13/2022,69323,2,3,98.4,819,2,0,,5,
160,81,2022,9/13/2022,69323,2,4,88.9,538,2,0,,5,
161,69,2022,9/13/2022,69323,2,4,96.7,765,2,0,,5,
162,69,2022,9/13/2022,69323,2,3,106,940,2,0,,5,
162,69,2022,9/13/2022,69323,2,3,84.1,487,2,0,,5,
162,69,2022,9/13/2022,69323,2,3,99.4,796,2,0,,5,
162,69,2022,9/13/2022,69323,2,3,101.3,874,2,0,,5,
164,69,2022,9/13/2022,69323,2,3,93.8,742,2,0,,5,
166,68,2022,9/13/2022,69323,2,3,87.5,544,2,0,,5,
166,68,2022,9/13/2022,69323,2,3,91.1,652,2,0,,5,
166,68,2022,9/13/2022,69323,2,3,96.3,727,2,0,,5,
167,68,2022,9/13/2022,69323,2,3,92.4,660,2,0,,5,
167,68,2022,9/13/2022,69323,2,3,95.9,728,2,0,,5,
167,68,2022,9/13/2022,69323,2,3,95.2,777,2,0,,5,
170,80,2022,9/13/2022,69323,2,3,88.2,540,2,0,,5,
172,80,2022,9/13/2022,69323,2,3,89.5,594,2,0,,5,
172,80,2022,9/13/2022,69323,2,2,80.7,432,1,0,,4,
179,67,2022,9/13/2022,69323,2,3,94.2,690,2,0,,5,
179,67,2022,9/13/2022,69323,2,2,80.1,440,1,0,,4,
180,67,2022,9/13/2022,69323,2,3,110.7,1040,2,0,,5,
180,67,2022,9/13/2022,69323,2,3,79.8,423,2,0,,5,
181,66,2022,9/13/2022,69323,2,3,87.3,527,2,0,,5,
181,66,2022,9/13/2022,69323,2,2,97.3,790,1,0,,4,
181,66,2022,9/13/2022,69323,2,2,65.9,210,1,0,,4,
182,66,2022,9/13/2022,69323,2,2,85.8,488,1,0,,4,
182,66,2022,9/13/2022,69323,2,2,76.6,376,1,0,,4,
186,71,2022,9/14/2022,69323,2,3,90.9,644,1,0,,4,
186,71,2022,9/14/2022,69323,2,3,88.2,585,1,0,,4,
185,71,2022,9/14/2022,69323,2,3,103.1,987,2,0,,5,
192,72,2022,9/14/2022,69323,2,2,82.1,436,1,0,,4,
192,72,2022,9/14/2022,69323,2,2,84.1,485,1,0,,4,
192,72,2022,9/14/2022,69323,2,3,87.8,556,2,0,,5,
191,72,2022,9/14/2022,69323,2,2,78.4,395,1,0,,4,
