"","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.length","log10.weight","log.length","log.weight","Cooks_D","SC"
"12",-7495,201101,89,3,"G-15",69322,1,42.6,NA,2,NA,NA,NA,52,NA,NA,"2011",1.62940959910272,1.7160033436348,3.75185425327532,3.95124371858143,0.000263107898986811,"NS"
"13",-7497,201101,89,5,"I-15",69322,1,45,NA,2,NA,NA,NA,62,NA,NA,"2011",1.65321251377534,1.79239168949825,3.80666248977032,4.12713438504509,0.000147844802647869,"NS"
"15",-18756,201901,162,4,"J-16",69322,1,45.7,NA,2,NA,NA,NA,70,NA,NA,"2019",1.65991620006985,1.84509804001426,3.82209829790016,4.24849524204936,0.00175795011099587,"NS"
"19",-11686,200601,88,198,"J-13",69322,1,49.6,NA,2,NA,NA,NA,88,13.3,NA,"2006",1.6954816764902,1.94448267215017,3.90399083373088,4.47733681447821,0.000389576368284353,"NS"
"21",-18756,201901,162,4,"J-16",69322,1,50.5,NA,2,NA,NA,NA,90,NA,NA,"2019",1.70329137811866,1.95424250943932,3.92197333628131,4.49980967033027,9.37378147356549e-06,"NS"
"32",-6364,201001,89,5,"J-15",69322,1,54.1,NA,2,NA,NA,NA,106,NA,NA,"2010",1.73319726510657,2.02530586526477,3.99083418585244,4.66343909411207,0.00119426214009419,"NS"
"33",-18758,201901,162,6,"J-14",69322,1,54.3,NA,2,NA,NA,NA,112,NA,NA,"2019",1.73479982958885,2.04921802267018,3.99452422693989,4.71849887129509,6.35477991625401e-05,"NS"
"37",-7495,201101,89,3,"G-15",69322,1,55.1,NA,2,NA,NA,NA,116,NA,NA,"2011",1.74115159885179,2.06445798922692,4.00914971615887,4.75359019110636,0.00020210937900397,"NS"
"39",-18731,201901,94,11,"I-13",69322,1,55.4,NA,2,NA,NA,NA,128,NA,NA,"2019",1.74350976472843,2.10720996964787,4.01457959375324,4.85203026391962,0.00116535147248373,"NS"
"41",-18758,201901,162,6,"J-14",69322,1,56.6,NA,2,NA,NA,NA,128,NA,NA,"2019",1.75281643118827,2.10720996964787,4.03600898520914,4.85203026391962,2.99841852457115e-05,"NS"
