SURVEY_YEAR,BIOMASS_MALE_LE112,CV_BIOMASS_MALE_LE112,CI_BIOMASS_MALE_LE112,BIOMASS_MALE_GE113,CV_BIOMASS_MALE_GE113,CI_BIOMASS_MALE_GE113,BIOMASS_MALE_GE120,CV_BIOMASS_MALE_GE120,CI_BIOMASS_MALE_GE120,BIOMASS_MALE_GE125,CV_BIOMASS_MALE_GE125,CI_BIOMASS_MALE_GE125,BIOMASS_MALE_113TO124,CV_BIOMASS_MALE_113TO124,CI_BIOMASS_MALE_113TO124,BIOMASS_MALE_TOTAL,CV_BIOMASS_MALE_TOTAL,CI_BIOMASS_MALE_TOTAL,BIOMASS_FEMALE_IMMATURE,CV_BIOMASS_FEMALE_IMMATURE,CI_BIOMASS_FEMALE_IMMATURE,BIOMASS_FEMALE_MATURE,CV_BIOMASS_FEMALE_MATURE,CI_BIOMASS_FEMALE_MATURE,BIOMASS_FEMALE_TOTAL,CV_BIOMASS_FEMALE_TOTAL,CI_BIOMASS_FEMALE_TOTAL
1975,35536.07523,0.180140122,12546.88691,171637.7989,0.496602457,167062.075,163117.8362,0.516019279,164977.0185,153952.2571,0.528653357,159519.2599,17685.5418,0.255688403,8863.096379,207173.8741,0.416566808,169151.4483,9538.746674,0.246835614,4614.824694,18011.21625,0.194339717,6860.577554,27549.96292,0.167648154,9052.65281
1976,22589.37924,0.160863352,7122.254397,77102.05995,0.221873854,33529.58521,71365.85869,0.231458117,32375.68628,65499.61243,0.24334728,31240.73901,11602.44752,0.173897936,3954.577696,99691.43919,0.184551067,36060.39654,4560.39371,0.264041153,2360.097964,20564.12301,0.200348855,8075.197043,25124.51672,0.175867943,8660.450264
1977,16917.27151,0.182313438,6045.122036,68762.55522,0.147607203,19893.70296,62815.11904,0.154801531,19058.79813,57200.81711,0.158576584,17778.59199,11561.73811,0.139308758,3156.876696,85679.82673,0.134196215,22535.90056,1162.040638,0.225365902,513.2933006,29908.61817,0.377708588,22141.61418,31070.6588,0.363824244,22156.34753
1978,10955.75768,0.189455166,4068.224774,61103.65782,0.148379503,17770.39958,55747.30716,0.152450008,16657.40774,49818.77759,0.159938999,15617.21224,11284.88023,0.192530451,4258.458837,72059.4155,0.144394802,20393.8099,732.9519277,0.288882257,415.0041413,17978.52406,0.310168458,10929.68733,18711.47599,0.298427099,10944.66253
1979,2258.441281,0.264312174,1169.989708,15699.75047,0.181227504,5576.644121,14632.7689,0.185918582,5332.187142,13159.12976,0.188246196,4855.225981,2540.620713,0.204268148,1017.17706,17958.19175,0.169809129,5976.951217,605.630357,0.486419009,577.3966312,2895.139189,0.365211071,2072.380291,3500.769546,0.328564952,2254.451147
1980,8355.572761,0.385734862,6317.149986,40822.43525,0.315512803,25244.80191,37324.40866,0.322399005,23585.37037,34218.97471,0.327152147,21941.82962,6603.460535,0.343467504,4445.425244,49178.00801,0.30614988,29509.44881,1354.409598,0.263033799,698.2607842,11642.96104,0.378569595,8639.035245,12997.37064,0.342618859,8728.162823
1981,4638.252535,0.224057241,2036.89877,19842.06645,0.219597887,8540.260711,17342.10258,0.220557492,7496.864064,15707.93939,0.226373324,6969.482564,4134.127059,0.250463799,2029.480369,24480.31898,0.195540419,9382.307995,913.7848331,0.311359725,557.6509564,7796.102143,0.282352959,4314.454915,8709.886976,0.259053277,4422.396537
1982,5454.934157,0.193497833,2068.815158,11537.53529,0.183489906,4149.361675,9819.200085,0.183912539,3539.51307,8213.650024,0.185648815,2988.714605,3323.885269,0.210621426,1372.159651,16992.46945,0.160349062,5340.464015,1348.865645,0.344338778,910.354825,6892.52244,0.264982502,3579.739769,8241.388086,0.231327696,3736.664179
1983,3243.315376,0.186628423,1186.377872,10016.41233,0.235315061,4619.744856,8549.392899,0.2459188,4120.814623,7239.244937,0.245214793,3479.333105,2777.167395,0.242869591,1321.999441,13259.72771,0.208845599,5427.702121,926.3891328,0.293129933,532.2426736,4480.142475,0.273124695,2398.329592,5406.531608,0.230831685,2446.077646
1984,2546.202994,0.199428801,995.2609703,9737.038578,0.219367828,4186.546292,8559.683513,0.227594193,3818.343159,7557.156232,0.238769776,3536.664187,2179.882345,0.196242277,838.4587455,12283.24157,0.189016422,4550.59936,680.6437958,0.458686184,611.9157346,4190.482511,0.444503786,3650.863269,4871.126307,0.386407462,3689.189523
1985,1701.105059,0.262550538,875.3870555,6456.392502,0.234875979,2972.244954,5923.440697,0.243526069,2827.323967,5045.583995,0.258280266,2554.222562,1410.808507,0.192457353,532.1801222,8157.497562,0.205855793,3291.365533,331.4199608,0.30376876,197.32306,2832.746759,0.419135919,2327.119597,3164.166719,0.376661419,2335.966274
1986,4483.365227,0.227824932,2001.987858,5290.247201,0.319168336,3309.419618,4239.386545,0.373940983,3107.149525,3512.140737,0.436982142,3008.09585,1778.106464,0.278264166,969.7752932,9773.612428,0.22039169,4221.884999,1526.860961,0.209956974,628.3272103,2016.707127,0.256765081,1014.92714,3543.568088,0.173672591,1206.224475
1987,17246.37986,0.257741776,8712.420651,11246.90822,0.215141544,4742.56731,10009.53086,0.230258229,4517.362626,8545.494519,0.247666662,4148.210841,2701.413699,0.193393139,1023.972355,28493.28807,0.194210468,10846.04182,12234.94778,0.363147211,8708.45085,3077.827494,0.236375335,1425.944111,15312.77528,0.301017908,9034.462381
1988,25637.07347,0.208897504,10496.82051,30966.55292,0.463101686,28107.69924,22058.26304,0.527021681,22785.35842,18075.28744,0.564683774,20005.37018,12891.26548,0.336051199,8490.965429,56603.62639,0.310271486,34422.48285,3796.692295,0.217482377,1618.398782,18691.7084,0.294809661,10800.57259,22488.40069,0.255985405,11283.13662
1989,26856.039,0.189392523,9969.212641,58617.1503,0.173423803,19924.59386,48137.13941,0.18206751,17177.84984,40040.30707,0.192314818,15092.675,18576.84323,0.201922482,7352.121281,85473.1893,0.156409496,26202.88411,6768.945395,0.284211496,3770.67171,12178.38213,0.197741171,4720.008391,18947.32752,0.167416927,6217.322549
1990,23556.34228,0.170423861,7868.543087,52285.55288,0.17182598,17608.67204,46891.56768,0.182994212,16818.53554,42285.98061,0.191759227,15893.10485,9999.572271,0.170332388,3338.372009,75841.89516,0.142387522,21165.92143,6117.345728,0.277579651,3328.179359,19150.23794,0.243461047,9138.180478,25267.58367,0.200386737,9924.045726
1991,25563.07576,0.185399936,9289.20953,64022.83329,0.311677551,39110.78064,55116.45242,0.308099757,33283.4766,47600.64854,0.292383182,27278.55303,16422.18475,0.382830869,12322.36175,89585.90905,0.254964915,44768.87678,3733.648102,0.236139448,1728.05674,28144.01134,0.33169273,18296.92137,31877.65944,0.293237285,18321.52787
1992,15241.7833,0.322263006,9627.251276,74487.88538,0.316491979,46206.64382,66482.81152,0.323139865,42107.16359,57650.13965,0.324030545,36613.59607,16837.74572,0.356424305,11762.70836,89729.66868,0.309745971,54475.07062,354.2727097,0.291630551,202.5008211,11158.20845,0.226370727,4950.747849,11512.48116,0.220412233,4973.483688
1993,8202.122422,0.216067635,3473.537852,45762.80143,0.192212622,17240.52858,41164.47897,0.196761024,15875.1475,35198.75898,0.193259565,13332.89381,10564.04245,0.228265813,4726.363086,53964.92385,0.181943285,19244.36887,156.4857031,0.354843237,108.8346711,5241.512561,0.214590878,2204.570334,5397.998264,0.211010873,2232.511198
1994,3325.994944,0.1834641,1195.99331,30298.17999,0.174789359,10379.76694,27636.33039,0.180259974,9764.179412,24868.05016,0.18539039,9036.183134,5430.129831,0.183211427,1949.929197,33624.17494,0.166304078,10960.00135,65.48193542,0.327470276,42.02903946,5392.076823,0.300701487,3177.954821,5457.558758,0.298541169,3193.439699
1995,2060.858174,0.183919596,742.9031191,19195.74759,0.242640941,9129.041551,17730.5027,0.252336558,8769.145887,16034.94374,0.261863014,8229.959062,3160.803845,0.199226622,1234.243894,21256.60576,0.227245155,9467.702898,254.7145634,0.250541431,125.0804402,5879.357037,0.306778367,3535.172717,6134.0716,0.296963887,3570.331577
1996,3417.767404,0.205787304,1378.532953,18088.50248,0.329338259,11676.18239,17033.77088,0.335987402,11217.33955,15601.66633,0.347207515,10617.35095,2486.836148,0.275773103,1344.172942,21506.26989,0.282095722,11890.98041,1036.982825,0.280588818,570.2929383,5663.100696,0.35878842,3982.435707,6700.083521,0.308448406,4050.594966
1997,3242.334357,0.214473233,1362.972105,6233.372549,0.180228912,2201.930549,5452.83104,0.192717515,2059.677859,4972.847982,0.204813997,1996.277387,1260.524567,0.188394788,465.4534676,9475.706906,0.156225875,2901.487182,980.2310174,0.371947751,714.605656,1977.496223,0.225890029,875.5254917,2957.727241,0.234005745,1356.565324
1998,3165.435855,0.137249355,851.5298978,5485.384136,0.153989165,1655.591852,4495.686455,0.159417151,1404.711474,3824.579022,0.164263031,1231.344404,1660.805114,0.163481569,532.1616105,8650.819991,0.127677823,2164.85501,559.4651962,0.211324535,231.7282955,1219.234358,0.20962659,500.9445237,1778.699554,0.185264198,645.8775192
1999,8329.397058,0.459985699,7509.550909,6517.99945,0.235385895,3007.120459,4636.559429,0.240659739,2187.033038,3602.190222,0.252522892,1782.885562,2915.809228,0.262694643,1501.296232,14847.39651,0.34388975,10007.50025,1113.432907,0.395988117,864.1761524,2287.03132,0.326541711,1463.749797,3400.464227,0.337422689,2248.891817
2000,5303.35795,0.239069398,2485.026356,11331.83395,0.304782723,6769.344533,9068.508428,0.317888897,5650.245157,7653.850891,0.345032383,5176.019772,3677.983063,0.271542423,1957.507731,16635.1919,0.265311111,8650.462427,741.7321963,0.301809202,438.7687408,2928.974635,0.39052588,2241.927178,3670.706831,0.327187929,2353.981492
2001,5766.479067,0.254196714,2873.007259,10739.30682,0.215235206,4530.494757,9256.510174,0.231344996,4197.236722,8252.018194,0.24646697,3986.34584,2487.288625,0.156421271,762.5671021,16505.78589,0.18899138,6114.124443,2642.437986,0.42940956,2223.988743,1324.515831,0.240495169,624.3377312,3966.953817,0.33380128,2595.381556
2002,4426.421896,0.207740879,1802.315602,10861.75291,0.227905168,4851.881251,9777.273266,0.238612052,4572.631469,8723.577824,0.252377049,4315.196428,2138.175084,0.188815576,791.2926884,15288.1748,0.197715928,5924.522723,1798.893379,0.280069992,987.479465,1701.123221,0.326580609,1088.88556,3500.0166,0.278830164,1912.783999
2003,6202.167418,0.206752784,2513.338142,11587.88193,0.235614774,5351.341323,9825.089974,0.262829034,5061.345048,8582.118276,0.283974637,4776.723689,3005.763655,0.188728721,1111.856905,17790.04935,0.197715709,6894.049562,719.7807732,0.237290608,334.7625458,2081.578384,0.230737662,941.385119,2801.359157,0.216972227,1191.321583
2004,3488.709524,0.164248271,1123.108431,9549.1285,0.296715756,5553.418695,8264.508301,0.337083854,5460.231325,6955.500838,0.388434913,5295.448351,2593.627662,0.154394626,784.8666565,13037.83802,0.23126835,5909.869014,271.0100824,0.382062562,202.9439008,862.7076697,0.20167896,341.0203715,1133.717752,0.214687837,477.0550064
2005,5356.522735,0.16288581,1710.103024,12733.44965,0.22396186,5589.541859,10832.89682,0.24645217,5232.790223,8687.114147,0.280993853,4784.410328,4046.335502,0.165664782,1313.857166,18089.97238,0.191935158,6805.319344,1700.229234,0.392773416,1308.897496,2866.328709,0.368884458,2072.394459,4566.557943,0.292282976,2616.065203
2006,14986.94533,0.496347938,14579.92924,14310.34345,0.206062393,5779.694274,11621.44813,0.221939726,5055.351579,9518.264177,0.244488247,4561.123288,4792.079272,0.196875998,1849.152966,29297.28878,0.321271185,18448.2544,2513.526572,0.503357497,2479.796791,4032.517349,0.291497395,2303.917872,6546.043921,0.347477871,4458.2266
2007,12048.36033,0.325774493,7693.095008,16344.65661,0.270557076,8667.438504,12334.33902,0.267844177,6475.214529,9816.842856,0.289414697,5568.631652,6527.813753,0.25899412,3313.704147,28393.01694,0.275500663,15331.69821,711.8013419,0.328413932,458.1803365,5898.557623,0.371863113,4299.173758,6610.358965,0.352420014,4566.060682
2008,10378.51414,0.345552043,7029.180851,26531.85071,0.53777967,27965.84823,22184.5127,0.578502952,25154.25991,18482.05467,0.633606643,22952.29111,8049.796039,0.326966835,5158.752007,36910.36484,0.481932959,34865.10983,637.1881639,0.526850512,657.9777042,4528.651311,0.305861587,2714.875331,5165.839475,0.299380629,3031.242454
2009,3922.630728,0.196400375,1509.996047,11497.06862,0.270788478,6102.016469,9415.806732,0.290595063,5362.926415,8188.187837,0.297876113,4780.568506,3308.880781,0.257085966,1667.306953,15419.69935,0.233362363,7052.819861,539.6633253,0.339697481,359.311653,4093.175951,0.387986399,3112.669331,4632.839276,0.34860948,3165.501314
