SURVEY_YEAR,BIOMASS_MALE_LE102,CV_BIOMASS_MALE_LE102,CI_BIOMASS_MALE_LE102,BIOMASS_MALE_GE103,CV_BIOMASS_MALE_GE103,CI_BIOMASS_MALE_GE103,BIOMASS_MALE_GE110,CV_BIOMASS_MALE_GE110,CI_BIOMASS_MALE_GE110,BIOMASS_MALE_103TO124,CV_BIOMASS_MALE_103TO124,CI_BIOMASS_MALE_103TO124,BIOMASS_MALE_GE125,CV_BIOMASS_MALE_GE125,CI_BIOMASS_MALE_GE125,BIOMASS_MALE_TOTAL,CV_BIOMASS_MALE_TOTAL,CI_BIOMASS_MALE_TOTAL,BIOMASS_FEMALE_IMMATURE,CV_BIOMASS_FEMALE_IMMATURE,CI_BIOMASS_FEMALE_IMMATURE,BIOMASS_FEMALE_MATURE,CV_BIOMASS_FEMALE_MATURE,CI_BIOMASS_FEMALE_MATURE,BIOMASS_FEMALE_TOTAL,CV_BIOMASS_FEMALE_TOTAL,CI_BIOMASS_FEMALE_TOTAL
1975,5575.565006,0.197451013,2157.765875,72480.56769,0.36191405,51414.20211,70086.67474,0.371437225,51024.28791,15697.52161,0.287405652,8842.650619,56783.04609,0.406384138,45228.42926,78056.1327,0.340251841,52055.13594,267.787197,0.511558415,268.4980363,13017.08786,0.391456383,9987.419386,13284.87505,0.384315282,10006.93778
1976,5866.165676,0.35149301,4041.355813,47396.73428,0.214089195,19888.37225,45625.49568,0.218098596,19503.67881,9070.396055,0.246620814,4384.418972,38326.33822,0.234199564,17592.98293,53262.89995,0.200620442,20943.82799,1971.448103,0.570378988,2203.966245,9965.075661,0.41935786,8190.70829,11936.52376,0.36810434,8612.016955
1977,10423.84931,0.432025704,8826.606832,39881.69328,0.267300366,20894.36675,38605.62021,0.273395795,20687.04387,6894.99923,0.279151499,3772.508763,32986.69405,0.294210724,19021.87674,50305.54259,0.231953814,22870.3824,13592.22381,0.646817142,17231.69937,8255.052039,0.358146051,5794.768007,21847.27585,0.427829068,18319.92334
1978,11558.30855,0.237193561,5373.450483,14076.89707,0.248082701,6844.779904,12985.27113,0.253175563,6443.604533,3679.020737,0.202125494,1457.502809,10397.87634,0.276445748,5633.919459,25635.20562,0.180402634,9064.330901,6200.757548,0.268531972,3263.599234,8029.377996,0.265918768,4184.918118,14230.13554,0.250805132,6995.222393
1979,15939.62124,0.284565559,8890.299768,15744.36427,0.204141338,6299.588166,13118.08984,0.214923464,5525.995196,7672.125703,0.20529524,3087.099735,8072.238571,0.244031366,3860.963641,31683.98551,0.192344718,11944.72462,3305.739672,0.248259223,1608.533511,16181.19616,0.343212435,10885.03198,19486.93584,0.313204465,11962.65481
1980,62322.94754,0.187759374,22935.36656,37886.22106,0.223737715,16614.09001,27214.35932,0.242062042,12911.62421,25256.58594,0.203385318,10068.1648,12629.63512,0.311644923,7714.484866,100209.1686,0.175311274,34432.88215,12487.53824,0.251637886,6158.981953,51053.89467,0.325149529,32536.29364,63541.43292,0.282809405,35221.42505
1981,28783.22253,0.197059056,11117.10953,26294.26061,0.152555783,7862.229348,17850.48309,0.168898149,5909.23055,18259.56163,0.151944338,5437.89653,8034.698984,0.243001853,3826.795619,55077.48315,0.161566822,17441.4401,645.4979593,0.249840772,316.0925482,34240.3177,0.299965933,20131.02055,34885.81566,0.296539822,20276.26575
1982,14816.28554,0.195973876,5691.065606,35278.29301,0.187371589,12955.89361,26201.13288,0.19498476,10013.29036,23318.43347,0.181310723,8286.648766,11959.85954,0.227190616,5325.648989,50094.57855,0.18222844,17892.16751,415.0640102,0.266448548,216.7626773,59026.63261,0.287856868,33302.79433,59441.69662,0.285867855,33305.24181
1983,7840.405032,0.228077271,3504.90764,17459.72161,0.198074727,6778.325986,13626.17268,0.194640657,5198.326121,11591.34293,0.203363329,4620.218007,5868.378681,0.207727312,2389.284156,25300.12664,0.197046379,9771.184754,1433.002512,0.338539615,950.8511118,16473.90208,0.221365353,7147.632243,17906.90459,0.207271275,7274.710416
1984,5961.269496,0.16950086,1980.462996,13397.71804,0.191817799,5037.044739,10664.37149,0.201194028,4205.391402,9391.171194,0.190663296,3509.481242,4006.546842,0.222145808,1744.473669,19358.98753,0.173032324,6565.472,1590.463412,0.229553974,715.5905057,11053.81693,0.260970685,5654.055464,12644.28035,0.232632032,5765.270667
1985,2556.570187,0.173221954,867.9940017,4324.021751,0.179742151,1523.329585,3312.563218,0.189647816,1231.311943,2806.93868,0.186809048,1027.748625,1517.083072,0.218079846,648.4566763,6880.591939,0.16414131,2213.603168,685.1868985,0.219067251,294.1999402,2786.473374,0.309480249,1690.222606,3471.660272,0.253047136,1721.847631
1986,6099.846168,0.353527348,4226.666385,5828.856587,0.353097879,4033.987519,3392.33597,0.27391758,1821.272099,4952.75955,0.39562007,3840.44572,876.097037,0.305952962,525.3671876,11928.70276,0.348815359,8155.392874,1234.439251,0.276551614,669.1168869,1359.812531,0.305464121,814.132921,2594.251782,0.228725583,1163.008632
1987,7838.781135,0.150215564,2307.913583,8526.257387,0.230686539,3855.109899,6924.667956,0.261505204,3549.239948,4433.549363,0.193211354,1678.959669,4092.708024,0.343155113,2752.690023,16365.03852,0.156845723,5030.901146,3153.54571,0.19668696,1215.712184,2031.236987,0.209069696,832.3533966,5184.782698,0.172603936,1754.031249
1988,18710.0997,0.234352343,8594.121159,21259.58623,0.290130765,12089.39761,17415.97746,0.313292966,10694.35435,10922.09066,0.239357708,5124.001712,10337.49557,0.363975171,7374.679763,39969.68593,0.234024643,18333.6273,6611.311276,0.242781291,3146.001271,6074.869896,0.258772623,3081.139632,12686.18117,0.227041722,5645.37315
1989,15648.72778,0.222656964,6829.224513,28742.98081,0.21981904,12383.77873,24550.13513,0.238621644,11482.05947,12504.20795,0.174735709,4282.46601,16238.77286,0.288267133,9174.964803,44391.70859,0.180468727,15702.17764,5266.808833,0.232126035,2396.224367,7108.333298,0.232818603,3243.706373,12375.14213,0.190499501,4620.618465
1990,15651.73279,0.142144091,4360.61062,38788.72571,0.290739391,22103.72458,34521.09822,0.302211501,20448.03887,14918.64143,0.249195088,7286.598253,23870.08428,0.320987055,15017.4966,54440.4585,0.223131532,23808.87046,3947.715865,0.204067644,1578.978112,18783.52636,0.48364013,17805.55558,22731.24222,0.402120405,17915.7648
1991,17783.91057,0.139607805,4866.234539,38580.95033,0.180314962,13635.17627,34693.29236,0.190431112,12949.09722,16466.04123,0.173678709,5605.209518,22114.90911,0.201643856,8740.29769,56364.8609,0.146593269,16194.91004,3444.565898,0.246991458,1667.525574,17290.28473,0.217045086,7355.431829,20734.85063,0.193599505,7867.943363
1992,11294.83402,0.146405851,3241.114374,26669.95976,0.221294398,11567.74887,23776.15346,0.242492868,11300.4734,10113.27076,0.13559152,2687.696557,16556.689,0.308130957,9999.191703,37964.79378,0.171384402,12752.88402,1669.211822,0.194659088,636.8574115,15485.96378,0.232598437,7059.941495,17155.1756,0.211965061,7127.143764
1993,7155.191371,0.120633209,1691.781241,12864.26598,0.196233369,4947.820574,11057.27281,0.215309146,4666.234655,6448.187537,0.156084113,1972.660879,6416.07844,0.254486093,3200.293364,20019.45735,0.14925894,5856.642646,926.3036076,0.208261845,378.1108483,6554.111705,0.197122858,2532.251853,7480.415312,0.182908237,2681.729972
1994,5110.754475,0.126357973,1265.737764,11602.31448,0.174105364,3959.249357,10117.93295,0.187533337,3719.001481,5865.032315,0.15665006,1800.765021,5737.282161,0.209151643,2351.925502,16713.06895,0.141648779,4640.076188,1152.568819,0.342032215,772.6627059,4686.153714,0.278631298,2559.189821,5838.722533,0.238189022,2725.810432
1995,3611.676028,0.13030762,922.4326573,12668.76258,0.301895516,7496.299532,11434.30211,0.318796026,7144.611747,6410.809697,0.285960818,3593.151151,6257.952881,0.327395684,4015.700451,16280.43861,0.24636857,7861.537209,823.5804019,0.187715817,303.0141733,6836.350182,0.310692569,4163.046267,7659.930583,0.278580647,4182.460493
1996,2974.052566,0.143999332,839.3926996,8478.702956,0.404086544,6715.214366,7239.050984,0.436602476,6194.751657,4467.521964,0.350740834,3071.207063,4011.180992,0.470162591,3696.378208,11452.75552,0.321134723,7208.639843,430.0846693,0.211546266,178.3262992,4153.827466,0.447757012,3645.414537,4583.912136,0.406572361,3652.836283
