SURVEY_YEAR,BIOMASS_MALE_GE25,CV_BIOMASS_MALE_GE25,CI_BIOMASS_MALE_GE25,BIOMASS_MALE_LE94,CV_BIOMASS_MALE_LE94,CI_BIOMASS_MALE_LE94,BIOMASS_MALE_GE95,CV_BIOMASS_MALE_GE95,CI_BIOMASS_MALE_GE95,BIOMASS_MALE_GE78,CV_BIOMASS_MALE_GE78,CI_BIOMASS_MALE_GE78,BIOMASS_MALE_GE102,CV_BIOMASS_MALE_GE102,CI_BIOMASS_MALE_GE102,BIOMASS_MALE_95TO101,CV_BIOMASS_MALE_95TO101,CI_BIOMASS_MALE_95TO101,BIOMASS_MALE_TOTAL,CV_BIOMASS_MALE_TOTAL,CI_BIOMASS_MALE_TOTAL,BIOMASS_FEMALE_IMMATURE,CV_BIOMASS_FEMALE_IMMATURE,CI_BIOMASS_FEMALE_IMMATURE,BIOMASS_FEMALE_MATURE,CV_BIOMASS_FEMALE_MATURE,CI_BIOMASS_FEMALE_MATURE,BIOMASS_FEMALE_TOTAL,CV_BIOMASS_FEMALE_TOTAL,CI_BIOMASS_FEMALE_TOTAL
1980,332818.3725,0.130577017,85178.52352,233253.2812,0.148298866,67798.74652,99640.72839,0.158066357,30869.70007,180716.4868,0.166638406,59024.0424,68943.14132,0.147926844,19989.14102,30697.58707,0.213232294,12829.60514,332894.0096,0.130549432,85179.8831,27041.1459,0.187657262,9945.956111,267550.9376,0.326541063,171238.0805,294592.0835,0.300319881,173404.8446
1981,203260.5825,0.114223216,45505.47173,165041.158,0.128441872,41548.46275,38219.58335,0.107864559,8080.175468,97550.57609,0.109695402,20973.6654,22765.821,0.107069236,4777.537349,15453.76235,0.130372012,3948.886645,203260.7413,0.114223126,45505.4716,10884.25725,0.26328734,5616.746787,118272.3767,0.173804117,40290.20298,129156.634,0.166004147,42023.45217
1982,313812.2758,0.119795844,73683.07646,248309.2827,0.122608347,59671.7898,65505.30782,0.149616636,19209.34026,176590.4722,0.136768572,47337.9723,34704.43622,0.144092168,9801.249434,30800.8716,0.165137476,9969.301282,313814.5906,0.119794799,73682.97717,3615.782279,0.284131888,2013.62373,140722.4987,0.158227517,43641.69629,144338.281,0.15450671,43710.41665
1983,250809.7368,0.108709423,53440.14804,183590.6747,0.116768102,42017.56771,67711.74065,0.137601532,18261.78889,162275.5854,0.124825411,39701.98861,34917.8688,0.141148246,9660.048028,32793.87185,0.146233841,9399.324743,251302.4154,0.108547326,53465.28203,3513.574213,0.376645479,2593.80881,82029.91409,0.202062677,32487.36068,85543.4883,0.196672367,32975.11912
1984,238376.4931,0.103530901,48371.49275,119009.8088,0.126134571,29422.0522,119527.3408,0.137610763,32238.56714,182786.4487,0.117352182,42042.76154,84672.06339,0.152047798,25233.43349,34855.2774,0.132964758,9083.666081,238537.1496,0.103516904,48397.54926,13794.23601,0.34671257,9373.964625,39354.80369,0.200095034,15434.41355,53149.0397,0.179826591,18732.91678
1985,99233.82583,0.095496796,18573.96435,43791.19932,0.126032658,10817.4776,55469.75243,0.111686851,12142.67428,79000.08799,0.105992939,16411.96493,42896.94617,0.115098672,9677.26779,12572.80625,0.120612735,2972.223466,99260.95175,0.095474395,18574.68354,5232.409998,0.259443156,2660.72541,5794.13658,0.214216999,2432.757001,11026.54658,0.182659721,3947.647602
1986,141168.3445,0.104291839,28856.50414,82303.86146,0.144829949,23363.32548,58893.99409,0.124348916,14353.87251,84308.4784,0.110716561,18295.31582,46085.01301,0.129703105,11715.64381,12808.98108,0.127976588,3212.929397,141197.8556,0.10428445,28860.4919,25535.10992,0.284541234,14240.95169,15004.54641,0.209464132,6160.111996,40539.65633,0.213389736,16955.46324
1987,369455.7979,0.097603769,70678.14562,261889.1873,0.118554142,60854.17362,107578.2265,0.112556106,23732.82908,178411.1839,0.10575298,36980.32799,74314.61837,0.109964341,16017.03778,33263.6081,0.130577448,8513.215022,369467.4137,0.097600824,70678.23493,106251.3945,0.190966724,39769.34228,118234.964,0.190215089,44080.54539,224486.3585,0.144002808,63360.26526
1988,469700.1374,0.110922147,102116.2891,326108.999,0.118780043,75921.07203,143595.5842,0.190064179,53493.05858,245169.3337,0.148738181,71473.43981,105241.7911,0.214990058,44346.84003,38353.79308,0.148112604,11134.13314,469704.5832,0.110920965,102116.1677,36194.45536,0.199990924,14187.58266,163604.7594,0.177197634,56821.13747,199799.2147,0.150617905,58982.94457
1989,511801.9214,0.093606218,93899.37096,368726.3415,0.108878978,78687.23229,143078.7522,0.103701067,29081.34176,290494.9209,0.106708965,60756.88818,92336.91582,0.102974546,18636.36982,50741.83636,0.118364886,11771.86133,511805.0937,0.093605472,93899.20459,22967.18682,0.25163739,11327.62977,257025.2279,0.322821362,162627.5389,279992.4148,0.297022424,163001.4903
