Size10mm,BBRKC_Standard,BBRKC_NS ,BBRKC_NS_BIAS_CORRECTED,BBRKC_OS,BBRKC_OS_BIAS_CORRECTED,BBRKC_NS_pct_dif,BBRKC_NS_BC_pct_dif,BBRKC_OS_pct_dif,BBRKC_OS_BC_pct_dif,EBSCB_Standard,EBSCB_MATFEM_Standard,EBSCB_NS,EBSCB_NS_BIAS_CORRECTED,EBSCB_NS_MATFEM_BIAS_CORRECTED,EBSCB_OS,EBSCB_OS_BIAS_CORRECTED,EBSCB_OS_MATFEM_BIAS_CORRECTED,EBSCB_NS_pct_dif,EBSCB_NS_BC_pct_dif,EBSCB_NS_MATFEM_BC_pct_dif,EBSCB_OS_pct_dif,EBSCB_OS_BC_pct_dif,EBSCB_OS_MATFEM_BC_pct_dif,EBSCO_Standard,EBSCO_MATFEM_Standard,EBSCO_NS,EBSCO_NS_BIAS_CORRECTED,EBSCO_MATFEM_NS_BIAS_CORRECTED,EBSCO_OS,EBSCO_OS_BIAS_CORRECTED,EBSCO_MATFEM_OS_BIAS_CORRECTED,EBSCO_NS_pct_dif,EBSCO_NS_BC_pct_dif,EBSCO_OS_pct_dif,EBSCO_OS_BC_pct_dif,EBSCO_MATFEM_NS_BC_pct_dif,EBSCO_MATFEM_OS_BC_pct_dif,SMBKC_Standard_Male,SMBKC_Standard_Female,SMBKC_NS_BIAS_CORRECTED,SMBKC_OS_BIAS_CORRECTED,SMBKC_MATURE_FEMALE_BIAS_CORRECTED,SMBKC_NS_BC_pct_dif,SMBKC_OS_BC_pct_dif,SMBKC_Matfem_pct_dif,BBRKC - Male - Standard,BBRKC - Male - NS - Warm,BBRKC - Male - NS - Cold,BBRKC_Warm_pct_dif,BBRKC_Cold_pct_dif,EBSCB_Male_Standard,EBSCB_Male_NS_Warm,EBSCB_Male_NS_Cold,EBSCB_Warm_pct_dif,EBSCB_Cold_pct_dif,EBSCO_Standard,EBSCO_NS_Warm,EBSCO_NS_Cold,EBSCO_Warm_pct_dif,EBSCO_Cold_pct_dif,BBRKC_Female_Standard,BBRKC_Female_w_clutch_NS_Cold,BBRKC_Female_w_clutch_NS_Warm,BBRKC_Female_w_clutch_NS_Cold_pct_dif,BBRKC_Female_w_clutch_NS_Warm_pct_dif,EBSCB_Female_Standard,EBSCB_Female_w_clutch_NS,EBSCB_Female_w_clutch_OS,EBSCB_Female_w_clutch_NS_pct_dif,EBSCB_Female_w_clutch_OS,EBSCB_Female_w_clutch_NS_Cold,EBSCB_Female_w_clutch_NS_Warm,EBSCB_Female_w_clutch_NS_Cold_pct_dif,EBSCB_Female_w_clutch_NS_Warm_pct_dif,EBSCO_Female_Standard,EBSCO_Female_w_clutch_NS,EBSCO_Female_w_clutch_OS,EBSCO_Female_w_clutch_NS_Cold,EBSCO_Female_w_clutch_NS _Warm ,EBSCO_Female_w_clutch_NS_pct_dif,EBSCO_Female_w_clutch_OS_pct_dif,EBSCO_Female_w_clutch_NS_Cold_pct_dif,EBSCO_Female_w_clutch_NS_Warm_pct_dif,EBSCO_AllMatfem_NS,EBSCO_AllMatfem_OS,EBSCO_AllMatfem_NS_pct_dif,EBSCO_AllMatfem_OS_pct_dif,EBSCO_Female_NS_CS4,EBSCO_Female_NS_CS5,EBSCO_Female_NS_CS6,EBSCO_Female_OS_CS4,EBSCO_Female_OS_CS5,EBSCO _Female_OS_CS6,EBSCO_Female_NS_CS4_pct_dif,EBSCO_Female_NS_CS5_pct_dif,EBSCO_Female_NS_CS6_pct_dif,EBSCO_Female_OS_CS4_pct_dif,EBSCO_Female_OS_CS5_pct_dif,EBSCO_Female_OS_CS6_pct_dif,EBSCB_Female_NS_CS4,EBSCB_Female_NS_CS5,EBSCB_Female_NS_CS6,EBSCB_Female_OS_CS4,EBSCB_Female_OS_CS5,EBSCB_Female_OS_CS6,EBSCB_AllMatfem_NS,EBSCB_AllMatfem_OS,EBSCB_Female_NS_CS4_pct_dif,EBSCB_Female_NS_CS5_pct_dif,EBSCB_Female_NS_CS6_pct_dif,EBSCB_Female_OS_CS4_pct_dif,EBSCB_Female_OS_CS5_pct_dif,EBSCB_Female_OS_CS6_pct_dif,EBSCB_AllMatfem_NS_pct_dif,EBSCB_AllMatfem_OS_pct_dif,SMBKC_Standard,SMBKC_NS,SMBKC_OS,SMBKC_NS_pct_dif,SMBKC_OS_pct_dif,NBS_CO_Male_All,NS_RKC_Male_NS,NS_RKC_Male_OS,NBS_BKC_Male_NS,NBS_BKC_Male_OS,NBS_CO_Male_All_pct_dif,NS_RKC_Male_NS_pct_dif,NS_RKC_Male_OS_pct_dif,NBS_BKC_Male_NS_pct_dif,NBS_BKC_Male_OS_pct_dif
10,0.000558006,0.000548074,0.00054822,0.000621197,0.000620028,-1.779915636,-1.753805271,10.17248184,11.11491762,0.000284117,0.00034924,0.000282523,0.000279006,0.000349668,0.000256997,0.000259531,0.000421492,-0.561097094,-1.798856744,0.122482814,-10.55282542,-8.653465778,20.68811073,0.000334014,0.000592245,0.000312017,0.000313112,0.000496734,0.000386212,0.000386942,0.000457456,-6.585652098,-6.257910643,13.5154815,15.84612099,-16.12694071,-22.75899332,0.000642483,0.00384521,0.000519559,0.000685318,0.000377851,-19.13261834,6.667068726,-90.17346533,0.000558006,0.000636596,0.000529254,14.08403897,-5.152590075,0.000284117,0.00028036,0.000285639,-1.322387136,0.53566757,0.000334014,0.000321523,0.000309143,-3.739648487,-7.446078619,0.001665456,0.001771504,0.002198241,6.36749308,31.9903014,0.00034924,0.000348903,0.000421492,-0.096603582,20.68811073,0.000365486,0.000324104,4.651740978,-7.197557502,0.000592245,0.000496734,0.000457456,0.000487475,0.000508624,-16.12694853,-22.75907122,-17.69040951,-14.11927402,0.000497648,0.000458159,-15.9726668,-22.64029615,0.000488396,0.000504788,0.000434329,0.000423582,0.000461749,0.000469064,-17.53478095,-14.7671186,-26.6639978,-28.47863102,-22.03411025,-20.79897574,0.000235457,0.000333745,0.000418333,0.000421655,0.000420222,0.000421164,0.000337825,0.000424007,-32.58016858,-4.436770382,19.7836621,20.73483076,20.32458843,20.59419672,-3.268534981,21.4083708,0.000642483,0.000519559,0.000685318,-19.13261834,6.667068726,0.000369414,0.00060922,0.000854051,0.000507701,0.000452763,10.59850936,9.17797634,53.05394534,-20.97829511,-29.52925553
20,0.00492351,0.004857888,0.00485919,0.005367662,0.005357556,-1.33283465,-1.306376157,8.274588335,8.81578631,0.002308079,0.00260445,0.002282627,0.002254205,0.002580765,0.002191303,0.002212916,0.002984829,-1.102751754,-2.334144412,-0.90940954,-5.329087008,-4.123021111,14.60496602,0.002858448,0.003871948,0.002711711,0.002721229,0.003457173,0.003202533,0.003208587,0.003334718,-5.13345004,-4.800474431,10.7441394,12.24927843,-10.71230812,-13.87492807,0.005536171,0.018546337,0.004697585,0.005851467,0.003830893,-15.14739802,5.695198689,-79.34420418,0.00492351,0.005455559,0.00472259,10.8063042,-4.080816547,0.002308079,0.002281252,0.002295883,-1.16234271,-0.528411233,0.002858448,0.002767265,0.002699754,-3.189958863,-5.551746679,0.010570659,0.011019331,0.012808364,4.244503511,21.16902346,0.00260445,0.002575118,0.002984829,-1.126237966,14.60496602,0.002652385,0.00245834,1.840493285,-5.610016161,0.003871948,0.003457173,0.003334718,0.003419629,0.003506384,-10.71230635,-13.87491439,-11.6819365,-9.441354048,0.003460948,0.003337944,-10.61481726,-13.79161064,0.003404267,0.003493462,0.003202972,0.003189152,0.003349007,0.003394934,-12.07869688,-9.775070858,-17.27750945,-17.63443256,-13.50587879,-12.3197393,0.001963895,0.002494811,0.002949241,0.00298837,0.002974515,0.002988858,0.002519277,0.002995917,-24.59464301,-4.209697381,13.23854718,14.74091588,14.2089323,14.75965078,-3.270278243,15.0306959,0.005536171,0.004697585,0.005851467,-15.14739802,5.695198689,0.003020104,0.005214887,0.0067574,0.004653323,0.004387764,5.655358735,5.918078974,37.24762975,-15.94690328,-20.74370895
30,0.017596904,0.017408553,0.01741325,0.018951124,0.018915445,-1.070366247,-1.0436726,7.145856941,7.49303044,0.007859992,0.008436247,0.00774852,0.007652027,0.008309021,0.00767663,0.007752359,0.009380238,-1.41823064,-2.645865044,-1.508090734,-2.388578824,-1.369372383,11.18970129,0.01003528,0.011612461,0.009606422,0.00964014,0.010754961,0.011037729,0.011058596,0.010658896,-4.273503081,-3.937507023,9.082020739,10.19718667,-7.384308976,-8.211566868,0.019514294,0.046557034,0.017030952,0.020515533,0.014851162,-12.72576035,5.130801258,-68.10114204,0.017596904,0.019168797,0.016990116,8.932783157,-3.44826364,0.007859992,0.007776,0.007769946,-1.068602417,-1.145628868,0.01003528,0.009747573,0.009591148,-2.866957054,-4.425710488,0.031158371,0.03210008,0.0359116,3.022331668,15.25506219,0.008436247,0.008290839,0.009380238,-1.723609135,11.18970129,0.008455748,0.008042375,0.23115828,-4.668804147,0.011612461,0.010754961,0.010658896,0.010687426,0.010847467,-7.384314497,-8.211564294,-7.965880388,-6.587698755,0.010762003,0.010665651,-7.323671009,-8.15339959,0.01059971,0.010832052,0.010307305,0.010388048,0.010672892,0.010805989,-8.721245993,-6.720446307,-11.2392698,-10.54395916,-8.091042208,-6.944889075,0.006791867,0.008092334,0.009244184,0.009395753,0.00934539,0.009404594,0.008160272,0.009402742,-19.4918435,-4.076618147,9.57696687,11.3736098,10.77662965,11.47841078,-3.271297971,11.45645321,0.019514294,0.017030952,0.020515533,-12.72576035,5.130801258,0.010322978,0.018310717,0.022659441,0.017005439,0.016566632,2.866862296,4.056471803,28.76947281,-12.8565003,-15.1051414
40,0.043442076,0.04305817,0.043069837,0.046381056,0.046293735,-0.883718628,-0.856861691,6.336595765,6.564278667,0.018750106,0.019422604,0.018442332,0.018212648,0.019047618,0.018684305,0.018868646,0.021137316,-1.641455962,-2.866426673,-1.930666902,-0.352175786,0.632207323,8.828435187,0.024462249,0.025313806,0.023567265,0.023649985,0.024061252,0.026555915,0.02660612,0.024309123,-3.65863335,-3.320481597,7.883991378,8.763996864,-4.948106184,-3.968913248,0.047704268,0.089453273,0.042473122,0.049961721,0.038840044,-10.9657823,4.732183601,-56.58063446,0.043442076,0.046753553,0.042140146,7.622741627,-2.996932003,0.018750106,0.018562223,0.018453624,-1.002038708,-1.581227727,0.024462249,0.023817147,0.023577047,-2.637130265,-3.618642816,0.067092027,0.068543822,0.07462977,2.163886705,11.23493234,0.019422604,0.019005939,0.021137316,-2.145260629,8.828435187,0.019248726,0.018646609,-0.895236184,-3.995317264,0.025313806,0.024061252,0.024309123,0.023988665,0.024172501,-4.948107914,-3.968912733,-5.234854236,-4.508627951,0.024069548,0.024318776,-4.915334219,-3.930780159,0.02372875,0.024177054,0.023620409,0.024011153,0.024289915,0.024571423,-6.261626033,-4.490641346,-6.689617146,-5.146017247,-4.044794101,-2.9327185,0.016380388,0.01864918,0.020792104,0.021179295,0.021054902,0.021210919,0.018787092,0.021168317,-15.6632738,-3.982084818,7.051064747,9.04457059,8.404112477,9.20738978,-3.272021473,8.988045156,0.047704268,0.042473122,0.049961721,-10.9657823,4.732183601,0.024690516,0.04463913,0.05346576,0.042649926,0.042522214,0.93314,2.755517456,23.07367727,-10.59515766,-10.86287341
50,0.087566358,0.086919504,0.086943135,0.092863309,0.092688477,-0.738701018,-0.71171556,5.704030082,5.849414128,0.036802624,0.037086782,0.03613493,0.035684868,0.036249662,0.037249411,0.03761695,0.039694533,-1.814254825,-3.037162731,-2.257193477,1.199447533,2.212684429,7.0314825,0.048826006,0.04633046,0.047273835,0.047439764,0.044933877,0.052469413,0.052568608,0.046078669,-3.178984167,-2.839147099,6.943866854,7.665182135,-3.01439485,-0.543467516,0.095427151,0.148450603,0.086288825,0.099648879,0.081871513,-9.576232293,4.424032862,-44.84932277,0.087566358,0.093361021,0.085249878,6.617453846,-2.645399605,0.036802624,0.03645286,0.036096829,-0.950377044,-1.917782176,0.048826006,0.047625625,0.047367114,-2.458488339,-2.98794213,0.121629906,0.123457948,0.131619975,1.502954146,8.213497389,0.037086782,0.036170341,0.039694533,-2.471072704,7.0314825,0.036433977,0.035800003,-1.760211003,-3.469645372,0.04633046,0.044933877,0.046078669,0.044912368,0.045003481,-3.014394263,-0.543468829,-3.060819505,-2.864161417,0.044938569,0.046088511,-3.004267186,-0.522224344,0.04433443,0.04506822,0.044940249,0.045989592,0.045967227,0.046468578,-4.308245472,-2.724428406,-3.000641657,-0.735732421,-0.784005869,0.298113326,0.03242547,0.035637173,0.038990072,0.039783593,0.0395341,0.039860042,0.035873087,0.039724064,-12.5686621,-3.90869492,5.131989764,7.271620966,6.598893864,7.477758406,-3.272582661,7.111108877,0.095427151,0.086288825,0.099648879,-9.576232293,4.424032862,0.048561514,0.089105451,0.104054889,0.087028807,0.088339906,-0.541703074,1.757630371,18.82975594,-8.800790875,-7.426864398
60,0.155264449,0.154301723,0.154343785,0.163753455,0.163445159,-0.620055513,-0.592965041,5.184016313,5.268888311,0.06385209,0.062913048,0.062603643,0.061823868,0.06132564,0.065455347,0.066101241,0.066426938,-1.9552164,-3.176438481,-2.523177908,2.449390263,3.522439905,5.585312933,0.085880696,0.075919304,0.083488651,0.083781692,0.074852434,0.091526617,0.091699652,0.077700241,-2.785311614,-2.444092574,6.168611172,6.775627759,-1.405268415,2.345828934,0.168151444,0.224555344,0.153985014,0.175168283,0.150570562,-8.424804061,4.172928534,-32.94723737,0.155264449,0.16427452,0.151604507,5.803048494,-2.357231263,0.06385209,0.063272219,0.062452508,-0.908146379,-2.191912674,0.085880696,0.083894891,0.083759821,-2.312283971,-2.469559667,0.197762339,0.199672937,0.209244083,0.966108199,5.805829569,0.062913048,0.061191448,0.066426938,-2.736475112,5.585312933,0.061364544,0.061001747,-2.461339808,-3.038004241,0.075919304,0.074852434,0.077700241,0.074972187,0.074780868,-1.405268924,2.345828937,-1.247531765,-1.49953416,0.074845552,0.077705192,-1.414334039,2.352350068,0.073883119,0.074964916,0.076011527,0.078211708,0.077409099,0.078210216,-2.68203866,-1.257108945,0.121474374,3.019526475,1.9623397,3.017561478,0.056649378,0.06049172,0.065171348,0.06658996,0.066150718,0.066741245,0.060853878,0.06643716,-9.956074437,-3.848689368,3.589557332,5.844435379,5.146261137,6.084901582,-3.273041183,5.601560174,0.168151444,0.153985014,0.175168283,-8.424804061,4.172928534,0.084394337,0.156738677,0.179285542,0.15586296,0.16054873,-1.730725845,0.949495198,15.47108367,-7.307985588,-4.521348932
70,0.251984747,0.250675354,0.250743842,0.264529015,0.264030991,-0.519631536,-0.492452382,4.742114265,4.780545093,0.1017413,0.098355454,0.099630942,0.098389903,0.095653138,0.105424688,0.106465055,0.102661307,-2.074239816,-3.294038171,-2.747499763,3.493856717,4.642907736,4.377849218,0.138435254,0.115264936,0.135041906,0.135515896,0.115237317,0.146504898,0.146781871,0.120859992,-2.451216653,-2.108825499,5.508105115,6.029257054,-0.02396132,4.854083292,0.271465631,0.31863436,0.251268984,0.28221864,0.252035848,-7.439854055,3.96109399,-20.90123378,0.251984747,0.264884687,0.246660503,5.119333843,-2.11292304,0.1017413,0.100853682,0.099276018,-0.872426814,-2.423088881,0.138435254,0.1354056,0.135626246,-2.188498983,-2.02911309,0.298283218,0.299817668,0.309653823,0.514427204,3.812016326,0.098355454,0.095443831,0.102661307,-2.960306109,4.377849218,0.095355386,0.095727837,-3.050230444,-2.6715514,0.115264936,0.115237317,0.120859992,0.115624583,0.114883626,-0.0239619,4.854082936,0.312017822,-0.330812283,0.115207593,0.120852378,-0.049749163,4.847477624,0.113783138,0.115265797,0.118537835,0.122532591,0.120271545,0.121459582,-1.28555833,0.000746314,2.839457413,6.305173624,4.343566459,5.374267526,0.09079551,0.094619986,0.100620696,0.102931531,0.102224297,0.10319587,0.095135858,0.102625915,-7.686349532,-3.797926164,2.303117622,4.652591087,3.933532114,4.921349957,-3.273428856,4.341864747,0.271465631,0.251268984,0.28221864,-7.439854055,3.96109399,0.134662985,0.25266822,0.284000764,0.25510497,0.266053315,-2.724933512,0.271235837,12.70553799,-6.026789142,-1.99373866
80,0.383306627,0.381648602,0.381753077,0.400770845,0.400016322,-0.432558307,-0.405302163,4.357656907,4.359354545,0.152319926,0.14484346,0.149003577,0.147147456,0.140583036,0.159313087,0.160885329,0.149685669,-2.177225789,-3.395793544,-2.941398879,4.389571095,5.623297492,3.343063716,0.209344923,0.165495197,0.204821225,0.205540137,0.167461633,0.2202059,0.220622209,0.177206407,-2.160882593,-1.817472316,4.932191712,5.386940221,1.188213335,7.076465186,0.411059789,0.431453828,0.384019895,0.426589393,0.393785156,-6.578092647,3.777942781,-8.730638092,0.383306627,0.400672891,0.376020736,4.530645609,-1.900799589,0.152319926,0.151038192,0.148324725,-0.841474712,-2.622901115,0.209344923,0.204988152,0.205899161,-2.081144769,-1.645973473,0.425833435,0.426364862,0.434841054,0.124796946,2.115291681,0.14484346,0.140275415,0.149685669,-3.153780938,3.343063716,0.139690689,0.141435299,-3.557476067,-2.352996236,0.165495197,0.167461633,0.177206407,0.168280241,0.166641721,1.188213288,7.076465074,1.682855079,0.692783553,0.167394364,0.177175795,1.147565951,7.057968135,0.165396422,0.167321097,0.174189405,0.180780191,0.176171595,0.177839937,-0.05968472,1.10329459,5.253450311,9.235914034,6.451183159,7.459273757,0.136624998,0.139406136,0.146584006,0.150102758,0.149035708,0.150526765,0.140101626,0.149569441,-5.674030727,-3.753931414,1.201673361,3.631021981,2.894330285,3.923756319,-3.273764672,3.262819494,0.411059789,0.384019895,0.426589393,-6.578092647,3.777942781,0.201854517,0.382108354,0.423030644,0.390906921,0.412086617,-3.578021292,-0.312614523,10.36350911,-4.902660974,0.249800126
90,0.554923971,0.552950156,0.553101785,0.578149712,0.577061241,-0.355691018,-0.328366781,4.017253739,3.9892438,0.217443533,0.203785835,0.212511966,0.209864629,0.197443797,0.229304888,0.23156798,0.208755838,-2.267975952,-3.485458377,-3.112109107,5.172744034,6.495684871,2.438836761,0.301505151,0.22769159,0.295764274,0.296802391,0.232859326,0.315452199,0.316048575,0.248356447,-1.904072611,-1.55976096,4.421287232,4.823607134,2.269620938,9.075810398,0.592712333,0.563703268,0.558267994,0.614148722,0.583714432,-5.811307965,3.61665981,3.549946439,0.554923971,0.577199301,0.545416392,4.014122865,-1.713311925,0.217443533,0.215673184,0.211357705,-0.814165,-2.798808343,0.301505151,0.295516192,0.297565152,-1.986353844,-1.306776856,0.582929817,0.581661201,0.586670523,-0.217627445,0.641707915,0.203785835,0.197011754,0.208755838,-3.324117621,2.438836761,0.195628909,0.199565134,-4.00269507,-2.071145347,0.22769159,0.232859326,0.248356447,0.234311861,0.231344631,2.269621179,9.07581075,2.907560621,1.604381239,0.232736262,0.248289505,2.215572334,9.046410305,0.230046473,0.232441001,0.24460847,0.254759576,0.246693685,0.248941128,1.03424242,2.085896831,7.42973423,11.88800435,8.345541232,9.332597027,0.195914281,0.196214969,0.204274876,0.209365928,0.207833668,0.210004751,0.197113762,0.208514278,-3.86265989,-3.715108594,0.239978122,2.738214658,1.986317478,3.051692439,-3.274060882,2.320300317,0.592712333,0.558267994,0.614148722,-5.811307965,3.61665981,0.288467206,0.550347044,0.601194213,0.56959683,0.606174808,-4.324285928,-0.824784566,8.338122822,-3.899953173,2.271333604
100,0.772632631,0.770416098,0.770627685,0.802416121,0.800905429,-0.286880601,-0.259495399,3.711726252,3.659280815,0.298972859,0.276573515,0.291949737,0.288312694,0.267544606,0.317609817,0.320744557,0.281100151,-2.349083398,-3.565596238,-3.264560173,5.867878565,7.282165259,1.636684352,0.417846974,0.302896712,0.410853146,0.41229522,0.31273105,0.435084778,0.435907325,0.335900033,-1.673777348,-1.328657311,3.961941488,4.322240421,3.246762877,10.89589939,0.822279981,0.716011596,0.780178717,0.850834473,0.830065659,-5.120064311,3.47259968,15.92908041,0.772632631,0.800093854,0.760693179,3.55424063,-1.545294883,0.298972859,0.296611783,0.29013554,-0.789729258,-2.955893439,0.417846974,0.409901686,0.413658626,-1.901482718,-1.002364026,0.771985632,0.767948579,0.766902649,-0.522944056,-0.658429713,0.276573515,0.26695917,0.281100151,-3.476235097,1.636684352,0.264406451,0.271544491,-4.399215167,-1.818331844,0.302896712,0.31273105,0.335900033,0.315059805,0.310247483,3.246762836,10.89589933,4.015590989,2.426824119,0.312530308,0.335780412,3.180488685,10.85640701,0.309024119,0.311901691,0.331413191,0.346256056,0.333394322,0.336324386,2.022935885,2.97295375,9.414588508,14.31489417,10.06864989,11.03599741,0.270453279,0.266394594,0.274879388,0.281955887,0.279839473,0.282873327,0.267517597,0.280679194,-2.212878501,-3.680367129,-0.612541192,1.946090943,1.180864292,2.277807361,-3.274325851,1.484480119,0.822279981,0.780178717,0.850834473,-5.120064311,3.47259968,0.397009167,0.762737478,0.823300872,0.797660548,0.856110013,-4.986946918,-1.280706135,6.557869591,-2.994045047,4.114174378
