"SURVEY_YEAR","BIOMASS_MALE_LE112","CV_BIOMASS_MALE_LE112","CI_BIOMASS_MALE_LE112","BIOMASS_MALE_GE113","CV_BIOMASS_MALE_GE113","CI_BIOMASS_MALE_GE113","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE125","CV_BIOMASS_MALE_GE125","CI_BIOMASS_MALE_GE125","BIOMASS_MALE_113TO124","CV_BIOMASS_MALE_113TO124","CI_BIOMASS_MALE_113TO124","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1975,35764.364013789471371715606959878211639,0.1801326902707744377992166880296484261908,12626.9689670292534566531860768958381474,171161.7545152722869313160824923497579218,0.4964558287062858246771811850443218832054,166549.5313341746710781067674648435367291,162630.5306970221381944166344438208491928,0.5159421724564987483038316117440599274325,164459.580658526822838128294791859243683,153462.8240339270505662524873733289996083,0.5285973177272094888534404085528018136628,158995.2728241460923444534335305508424798,17698.9304813452363650635951190207583146,0.2558303927658105948077110971299926549847,8874.731699691564812532949219040181501068,206926.1185290617583030316894522279695614,0.4158301108271156422174734693967538190659,168650.3771698906523985269857387638708242,9538.746674315386981564648580454197962938,0.2468356142788963389813286161910946532948,4614.824693818619478310843671795829818441,17717.4268305163397099391500116536040004,0.1941937967508520910993074417669856504631,6743.604194351831920465950524410547532122,27256.1735048317266915037985921078019634,0.1676237329948841949456725362370338392956,8954.811838070854577588404841293868551054
1976,22747.3735956555574318247605852547994154,0.1609906909349647442136090473561734330692,7177.746168555908596208093522072481021488,76966.6068689890591474889767885644011645,0.2216524889569054425400720034073077623775,33437.2863589949968227317114448324480148,71218.7246514430802537267317803796947903,0.2312574914253333933679999355695863044777,32280.9326665923850684108822440601037082,65348.4462805038344507174956952076831412,0.2431714891005710269171449335777554648612,31146.1228251800273091828179391779254138,11618.1605884852246967714810933567180229,0.1739440881884226933473773311544927100162,3960.98428598183240951226740806570066834,99713.9804646446165793137373738192005798,0.1841502151565038916001642556868655338751,35990.2078750844347814123401043384299751,4560.393710484733718829643173373691801139,0.2640411532022671181625079530264209265805,2360.097964170599748106903806002734513673,20081.9196168877826066693398573392643031,0.2002857347360685372109881705171186491289,7883.359169742913562328862685232502052056,24642.3133273725163254989830307129561042,0.17554561774390918444010310043296746754,8478.66622675744617147950902829208626854
1977,17049.7238373614906313528747819653276889,0.1826252667442773439200698639865476941644,6102.872312880236028420898806522685356712,68809.973403153380455793529899389403842,0.1475509873531352972181952255186233554927,19899.8398501413907915575443220897317777,62844.4174430156257138038250743333059245,0.1547635359682409773204585177988595255837,19063.0075483167869413363768603676870313,57214.1334284170581469351298853741681342,0.1585380089987707668749262482098898281279,17778.4050086492596279506614610594378651,11595.8399747363223088584000140152357083,0.1393122386051810328917490043649130231832,3166.267153760407350433712246272144767374,85859.6972405148710871464046813547315308,0.1341384134641140399260413028228082388367,22573.4837939695967247570195270211638526,1162.040638173896369625318644343650811627,0.2253659023792456692254213790970615408275,513.293300565892748665599600815111514953,29269.3080319327654409381679914158980437,0.3776631075796964650662996851502005435971,21665.7181429723117126470209120112167224,30431.3486701066618105634866357595488553,0.363489722823606841047639046387980745057,21680.5056867613900313960931280258089047
1978,11163.0755157591712384398751485797055458,0.189733949573154086947773897789775928735,4151.308237697188827728815538722927226594,61823.8470922799242899803572741893252348,0.1482984330363116784068593822037605174744,17970.0241102008277731827857607127057742,56386.01393844048953851599704853917479,0.1523359769218865589432618267626743745777,16835.6522953651507378465175918001483182,50372.3863922648584443675753241701324907,0.1598049273953480733139940058498372923803,15777.5208782867577544838122213364653307,11451.4607000150658456127819500191927452,0.1928618922063644016975500958578494550613,4328.758743098178772285713447375892507731,72986.9226080390955284202324227690307819,0.144362314874768186544048477051682345751,20651.6597624328704578613416293150973639,732.951927652840396103759029031706165351,0.2888822565211485473779638614479434901461,415.004141292481175623945754058784699404,17949.8169823919098433347631819984114383,0.310187112963576140829149029198292076626,10912.891739665724816184156823070252108,18682.7689100447502394385222110301176036,0.298427121674284279909041167809506874854,10927.8721034317019456190405543079875607
1979,2314.154587161527000500899087921671881224,0.2653265549824930414223456823079967181385,1203.453062044662703002016045897039240234,15951.3334249957137603100297601557931752,0.181138270847716690818356462903792360605,5663.218030465455468945305576007904751586,14866.1523878244145617178243748389661334,0.1858189372192505977343428609012874742661,5414.328769000116216950274303646283384031,13366.491762271368716232033399284302396,0.188137997237077988577241649346248736813,4928.900180869687465625687721828691912367,2584.841662724345044077996360871490779263,0.2042372553372448797886290456169200650169,1034.725094685314111815173271830383731543,18265.4880121572407608109288480774650565,0.1697164786046955813205293193301767751288,6075.910438622431632445408807060429638109,605.630357007498321593662609134085766792,0.4864190087726403847625636851456504975252,577.396631158887002258296646490865504495,2903.414668075685977192178113238860079689,0.36519176273100557305715945193928386418,2078.19411632428974067231582562943775891,3509.045025083184298785840722372945846481,0.3286005279454054453123521570675737592167,2260.025133740004393798868455970748075088
1980,8495.97372915753302437160884286536979876,0.3866980255108402813602660237841493668546,6439.33748108008954747291985554210377758,41218.6059011935870630590440761746980654,0.3154242167109267324306472736927336936872,25482.6391013887241656595753507463053307,37682.2532729143671822012054576945508795,0.3222662312830742237508617562801715874846,23801.6867870921481002644870674721330816,34545.170584881053747523380245597617618,0.3269929304454880947295541672107127161315,22140.2120620874821170182487415089687458,6673.435316312533315535663830577080447771,0.3440423643289998655150095356591368164789,4500.051150264789650739349133703118396534,49714.5796303511200874306529190400678634,0.3061614372929012798565549001410932050024,29832.5468219197558139040711813662473401,1354.409597895754651733092474030165889805,0.263033799168489823348743480852080377537,698.260784242982492380808252153900298957,11624.130209424097994648719718994746754,0.3786273808221491536041366612257977280402,8626.379392038538037453217661403449542428,12978.5398073198526463818121930249126438,0.3426185950976122496148407804702969846461,8715.510587396631669372497847543207603186
1981,4767.089775831315412532807307088062438371,0.2253228148209529732681557078882915647185,2105.302810117215498621678264051816751991,20280.5163348090289292847159086924047599,0.2197631829914723075534241852740783463082,8735.545211998432581808258089133001799852,17733.4819236197425410414645007142863155,0.2208163881505567367569062103100892313059,7675.05311830552126219456096806090362628,16066.4137727289712412332659861028711067,0.2266924279533474847106304987267081840041,7138.583319420342842381944727923549018999,4214.102562080057688051449922589533653152,0.2505490289375193649409486122857460960286,2069.445037353650904656174775371659156598,25047.6061106403443418175232157804671982,0.1955672987172987888709570120373314952721,9601.045626129963891195967302865802935147,913.784833083885537826353987423863550244,0.3113597247305861243304798370233442402583,557.650956420287051576673584121431715262,7862.121144908179692990870400579292971885,0.282213909902256718136277345719668463766,4348.847898922299139694995756750606774197,8775.905977992065230817224388003156522125,0.2590843276960310557854108688651299031556,4456.451412454042104603324403161032789582
1982,5539.765870326913552700204943527330005584,0.1940223709509905903513370682754093647776,2106.683477001443089112371798614040971429,11635.5212795240436738553814681004559071,0.1833465318401218971406752672646787147464,4181.331646595235062525900304737717277179,9903.828034151729262229911070381423826198,0.1838137993582180061160282961048129487815,3568.102107929806833662815476938459439014,8285.050701542753562735509505116317182174,0.1855815358698547847454198406767949827573,3013.60277054576725503329094021701199595,3350.47057798129011111987196298413872495,0.2103236275519956753938481439568297750581,1381.178926895822826024328447865189863854,17175.2871498509572265555864116277859127,0.1602248921402271885751546253247520081614,5393.7407208821073487234943801586887668,1348.865645297018308830945849675603775231,0.3443387775872760728816449904384135697695,910.354824964853306239931835874739063992,6884.05954082806094881709963827671940429,0.2650439493524314410275382056848023591791,3576.173523425575854841931837014459519649,8232.925186125079257648045487952323179516,0.2313480062775509195571043362579732848331,3733.154822178852941449283555576931152777
1983,3326.849360044837866002398522786625198824,0.1867500020174750076841999399948234167151,1217.726684412409463005302387317024018988,10166.816095155952109190233241959885611,0.2353016423099055304708424128906964933364,4688.846307535833572567873163220775517839,8675.817674756949790384417826008592344101,0.2458777649252796802608697130588519548537,4181.053691186212689560575925269374936151,7343.971515537187870702013666514918426136,0.245156413830804230981322275893630953102,3528.826571248359773453924510362559780748,2822.844579618764238488219575444967184839,0.2430831326262405427637246502621072528451,1344.924370528235305529232661039254240071,13493.6654552007899751926317647465108098,0.2085224365741174195556329019968701921523,5514.914718107553333027282242901336060263,926.389132794223418787411204289089107517,0.2931299330628760282438114323524459134509,532.242673592847106316448143359607952341,4484.620618172376839560704973949380070767,0.2730100597418889064923132348155588120912,2399.719224058416824791476588572115589457,5411.009750966600258348116178238469178294,0.2307671622142599277873381168421954418465,2447.419395290733247536049603388811310487
1984,2579.938345436073796412621415137871031397,0.2007682838302206958198581645226343162321,1015.220796241920076147155711978193689421,9813.158836759518013641679300552843202983,0.2199233811822545495773254205995632462478,4229.960420058999333261084173776034354479,8629.590833829467528575417606048483914998,0.2282016327939245551909985049446525560797,3859.801968501803953322977874323442821625,7620.982915203149369790862600536901854716,0.2393952684487065390197842399021038505647,3575.877411623005607844258266375230634644,2192.175921556368643850816700015941348257,0.1961152552938932635348888126886676601843,842.641515390099819811556960514513923657,12393.0971821955918100543007156907142344,0.189305691776033878186427788773898212085,4598.32431723337924064173880960355872314,680.643795805494441244223653494578225638,0.4586861841031048694703187632661143405173,611.915734645691276771272605082281112255,4174.332994138864021774603246034004268302,0.4449089450772965425071708301220909888202,3640.108254094402378967602843261934301089,4854.976789944358463018826899528582493955,0.3865799650042295811301462759986821611878,3678.600044803952451006664644247192548699
