"SURVEY_YEAR","BIOMASS_MALE_LE119","CV_BIOMASS_MALE_LE119","CI_BIOMASS_MALE_LE119","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE135","CV_BIOMASS_MALE_GE135","CI_BIOMASS_MALE_GE135","BIOMASS_MALE_LE94","CV_BIOMASS_MALE_LE94","CI_BIOMASS_MALE_LE94","BIOMASS_MALE_GE65","CV_BIOMASS_MALE_GE65","CI_BIOMASS_MALE_GE65","BIOMASS_MALE_95TO109","CV_BIOMASS_MALE_95TO109","CI_BIOMASS_MALE_95TO109","BIOMASS_MALE_110TO134","CV_BIOMASS_MALE_110TO134","CI_BIOMASS_MALE_110TO134","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL"
1975,45508.5736424711688417048017171105302671,0.2202957176272028880418391484268704601783,19649.674021966849357626748423650592891,84781.1519872891123634595397733192753546,0.1741715407302404693399894822836106379426,28942.2691783612333541611515372278609928,56254.7116000443188853459354256809814249,0.1875053666331199309700883013060180043673,20674.1982338772001174083814316894480204,17559.002696018282713561397857450231482,0.344144152767179876532075056468562519897,11843.9430882653648345725496713497307354,128576.1588404278097617100258213789266461,0.1721775019174961709278355590250906780751,43390.32679717242087017760006825308801,13839.5509128849767465073054741640454114,0.2086873437810938450836169746938804045166,5660.752673501029465297555954525407620098,42636.4604208127028597497027331345473032,0.2185598039823418843534047779447675225373,18264.4882068644565253752898958423092946,130289.7256297602812051643414904298056202,0.1725086086772832176339974381360174979526,44053.1546149364316037897704630464744444
1976,95238.1837610480729367533514774849942129,0.2712417754005250944435045790193180155224,50631.8451365655499100634880643850600638,151735.7455389175092691998017572642577779,0.2504529545039027094263297274186297515934,74485.2249171855602872491317617508482337,88978.4995040389094958726806383016462543,0.2272300243354198342119307936344659863317,39628.4297509585299853540660030012352952,30824.6826428239180781402303841467413739,0.4652426542731495901356101875761146525609,28108.27605295477093734829562385415615,246894.1791756063779633164265657955745992,0.2210022103069513673029374663614675413134,106945.7522470698072542709926551509815969,36236.7427558445029721339049011884702491,0.2689640651082113928874604730942164808737,19102.9080102692381318243171780818114698,90934.0043972582516598063373111123941148,0.2689155166507418235337020086761208903166,47928.986956274681883174451123575347474,246973.9292999655822059531532347492519918,0.2210274213835786438451516845194214568681,106992.5010545976396638795938453783936793
1977,79390.263108789286053108431382000348227,0.1949229282009901339954075889033396430258,30330.9658093920095936286555494440956611,144336.3368135199158471057542352293424379,0.1911643623406043707222330343718353785414,54080.2490274890603254567043635569838113,90432.4191287461963726298371799679262617,0.2098046017523265434749316231044054842394,37187.3498543799024164090009494731494418,13200.4281982501038032118678755809106812,0.2427649770215652798480128861928223283313,6281.019230517097283756683067369029226407,223597.7725278808639987370737831967592066,0.175172771927590202727808677671394609545,76769.7535566655909521864933091929385324,34074.3662081668943143286860094002246056,0.2335458312838919803564086866249405548864,15597.5353158538674182479177693028025756,86019.3863871460074100437945522806291174,0.1854706946383639728740219447547521988884,31269.987677356007827429941051574387642,223726.5999223092019002141856172296906644,0.1751098935317690151232684593505311747794,76786.4125415356828562425225840245984545
1978,53098.3735999000819145365495535010621114,0.2567801840800817747158587318198935947918,26723.8358887771829197495146113775126626,143372.2222165708272027580274864421452457,0.2280720731915618113336956266861304476553,64090.4319196686279446344305115122168101,95832.8263446061975212820761518595601712,0.2349250410900679371743608522743204478645,44126.520106896553885417880768879227056,13100.084511583448661149800726158802843,0.4346062268848174543113025029934216363903,11159.021470844977897558944435453890423,194990.749477939453242445174714913959348,0.1982993429364696297813949651394420143461,75786.4135003236980537099024217608065053,19025.568620769929741204669866830476492,0.2985414411726540177931038218197789736367,11132.6445233408013064613636758123272622,68512.116339511333193658030295094367852,0.2148882872329029853882216826758230258913,28856.0046164019953861051802330907678769,196470.5958164709091172945770399432073567,0.1965967030716577248868231511892193088929,75705.9239205631230732297220034143962871
1979,16572.9762653598740585189840235022228882,0.2463450576075129806461285142165920889339,8002.034753923326078825801660220209816769,85693.5688201638927019855963509620300852,0.2503907617940335294521387677341568235741,42055.4808363513412343941324871251896999,62306.4268860626089636583243489403541052,0.2467556306098955829189870218417582094784,30133.9448483466744055092921069429202163,5743.453260939993247200320588299108076769,0.2914855087403229354500503641748280841685,3281.301455555066907194589234963872470802,100927.532790912698222433901435274544409,0.2360041570558299430656749606806347883947,46685.8619080862145475509556074958528096,4817.953182289546850774089315762704690262,0.3534683560189640845712882797068796120796,3337.868221811636125357580638042277377367,29398.7117562316176988718461214620861019,0.2883081228972618904074529432971187945189,16612.7393079921342361788355375414408519,102266.545085523766760504580374464252973,0.2328753535391510713697524762588524547617,46678.1013703570042558753925093605228821
1980,36124.1843717418389843824426255233992517,0.3585136450937277099347815078189181565698,25383.985509696035984729698684841373841,125477.9944326745175281279058327919389066,0.2555437620804256706831661660089873576657,62847.6327610394134262424010572587877056,103098.2582333717258085967639091727124568,0.2641198861936768669082742808467453480937,53371.3884534743205388777492925054822919,13579.5824613119199811023205591021591901,0.5349377684110098588990265395595980022324,14237.8938141026747117212911752684527237,160944.3116256593171572735251308167225274,0.2388603153809824342121311292931079671863,75348.6897060130003014370520419239936425,12725.0084773834684347340671662983856993,0.4104225648271613377118775619132679893695,10236.3560088007845550584644727587628783,32199.3296323492422880771968237420808123,0.2798632258681318662319818346826607840757,17662.3601929331513004676185904238116339,161602.17880441635651251034845831533816,0.2377852654644052579044819449290008996499,75316.1692938034789373357482769877745889
1981,26957.54473054980196140367229396080492,0.158124551055987033328975388085970527451,8354.793329856157692221722777880878806546,42998.7763724337303895994998850602315881,0.1573454590111975605674407597850942378492,13260.6979222712264496603010440095440488,28576.9307432038286515850288414259700803,0.1774311571881026768354395028985879389619,9938.058265675807851115451203041922448365,8147.840514071851010006316564441612310831,0.2034802632635461619078389408348236331444,3249.532476352145977878112055244813238426,69444.0399774072457166261464648916671968,0.1448831195697565183797424153072626744086,19720.0875290091456354557540393898064194,9876.222948317456333211420407873376182691,0.1814100722600724622023466120272277597205,3511.626784673277077318240107704403221006,23355.3268973903963562004063652800779348,0.1456633362718749911798404723864318924474,6667.949077764522478799932843813274178597,69956.321102983532351003172179021036509,0.1443056711582499597278226605145210181159,19786.3839823150441208263698111853810479
1982,49217.9784676138702583476765528033502484,0.3328034744467933824271899475399629988477,32104.6319089679447931408893797197117165,22338.8138834132912990291870498140555593,0.1898562155028619663563792882361143905978,8312.678818946171738728675038639162921439,9925.886914271843314541266906800416686407,0.1762729479648720728295190840513807758143,3429.344081187504713169766664022441787819,24958.3934476233652287359087277781008676,0.4286005205062035668552592676551905169015,20966.4736283939899792060165207796713731,69622.6152506496461995252635087915648887,0.2617603870212178642127022305870734641554,35719.9077183412173107597234059266936769,14656.4485685446548577300871094986149208,0.3270122845224571188940090836276493972176,9393.963909595940705381826659882850587567,22016.0634205872981563696008585402733331,0.2606954537550145631210893213220567793471,11249.3957809252000991610343706250134895,71556.7923510271615573768636026174058084,0.265091440933325875645732733501423161729,37179.4226580851399669287436104649522198
1983,25171.3804257888524852542582153979209789,0.2542137779962279642248247912210431387681,12541.866962223367527245725331427442664,9811.556459620457801926621368953144722403,0.1301894056876109952818463891578627203747,2503.626980522918937867210052314799442952,2900.371012963569511392420752403480146559,0.1699841751497908877731688165522752639873,966.313661563272602011040614914622852787,10954.2623443104534345336471035108104632,0.3524519637656824230170816714237419738585,7567.268498719107164012647291589288537616,34287.8961879401220589590300471555024077,0.2080237781337348842321843838985923935073,13980.0875101742765092604443173345573953,8279.820163562389011868826702524461301989,0.246536107432241960165476960574735028165,4000.898281392774258406266250347069224488,12848.4833645728983293859850259123137895,0.1435772855956349166082133177746049420938,3615.710716391852598462792837224007049427,34982.9368854093102871808795843510657014,0.2045377667397037524559144186885241732412,14024.4502976937508953007042444781000846
1984,77686.998182188312152773239295331568414,0.6170944636490126051582561558633371085447,93962.8242924490549106798967417487483212,16677.3199185856983744454320043532213371,0.2656663883721136636025473316149575685658,8683.982566974071332363178079687621692611,7606.528563419790370032819882358131204218,0.36654740155514195299549603820803917023,5464.780428361922270453961539524778840506,52745.7101996461337306758618702433456924,0.8178141996987519662621342273047793929011,84546.9339179531672424182120333855768236,94226.8753964208835259404741293909758805,0.5483886882034473481021981116278997042102,101278.9870806197548186208176284236814013,15258.0340660549354173451372861743352494,0.5474263617365366674906933649546625073542,16371.1941490238734307545280371347681446,18754.0452716531510091648522609089776057,0.252397835592584963152252395533269021617,9277.62165293439052732307806871658520532,94364.3181007740105272186712996847897501,0.5486817588768183778894370330169501506271,101480.9208602587762257147794997197264105
