"SURVEY_YEAR","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1975,9008.728197481598216554240612028742911802,0.5264634286473177949570576677957952738057,9295.821231811949142887493993448598565475,44594.7209746479323234744715992251638034,0.3183856124368608070056654646884171959528,27828.702395969840252621500411196819472,53603.4491721295305400287122112539067154,0.3214656026581489934756383475124985387358,33774.0635816411914619151182781616571887
1976,11687.0988565249822278464292706786600335,0.6459290137694313200088843549500352019614,14796.1110269132193498304213871190394813,47025.495960304257070740957566568956438,0.2557926978400019520116421917611173161951,23576.4058187426649450475464537867355379,58712.5948168292392985873868372476164718,0.2624625604272551288404366613133458185727,30203.3216113078613646739373656052664233
1977,6088.735260482292967244738495222729713444,0.2508608785263370343001613766035488888302,2993.753934055392210640329535013058530375,118839.5245556117618113331469393107717176,0.1871239938054679361701909466394248830021,43585.9438553065380140275343768994145241,124928.259816094054778577885434533501431,0.1866746490105036979594274827173921482319,45709.0405432182470315865486666108338755
1978,3783.474640135927088939203559399999778772,0.4931103424117913788839867909868847266941,3656.714131595362097802166658575975326341,99490.7002446064660300104125865836936667,0.1956235388672708271976375108127885230625,38146.9368178162178360758151309426827135,103274.1748847423931189496161459836934455,0.1901763500904512671296834363000777104141,38494.9990508391876276998869921928360177
1979,4903.797891869345101482519693706545823341,0.3422557445233443943292796160048951355647,3289.571877008548816423063177478480885097,53171.7384137231883040777542239824381345,0.1960534046858409039985889852884832371953,20432.0206841876752623200106402235551572,58075.5363055925334055602739176889839573,0.1846876745093803609980231322814987194446,21022.6380624833526364760280179157443719
1980,7229.542661613180561589477471222735272776,0.446351672968566349803332274411946285209,6324.760185144983610522635568309403325459,52223.4082223040478518037239989862731606,0.4018673500600376534504061518908767874076,41134.2900398657825990815803339182749774,59452.9508839172284133932014702090084337,0.3984075015395813628989345963726999535673,46425.5431768011403254939672039308011537
1981,4142.294731076497760897022407049884837211,0.2361667326787277879380170017776978625727,1917.413536364065881694154154683865095703,28669.303952592120315126217943979064748,0.2038917265790830734970930894137386275189,11457.0504101204949365626993022990289418,32811.5986836686180760232403510289495852,0.1985176527586666462904684160370645006768,12766.8158457248506650368390519810633593
1982,21747.7458541019602365459999950700485633,0.4964847411421620374577620654695853770259,21162.9509827667051776784812700185195916,9141.898928995687772954269328061918914465,0.3853108772243807882712653089511215964193,6904.047267822793119078970812155806185963,30889.6447830976480095002693231319674778,0.4489967456831144238689285055363586342618,27183.9259665197442709681875924728957715
1983,7233.812134110011028037315841224750541465,0.3155123352545600617126997803129084282328,4473.41964008261188363349279422002781791,5273.129277280862466916149934732092983217,0.2277030482011431116017954948975524232966,2353.386915591264606332956232364228064795,12506.9414113908734949534657759568435247,0.2645480638267778804144988209067483043789,6485.026784165672289910250853532851534283
1984,38785.0497068936909526108910253648880755,0.8706164069808221168257737588092827742816,66183.1252159612114640524671288256686191,16166.1406904387137900024179288829488132,0.4431502959718247274556957830833593846843,14041.4988621125469332741054234679361995,54951.1903973324047426133089542478368885,0.7260796341054749337218544946928336749264,78201.9228260165843468262691054417290272
