"SURVEY_YEAR","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1975,9008.728197481598216554240612028742911802,0.5264634286473177949570576677957952738057,9295.821231811949142887493993448598565475,45898.4092346469308860293113694227735165,0.320214483788880151252125984166264780553,28806.7774228143438937150352747482938836,54907.1374321285291025835519814515164288,0.3227989968061421530372475434104220283341,34738.9790059526080348810271327328190029
1976,11687.0988565249822278464292706786600335,0.6459290137694313200088843549500352019614,14796.1110269132193498304213871190394813,48329.108929805157684661568291557597636,0.2551228675428364618400135968403701916214,24166.5272776855123074585989743830694523,60016.2077863301399125079975622362576696,0.2612259714774690964482551708572609226829,30728.4726794203622252330686811913723814
1977,6088.735260482292967244738495222729713444,0.2508608785263370343001613766035488888302,2993.753934055392210640329535013058530375,123607.5767320714198203986951461031461759,0.187397093366494236890252380660301267082,45400.8531714255333639582923093548140443,129696.3119925537127876434336413258758881,0.1869171974985563260347052827099323611741,47515.2434805512216799969515645562228566
1978,3783.474640135927088939203559399999778772,0.4931103424117913788839867909868847266941,3656.714131595362097802166658575975326341,101939.8657360609305976552538522207594624,0.1956527442122250465233862207842299488709,39091.8363727367433992542491714072993587,105723.3403761968576865944574116207592425,0.1903193078898202999496123883019542105153,39437.5382176674522035969595574119652198
1979,4903.797891869345101482519693706545823341,0.3422557445233443943292796160048951355647,3289.571877008548816423063177478480885097,54365.3079295855511090395025282721931429,0.1962685314323371374770344734182388573638,20913.590330484836360129043779882489563,59269.1058214548962105220222219787389658,0.1850475799046866637434481430078112697232,21496.5050069350086438406587112573990848
1980,7229.542661613180561589477471222735272776,0.446351672968566349803332274411946285209,6324.760185144983610522635568309403325459,53034.3457612018652349422502995548392735,0.4017985870562958065703928884792539518075,41765.8853769196818816993837769544361045,60263.8884228150457965317277707775745463,0.3984069086807419252055774489201112352363,47058.7170035651931749118217500912342164
1981,4142.294731076497760897022407049884837211,0.2361667326787277879380170017776978625727,1917.413536364065881694154154683865095703,29362.3793182211792466056956216577103244,0.2038434550270397642276901440601824363145,11731.2445421597748336329716442152960025,33504.6740492976770075027180287075951616,0.1985428941687798365901445386638076323557,13038.1453097011788283230004973658960057
1982,21747.7458541019602365459999950700485633,0.4964847411421620374577620654695853770259,21162.9509827667051776784812700185195916,9460.360045346029127343285426737156201122,0.3855429203246881249090407262328244465655,7148.854684843185806727631928136196586793,31208.1058994479893638892854218072047644,0.4480392064527379943068043587562333742739,27405.6118040801089972907104117139723603
1983,7233.812134110011028037315841224750541465,0.3155123352545600617126997803129084282328,4473.41964008261188363349279422002781791,5398.517149811968294017601936140873072032,0.2275391337293072135609589832805047289237,2407.612874754406801927955147110740964372,12632.3292839219793220549177773656236135,0.2637542825753822078422060113441750199586,6530.388657172193294813237748886411110267
1984,38785.0497068936909526108910253648880755,0.8706164069808221168257737588092827742816,66183.1252159612114640524671288256686191,16473.0243022119824883681576187737701395,0.4427642211974578742028308338078108170448,14295.5849208339433129192626592953945578,55258.0740091056734409790486441386582143,0.7238983644890516178214199155726116374641,78402.4096240128744538280626112670025001
