"SURVEY_YEAR","BIOMASS_MALE_LE104","CV_BIOMASS_MALE_LE104","CI_BIOMASS_MALE_LE104","BIOMASS_MALE_GE105","CV_BIOMASS_MALE_GE105","CI_BIOMASS_MALE_GE105","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_LE89","CV_BIOMASS_MALE_LE89","CI_BIOMASS_MALE_LE89","BIOMASS_MALE_90TO104","CV_BIOMASS_MALE_90TO104","CI_BIOMASS_MALE_90TO104","BIOMASS_MALE_105TO119","CV_BIOMASS_MALE_105TO119","CI_BIOMASS_MALE_105TO119","BIOMASS_MALE_GE90","CV_BIOMASS_MALE_GE90","CI_BIOMASS_MALE_GE90","BIOMASS_MALE_RECRUIT","CV_BIOMASS_MALE_RECRUIT","CI_BIOMASS_MALE_RECRUIT","BIOMASS_MALE_POSTRECRUIT","CV_BIOMASS_MALE_POSTRECRUIT","CI_BIOMASS_MALE_POSTRECRUIT","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1976,104.953960215600749361693501899940226962,0.4813574911212173256679241322160754514755,99.01993494633056292627263040201610268119,613.091525399770791106196361720528230539,0.4067956837174787211440385809126214817824,488.829853062527791975158902617477914164,493.918175841470967888687763598689753946,0.4881688218815101048840298339041799354583,472.586289852535039448582923195614926673,25.58779871586229827516983415100235371425,0.6871345747680107967741856289131654799559,34.46123193215204637297582681276938932998,79.366161499738451086523667748937873248,0.5311753475631412983270626348643732371787,82.62840290197691177483656908381793000527,119.173349558299823217508598121838476595,0.545619971067298316407411923173344290095,127.445784694465453152729557580973477573,692.45768689950924219272002946946610379,0.3629389212407335265818292822948672755764,492.586897940796541503258275840098826032,358.715055997035515122148945639815656138,0.4082965111097040014529542935679997278779,287.065727458378940215842775782551495391,135.203119844435452766538817958874097806,1,264.9981148950934874224160831993932317,718.045485615371540467889863620468457501,0.3493064509595289539782198305511384546604,491.603123607321186628213779082157090486,0,0,0,0,0,0,0,0,0
1978,2768.681373011666982566105248120810609234,0.4689520533766011694559688349625205717527,2544.822477437962588013529380430856527105,5154.723180376845653956759827370484414747,0.3948814068621269787279657360935119545022,3989.588509245971632979201546711102661006,2833.765259625704719846854755910494850025,0.3301470890403722780207454550879140794056,1833.696328918755955406751460565422750351,1090.580255507957804419004125657566407729,0.5650170123174589702120975460106612386872,1207.744939412653997615332884243496071478,1678.101117503709178147101122463244201508,0.4228033988268387985224654568069602981184,1390.633437869141874643896236595167958046,2320.957920751140934109905071459989564729,0.4951931625770175411085755090711696664162,2252.672086250475200366913382742775765626,6832.824297880554832103860949833728616256,0.3939947922793625730462260547459669855684,5276.510492252668013138159129030192597244,1713.482874625264681132381524968626308403,0.3698954030775155299104931059682857704154,1242.266499608827281007391900240401339926,1120.282385000440038714473230941868541628,0.3064407748852947516357356123812507488769,672.868396213766665126410207891921510984,7923.40455338851263652286507549129502398,0.4090654723722477052435955791901943822571,6352.734803799448956155331914514464389906,368.596718693922422754058080488905739019,0.5302507755832204687835525050678633856273,383.07944409116970690697257212113591847,60.1999879918550457072476526810529990664,0.737381313976522812067525905850124836825,87.00507864373773820026482285166419414625,428.796706685777468461305733169958738085,0.4787188633516484045567984142655117762717,402.335221185749308885832375666514503623
1979,2955.986632702100265082366528968254323552,0.535200268972495273520518480310864424344,3100.807888166478723658054846303388396997,5707.070168461470010695572947890663527222,0.4591571481402686745965827189989415377551,5136.066443062855721262258647054351062007,3053.62046348079673459164208804073517051,0.496417261012874704241470790344170851506,2971.105017041844118776820461086460595706,673.169413041685792831868648127173985691,0.6229871229696508086093501499948558185768,821.976716767936393031470003838873439635,2282.817219660414472250497880841080337852,0.51479104925269376099551004505753424382,2303.340788651759643338000699440045759426,2653.44970498067327610393085984992835672,0.4752435769986454217417863400584832027499,2471.628461194790533515648492499660584915,7989.887388121884482946070828731743865074,0.4634172323307664804108382638056428991866,7257.196940074363019278935091205957142949,2527.427734709563849154953535298026803515,0.5239467536800218785815312708884559374352,2595.505611253377964576475455002115694711,526.192728771232885436688552742708366996,0.5744682949641103587509481713602864782586,592.470837850656555663319820368535721777,8663.056801163570275777939476858917850769,0.4681674989405542115231079366246154886408,7949.292806130185217762597741773821380865,0,0,0,1268.438336270311528717596699166578039599,0.8194737238281020591576409159300965432898,2037.325698264718861136416341770590701388,1268.438336270311528717596699166578039599,0.8194737238281020591576409159300965432898,2037.325698264718861136416341770590701388
1980,2646.100948646200113135471709451180446132,0.6818261648784424194019266391322458371483,3536.194488925427993827010865176048677532,7826.2017111054325403474323863710120422,0.4661833814405491376991045424546368860463,7150.952547937126720650145875913983857588,4785.56789692115284418680381042010156663,0.3729326922257668512233183839851690778013,3498.001650470893009165482601698248626285,485.464410987425027007123767306368510381,0.6433993517125608555283672390780308727721,612.201075125305756416258117866179716498,2160.636537658775086128347942144811935746,0.6936821807060320173701039432551738201403,2937.638327706288751869484121499871859251,3040.633814184279696160628575950910475582,0.6416889207181613023476778143309701864541,3824.236419825191051961853933666926034015,9986.838248764207626475780328515823977931,0.506918685842997112762427984619295960844,9922.529244748656396250819278371851459144,2335.001474385743951465027192186090525081,0.3776503081685797970307601241625299847109,1728.355491696694201848822684495952937825,2450.566422535408892721776618234011041545,0.415680937781698329051709105510143341178,1996.561347287086309384513544596229772985,10472.3026597516326534829040958221924883,0.5109733892447218575376815995162538959911,10488.0932471696217098559127994855962394,423.475989508097330711083013124320162069,0.7909037798706264766193296137067560693981,656.460371141359559729553480091294217867,737.103987053633977549944879004882854755,0.8639282826628004317481772661051113225656,1248.137764091132206490243753044650713821,1160.579976561731308261027892129203016824,0.8291763932549895340558417381127320389504,1886.158017336856644735048971341440119882
1981,527.307125933176505739515708359620144259,0.4168133124005406565958689708407926713412,430.785714432728011674186086357945337879,6174.812053358602083694365268788343855349,0.4043885076682973856107678940957773697128,4894.165141524204360894142634450506642937,4714.614058167038227865774666665019854455,0.4699599554669599359872848885229641581411,4342.732433127365711840725113987628341771,150.981891767188805092368625218564587172,0.4423035100999153669829936327029137241137,130.888448552700119999580990854657174661,376.325234165987700647147083141055557084,0.422158933045482017236775539214584173019,311.383356293864905031256368919433453132,1460.197995191563855828590602123324000906,0.2848207333102463454062892257340558722347,815.153540986481057445909804421073403419,6551.13728752458978434151235192939941243,0.4016939411499324439277926087558108001707,5157.842225838460032654846855199710831578,1666.02274343086792673938317795116191197,0.4374381994895808480083136252574183762507,1428.412698822377917843131868586598686061,3048.591314736170301126391488713857942481,0.4953126962175963425837207521431300545022,2959.611728184337946942859058796323062186,6702.119179291778589433880977147963999603,0.3997315704290042393896355752551464120853,5250.935304491677301536795547563655764359,96.71665136551644455097020489148108985091,0.6596869624298180449468747060833168374135,125.053319353174463466387263530426471041,62.5410340175341709942237972653263451737,0.5808896273981351930481745110846376266821,71.2056983771774644931609021932681964714,159.257685383050615545194002156807435025,0.4837521768092913876228946938556841823344,151.000853876213603883517443983751844415
1982,1757.991169677538810201024305601017152077,0.6620301843318664353996216679597682379997,2281.132707506212424173666073411256321728,14934.393964812073666871054402681323894,0.3163284869329118516146032303345155759106,9259.381522452066781472489512709503191899,12064.9830902522673180899515473448075199,0.2876750688427376856275471649650106358095,6802.757888506582646420768713540580608416,470.438991749969535119212873864648428834,0.5093276987823038020250350450974234595652,469.630913807539206048079256970873808422,1287.552177927569275081811431736368723247,0.780190816783060137881063700304653343139,1968.891315282311765295281045593428325984,2869.410874559806348781102855336516374073,0.5190662250366189356005101288109333538107,2919.251970644092700830708837030572806246,16221.9461427396429419528658344176926173,0.3439584421131811962740551942015208911506,10936.1636336692866778267856591953121213,5265.797203020509626049038328807305152246,0.3054811069217460262510353073482379289493,3152.859054472113357627072100938493759092,6799.185887231757692040913218537502367711,0.2902093866189390002781068373075787862263,3867.447629049682912302166640317042200687,16692.385134489612477072078708282341046,0.3418757943001375290434637831059416357093,11185.1759561701907857794104363069348545,415.758756197969758862668034149336941184,0.6676149908505155791151100109932937415189,544.030885301653463051261363581135986701,0,0,0,415.758756197969758862668034149336941184,0.6676149908505155791151100109932937415189,544.030885301653463051261363581135986701
1983,1161.983854021056067176882654191846099844,0.4866243754503037814044515017369973385551,1108.281347802813403095956172861891085952,8834.397262968546357639489674470911407412,0.283402914338106194689450260543168883096,4907.240104261914547350362465990779833317,6919.187613214590751292488211834098312149,0.267743693009635451596413201612367674423,3631.034934609655268073919539412280657885,362.123804054254199493449820692577309107,0.601435954417796690723137662551012141532,426.876780389196195625709685454644352185,799.860049966801867683432833499268790737,0.5256550930466890086275156290568172247265,824.082997619671968669090803390693307169,1915.209649753955606347001462636813095237,0.4374531546131543857292980346169574759931,1642.116425939627904607970229976349239063,9634.257312935348225322922507970180198149,0.2981086732847611456281406837321905610849,5629.229104660602506145299606587182279008,2347.620337251314912813972572318445289126,0.2676497029655431919908531723654460330439,1231.546176444718228288783395154933803771,4571.567275963275838478515639515653023035,0.3061576388033552371449689343449505388342,2743.255675965622308371149566970592003881,9996.381116989602424816372328662757507205,0.3027298263911045125901125123287587375581,5931.357331367732390586160378459961838698,78.00331605761959932398910345389540618452,0.6201439156124655862219616800090702695902,94.81163242742870397991392552236854119873,1597.24946509902513179731115443369007839,0.6971991267938027571785168494341479162831,2182.657827384261355091729531211176560534,1675.252781156644731121300257887585484572,0.6814975906156447240574187480060439736361,2237.694238699606212536861174444839531959
1984,538.661353669889406638293709903280565428,0.3103147882700826141916730861181273940253,327.622984470161726744490146139785228646,3737.397282126819763619609739080758052643,0.1853989864613087987032919973765335885294,1358.10294949474261382642580544796890441,3145.084778421377988536409421640459889095,0.1976847112029763426133208522001043831581,1218.60094521696962086002347651016814803,204.837059532063524146029124693413199757,0.54355240192101557750697185175197291943,218.225764393738727919144168210344243382,333.824294137825882492264585209867365669,0.282445687056714323652638683991778754685,184.802974943402609330400298983449325713,592.312503705441775083200317440298163557,0.2821929277890121508701320972659881746151,327.606943189890296834427030946203137532,4071.221576264645646111874324290625418315,0.1794347338087036699216169109210777764938,1431.816377234063410932411696221053596444,1321.541040997816228212815346238479990284,0.2467828976203120922199389837306686891345,639.222105746345305232972768315303011261,1823.543737423561760323594075401979898815,0.2465629725090459183180321486442355261262,881.251994222840673447188621210723179566,4276.058635796709170257903448984038618071,0.1778567936424017786456925649801946599647,1490.63111364382251776148909777499010564,42.21754865160720968559373886462334193943,0.9839082830343909858966646864755186229439,81.41486378313848726518766111331915239273,215.564450486454748118070478656299557865,0.6735023915812662037727568072058301082711,284.559018967356282915952530370615470102,257.781999138061957803664217520922899804,0.7195303133361270128135170988452766717594,363.544646719956970316903956304935409528
1985,404.317490436189684474591370409610628792,0.3444457837612741149532207775417979069874,272.96029156810222191069070569979932423,2831.066853621152999839270975641090220823,0.2177350479258959032846408145408198354913,1208.188055027049457801637896087119264026,2405.000269880015107816267879508581302962,0.2092987404588953111419362850463346141759,986.592513486813302364281004699253763535,124.840732805442417869448454475843830931,0.6472396864434872316521811077628153802839,158.371678442484652419547071679385420018,279.476757630747266605142915933766797862,0.309187669519498929466757179319572708452,169.365104058364509519967324389658735594,426.066583741137892023003096132508917863,0.3296157294265601682767611726157006704949,275.258965656870784563763571309588633332,3110.543611251900266444413891574857018687,0.2104659209779344895954366343124310701795,1283.140314732956383512506427136012303961,855.790523582121406159643850884482717682,0.2838858899629345181722720726995996674979,476.175834641554221335993891468074300406,1549.209746297893701656624028624098585275,0.2330383694320853111856572134250720999561,707.609613843689194913205020824859710771,3235.384344057342684313862346050700849617,0.2060900622629202130581305804581739029963,1306.889899386059851802774345670129256601,95.06752380672501672917280059318207973712,0.4997582653704446137497112415181796708399,93.12113034979618998560655723577119088954,37.81541005139325201291579284976308497108,0.8097555852071101278557983995203543335021,60.01762941218504342849172926083697013948,132.882933858118268742088593442945164709,0.5605290358121349563372322032331376817422,145.990095871102322130171565177508808192
1986,252.085742929644578936558542838762204301,0.4815894774568990555766634141448354001208,237.947608775170568132283674821163095916,1267.433097473886353247884485769240676636,0.3906789341585319400103368766502927803958,970.512446811155496555758040286268686098,724.904854888289491911246982660135281808,0.3107568003645334758756127344368670849995,441.527462016650521366539654704459523559,102.668368871558019672304049361088317594,0.6350801293228579751661594320648119867118,127.797176321419268373831738425798923974,149.417374058086559264254493477673886708,0.4338495124503505601122697409568219353719,127.056323577956522516714603007865237721,542.528242585596861336637503109105394828,0.6652169012887669567577427636147975527834,707.361954533085153764497727389848995528,1416.850471531972912512138979246914563347,0.3875030592362595036598778178113994577021,1076.106428709993565773281950847717244269,301.303355321404394342981662710238358731,0.4945147008299342836989638007039412762004,292.03791968700657676305218990556889873,423.601499566885097568265319949896923074,0.4321909604498902839508645731844842378954,358.830408333818672761765245357660714198,1519.518840403530932184443028608002880942,0.3984735830285998643101688087550167944119,1186.756708957514011340256094961363217223,98.68131805107382257666168538406478046473,0.5809891260552068994362963970290263201335,112.37223455563981455867388480760406255,12.62626405024206653639313310543851202298,1,24.74747753847445041133054088665948356506,111.307582101315889113054818489503292488,0.6215629428483915540803777664257995207087,135.601949852776402989908672024068467613
1987,495.012896355260960331939498552697395088,0.3905830314503739207900715389033128930806,378.953529824316452204952259659504619298,2021.578646758702032966768701252200381232,0.28522929902879355496497684302745117965,1130.162382279260812233134778005111795384,1284.207640538872376739018075105765342625,0.2728358309643561515476167866103514381182,686.740603124908923171958769643363461187,237.673007384039659000000561655202117663,0.4710850187091310932603503950157729696522,219.449818535124919465399064089324666029,257.339888971221301331938936897495277423,0.3914785067169586287405338205026079749313,197.456349488196826077388571392123131865,737.37100621982965622775062614643503861,0.336760817790506026080245233845660499282,486.702619616412355391202912532001052312,2278.918535729923334298707638149695658658,0.2906562551988927553231820554022868840118,1298.268577897263045245031900514476090528,803.695585978840366544727163554310371558,0.3285610099448401429718542359222800331255,517.563545498139075854163758026913080561,480.512054560032010194290911551454971069,0.2980595441359484863377585445913657585765,280.713559710622650214057141185064538398,2516.591543113962993298708199804897776323,0.2974791543492019384170630746601643818895,1467.321707212273968510654797718746184896,204.781993344729880073516348037906901784,0.5288512511211876265475430253347818781525,212.266458239404185531480050809417030464,35.201438645626543370361134699021679843,0.7171515089327060981481953148672027257539,49.47973908897377335564474047731558215164,239.983431990356423443877482736928581627,0.4880683000719339919248733629467543436161,229.571479166045210796733001579644778713
1988,701.606077587437072127824964371828531841,0.4058941539541977453283841576819801779895,558.164498332092942702504584545166412042,2829.802036645838609846635220686681372243,0.2426611298253013790685978689452721035064,1345.898600413059463362140594220650788914,1879.667249399484316444815013373167967862,0.2229600752226792325103232023632304454254,821.417872586642553708777170126602845003,373.23646598442090698718314049350318661,0.4256234760768100634509366923535788476365,311.362076019790077630311667251739424943,328.369611603016165140641823878325345231,0.465270211722747120993485058894075205063,299.449973479149078766483127898663974564,950.134787246354293401820207313513404384,0.3343263783383013003803408008067871832229,622.604039812479875012447106101139286199,3158.171648248854774987277044565006717471,0.2519450465588709781048519755650624532854,1559.543977799569467070224746499402279517,864.134468765241921674859777863385080627,0.3180634022121640264922880570230689970868,538.705116244376713238465725146748214923,1015.53278063424239476995523550978288723,0.2222702934372138205566656496262938802848,442.41662752749818968673510720842064355,3531.408114233275681974460185058509904084,0.2550534603521764117311289638440990375195,1765.367804523863661786614467355438245175,611.831150399215703743900703756086610546,0.412089911243319197943167391787689266665,494.173711149264930090121625505660102768,122.789590506172030380155536703941134173,0.6097494971897746915093483039387142042314,146.746946499702386054127652917320373202,734.620740905387734124056240460027744718,0.4192809487837452412485149224592755467645,603.704463236336560265197783518034440894
1989,3040.977221836361645538536620172806146221,0.4523787430262646356114264507833561605386,2696.319968244237759411176875311427751104,4790.465794117447334032799590183042667617,0.2496249243240524426926042583592500676532,2343.806536213717976900087915747465762172,3414.612443223150609276136903660003047663,0.2579947824283248679746803875618296251165,1726.666300958158783734377030317137404634,1492.816214182780896045850000469794756907,0.4870470567841200147231387498743036505353,1425.060617137178468185986751280925260847,1548.161007653580749492686619703011389309,0.431885705079477756356629502901799528023,1310.512072399362103026957227320831809602,1375.853350894296724756662686523039619951,0.2955579492129603283637040426164972246879,797.023013823871760820367446736996128615,6338.626801771028083525486209886054056934,0.2711505864241701374333539649699376322128,3368.695853871385556460046810612028167038,1479.199727894697353761137988505531835134,0.286396629815198460468261627342601388984,830.330121109495862794588808112860856419,1935.412715328453255514998915154471212533,0.2631686179947500276907493599343783627753,998.306183503212968491312855888084973147,7831.443015953808979571336210355848813823,0.2946050569390512761856533152998043641505,4522.078122634814398839262302170843992042,1218.990487841322041796164949358290824855,0.4297536524663061394668672203976842606364,1026.776604364125285108152364460908709534,504.348407988454394626263862579023802249,0.4531566452321316344246500369693232663359,447.955711880740248441540849307373094974,1723.338895829776436422428811937314627104,0.4237551273721090271562952747143555014138,1431.336438883007022603807243155153128778
1990,1122.365605649625585980263221071470305765,0.5241232018610041550748731075708600150366,1152.985395587823917243743557931027673982,5930.615632241158184626680515248210268655,0.264387192670302223370252665993412776274,3073.238482917104674073505736282908144391,4706.841778076355664618588993391911451513,0.2640124851987461457626156621136246252635,2435.623390723758728099148931950042556881,322.845467081402209662635978884276174037,0.4960283269867964359583940595616707560002,313.875373946851248142901801615287623396,799.520138568223376317627242187194131722,0.5443059798502469293252719209987625481828,852.959841169428770741654716327649966424,1223.77385416480252000809152185629881715,0.3905751465214709598381863717267833897045,936.832278703143438192268114317394896845,6730.135770809381560944307757435404400383,0.2743015902171731167200968032883371772971,3618.33041084856728034438841801908301766,1857.720924305887342062684270266251520902,0.3036001504791879802391045380072285032494,1105.448530248503017778809916926820555109,2849.12085377046832255590472312565993061,0.2682085911084670669039681046344636224602,1497.751032571559051793879084382717060913,7052.981237890783770606943736319680574422,0.2765593491269598925764685037148460109422,3823.11308508924066469035556365343908061,336.095242816229884279053928436027259199,0.5321829905649872584931038265077278205557,350.573776015749269541621501672014229808,12.94730582882871221362267591786911593847,1,25.3767194245042759387004447990234672394,349.042548645058596492676604353896375137,0.5136816803411173170473572971354643503403,351.421655281138167296989650057205092461
1991,1664.048782352547866293266610289659686203,0.5096642573178324625690277350484258274525,1662.288126124775295616335025130962448227,6073.393179619865738915352735817737094146,0.2451004751889563652712976836220133667164,2917.639446495023595772523172882667607054,4098.733701907513454700560680087073764667,0.2366671624127243340508913183975644152276,1901.269922443070573410139666485740601015,789.251821909852413578680518363829500845,0.6648170251660277372309894476217500521043,1028.427774763992164007890218813865215117,874.796960442695452714586091925830185353,0.3864140465058715436863861432024286356824,662.546313377169628048277448267190139017,1974.659477712352284214792055730663329493,0.2903275368434949196371484162041776788735,1123.664123647023210091381999612431311268,6948.190140062561191629938827743567279508,0.2482654612435672470942121078109917000593,3380.991434664050220854488273295377258408,2150.011970031321796449792920420635504261,0.229462835631132043116696527025313877777,966.961772837156627740493126142611892662,1948.721731876191658250767759666438260408,0.3223379283355446569805644415273402231334,1231.167974872635619979833379241457465608,7737.441961972413605208619346107396780356,0.2750368471688603031761002436903055889416,4171.040019050949335546741268623281672935,521.345760460049531406926145686800961743,0.7327548026623972034623037085839307820176,748.75647525657075424140206811702993468,270.258352168208670520369236864091823667,0.9561590537076744953844305305322901059313,506.483541720869690526211706624457405194,791.604112628258201927295382550892785413,0.7870845690633351690820386980918433968223,1221.196388439281831031856059670879148995
1992,1250.293612744213994532277991570428710973,0.3843688276928502342882773231522109870241,941.924824796609933003270040729555866271,6278.836489217075108395386514785720149074,0.2041739834684836611468052351377015505034,2512.671112799409402095550032814768179818,4607.843157778287605317611163738837072305,0.2008345718181048653113282882841243884804,1813.811846890877756185082267729866233848,435.852653827721653893407927153766898153,0.6449039431810796257343600770409859661347,550.922866394894114556271367564975475962,814.440958916492340638870064416661812817,0.3213215279498385522381281776024893021458,512.926930154198851129977207443503895607,1670.993331438787503077775351046883076777,0.2996926341430838447743098837443492290107,981.537410543458078555585800491630878305,7093.277448133567449034256579202381961893,0.2005101295149059278896744787224044146942,2787.657000428429128306506126942048357247,2046.75567637374079875437292023483765414,0.2037371687626387391786339848884214770968,817.320405040361431547685298269199846832,2561.087481404546806563238243503999418159,0.247478716956220086307571528789880307074,1242.276702064843449009731934435717105692,7529.130101961289102927664506356148860048,0.2027690643231935085734462680155617557042,2992.28234524687101439400649260467901314,279.590999203962746171514463478483048031,0.6884740471389450678076682964129254136063,377.282647660524649248019524273971450756,215.986802440111003167365807263911864344,0.5914007505247614536152516559312744253208,250.360123850389050502566080716245183178,495.577801644073749338880270742394912372,0.6212278404526786908909631206926372966905,603.418785883602433387295240272660176999
1993,2105.913844204275328332600412403065640268,0.4053434519610951883287312535689028461123,1673.092038799145107550566074658147781705,8425.335376212083204672847722049466888773,0.1626038270868191495622951243445072198379,2685.183882257617891929681176585359252996,6257.52049392016076709159474725929480081,0.1631927192514628453363325797040431274314,2001.516298942192308794744620606458085524,982.782879661819512563660438815880184178,0.5650492032240732250258949356456293766596,1088.428538866535854722009260384716624366,1123.130964542455815768939973587185456083,0.3110350770554675425300839783461159979583,684.692927155694884780029816350473250011,2167.814882291922437581252974790172088005,0.2083243833589662918869608597356008915452,885.153049236115481473874114856602139804,9548.466340754539020441787695636652344862,0.168745362577338223144648840469968271912,3158.068452867143876907563473206878641394,2465.428510212368789221260942007300434722,0.179966595088399676645232537258726953992,869.641757856900209111262284404154110076,3792.091983707791977870333805251994366092,0.1939212580388876078601932002757719217346,1441.319806236399985134942735791616907855,10531.249220416358533005448134452532529,0.1857913196445482985381120432669407199238,3834.96479272688046514737324516641058008,643.340434445189796987577977427499178603,0.6681528284744936001850567724052043569955,842.505472655263661767484931789563203425,1634.765031241695303398434894143397974225,0.9444151853427388597044446393868542495354,3026.03796314502974663568122803362809962,2278.105465686885100386012871570897152831,0.8581060937388752500836466324237439554357,3831.51811728007838979660864378842375845
