"SURVEY_YEAR","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1975,9129.643414542836755597871595578667709006,0.5229324930448480592809934610327928073855,9357.406895099635143174487785685401018815,60075.5790309360486681900054300647043727,0.2969719013200681614543827444366363032885,34967.887498333348769873744689743048012,69205.2224454788854237878770256433720811,0.2973799194651001108331138539976392160762,40337.2772157056650065913415795449007095
1976,11778.0510638406770193555231993937480115,0.6431852826891368182306740294849368682709,14847.9194419259707942429954848101731394,61033.0177479073548566878461734573730791,0.2304116014622395836759382963925550690917,27562.922108282504503107505289112113546,72811.0688117480318760433693728511210906,0.2366680793366931176909019331048984200933,33774.8293878512819896656516445983671709
1977,6128.022906188562392653514644788830207113,0.2505709572185181934692501140612462150605,3009.588948302920640512622723816431634074,132993.2992272835800447307543671250481316,0.1891091810322502627568160450784003280672,49294.4976433112550630861548606118957889,139121.3221334721424373842690119138783376,0.1880897989434227856775402179631517719127,51287.9109573027419845960098906474503638
1978,3838.264438408702060048701216435056452282,0.4922049614321682487721541697992171750396,3702.857087751899515588893808641649309049,142203.1725105829249722218681688384127583,0.1960941014467005779628341440910409091334,54654.9985392125055737284246558594657272,146041.4369489916270322705693852734692103,0.1931013808927269980949007645961355666767,55273.5741591204765308989088834879149507
1979,5168.068928993576485172852944648904420643,0.3498476990062120740638762040689976087685,3543.752565303247030301817148778678214287,59026.1081320065385476827718790935833713,0.1853965503403149166264229238708145033895,21448.7441822693069081405144090298659755,64194.177061000115032855624823742487793,0.175376337186457695432375818398225006741,22065.9536976479631301851268439578159046
1980,7635.759158029288736787801632895738289929,0.4263919948857948260801787952898359264019,6381.420096524787560904461238773493303106,74041.9099191529406522999556156902691114,0.3235789785833308190165302179241327366496,46958.4749446370582686408806799943956325,81677.6690771822293890877572485860074011,0.3274749994378160727846413233535251808229,52424.8934848594604911061036660206318181
1981,4233.098337036697332075092760564223403507,0.2325590676003604585828649549786473226977,1929.512988550905840910635286486091522528,58899.6487334863880010509624554556193087,0.2640559864178756131033041385285462174209,30483.4974981347674054510745686295948252,63132.7470705230853331260552160198427134,0.2555909587032006290093795718421861559574,31626.8723246704857292830199113040933747
1982,22052.8520435836087296080103475041170831,0.4931943614494145657485138241847408331821,21317.6308722763245650265393341978744518,48671.6141042894425305274714436794132623,0.1961552428965814782825848371915137112386,18712.4968821193300608223247112161106372,70724.4661478730512601354817911835303465,0.2533728895291578630897712800971166655963,35122.5382026556590128780188579142808568
1983,7290.87236856248576461756208045755783112,0.3149587516380356538703194494031067406995,4500.79515672718985364647378837964466989,7215.107340815264318060862914408390167979,0.1903176874666123064239467363923919229638,2691.398586097585766334225322071058378415,14505.9797093777500826784249948659479991,0.2372161129937028488214023893823694709651,6744.46215877526182510657562505429748192
1984,38973.9720801546773911847987109465983425,0.8700014838531055226299153547562685152083,66458.530541112787039438005448469350639,17728.1537561160657871143955783183724321,0.4176831981329982780739202571279694967222,14513.3138373822453066615940241779171875,56702.125836270743178299194289264970775,0.7089880002622020861663354396976488006767,78794.208542255741203711201210664627377
