"SURVEY_YEAR","BIOMASS_MALE_LE112","CV_BIOMASS_MALE_LE112","CI_BIOMASS_MALE_LE112","BIOMASS_MALE_GE113","CV_BIOMASS_MALE_GE113","CI_BIOMASS_MALE_GE113","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE125","CV_BIOMASS_MALE_GE125","CI_BIOMASS_MALE_GE125","BIOMASS_MALE_113TO124","CV_BIOMASS_MALE_113TO124","CI_BIOMASS_MALE_113TO124","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1975,45359.3829890274986612850700862418327594,0.1468670186427289351783402371881760262798,13057.1228002614794194415448529733411531,239870.6238134033809290538554679904456064,0.3711753705361132454066275389218104196149,174506.7726423505137923806031952558579311,226617.7900190511441436620312442758156975,0.3871160622299867479913527130830783739618,171945.6775467366620234769144841948457328,210735.3031605789329403578436088737465595,0.4014300135350179633105435721298378035311,165807.1321761123370714586726565779190035,29135.3206528244479886960118591166990487,0.2020874214869223311328995449138375708525,11540.2483768509759283095337076863683937,285230.0068024308795903389255542322783664,0.3165724445803495315971682398766821810681,176980.0826213859282949331210387223457433,9550.160360118343078569304625525479127236,0.2405504830879430631104175664851346089416,4502.699548859831771149135600892549864843,31418.0467395595335259094951497450662153,0.1958502671791125645697261388515602763479,12060.336382449618816328159293836203789,40968.2070996778766044787997752705453426,0.1669129635225005413156007968570013706189,13402.7247201331309871900009664448489594
1976,31528.7093835226825387522209402333653814,0.1426905167060743263390375166268099873228,8817.74175270059118663887409388626663352,121425.6297597403319307631294528170664148,0.1625414845060458781862760098864714735334,38683.9361517302050474257336366215088374,112350.3515110877583917927703813860315693,0.1691902355213044146330561210107207096567,37256.8215688020632654232205296726689851,103825.9506496669587861309727052168057261,0.1761868601498398746073023903428209769751,35853.8257641926159235914661352143093342,17599.6791100733731446321567476002606885,0.1420696200138613446330862548186752614263,4900.744258126674324211000691309203167916,152954.3391432630144695153503930504317951,0.1391013786515567001461504234500365544832,41701.2725133086724601517595076506710704,6403.176171708571371872459902268063750879,0.2528969262604152537431794271993574448747,3173.913401372900006019195024768514886982,31156.5718624310634341877133684718404091,0.1930653506939339644660691864608228844142,11789.8987671603767471463460883274202863,37559.74803413963480606017327073990416,0.1694163315328533272293173273296627507218,12471.9400614747833056011032424196202005
1977,29463.6283343539214344857413905464488178,0.1891180027661345203771684017290991297343,10921.3209878799405163299637301853270689,106521.740984029517626729162827599576624,0.1362279520208111345737341296529852734166,28442.0276950934625937492335165308347778,98385.0395127289135845239489640404612435,0.142988276280211302890200936060811525318,27573.0981349037515305166677821023116328,90187.511153866304872063244699841120725,0.1472935018750429194916020151095094898841,26036.7073127650231529082825873227307378,16334.2298301632127546659181277584558991,0.1301508052715097598440039645040358792508,4166.789805135890150067615967315332860362,135985.3693183834390612149042181460254415,0.1204659971778575834693276957154422865472,32107.9617084150691543414775419379152943,14474.4401099599928644254039488317645724,0.5960395165048787850520818519220476372689,16909.5830382459821800705374752457523306,38573.4093416745514258152764185878049371,0.3090351773224497170905263944492697703286,23364.2591758382334751964086639919024209,53047.8494516345442902406803674195695096,0.2783116570422675485558540416660919991274,28937.1163714897817073812471217706442987
1978,24234.1024550529563075486306695185737607,0.1474268012333638472746730119350406537366,7002.602163191731355621869387841194263645,73460.5186675583645578804945895569407452,0.1310546450375556353979122210954816919223,18869.5907085731182407025549305624619744,67031.9223315437984225671577526658477305,0.134738112550310562591691540547451313654,17702.2392033195996958938442548306695195,60216.6539295684625558926059493084817005,0.1406685928635698533344533201217900970634,16602.3602714409016032785630134625905841,13243.8647379899020019878886402484590439,0.1674818321255206893370369750447591519036,4347.489192252610519737041897021461892545,97694.621122611320865429125259075514505,0.1165516116343489570311542192943948777319,22317.4724581010196211564402694408030072,6816.969407910008859817607801905152959473,0.2423979404583494297675289653313888599775,3238.741915504121391965166893980317598959,25756.6437723979968603255727571537718125,0.2269609335009000651756880998923618158383,11457.6737522898433757413326152575552359,32573.613180308005720143180559058924772,0.1994994375554531891473750653941573989394,12736.8983168958741436001366166354131913
1979,22306.3868226852802914319064578184588247,0.2271142806705889447165447089495320435454,9929.554035284380139706604488983777102543,27335.7904368756790461423696556475963294,0.1398848705364402832938706456307327691542,7494.772472296288801679604590481593680174,24459.824135419236329200855350114383472,0.1451627140931099512320117228407323886682,6959.282737165721295263457541272429212535,21231.3683274357373073158601069683266824,0.1490681770245539668363390197896651830028,6203.245889723089567354662741600112380222,6104.422109439941738826509548679269647036,0.1743170614841373833153662483017727241947,2085.645651385685095414769305604156457563,49642.1772595609593375742761134660551542,0.1372748601745821456398183870276116169759,13356.6609664533822624856044978703356584,3826.855468656852365474958082874319374018,0.2229528601562934296931125234929264895342,1672.288409397924000848594985077401638223,19322.3907659667688537096521715197979019,0.2982955811400368316989726686152090131669,11297.0162137959199022259735302518309838,23149.2462346236212191846102543941172759,0.2725595587976181492141079100052942388772,12366.7147468046173691161542711382913524
1980,84888.8662582618436934665881342649991814,0.1671958314421714148391118397168492553838,27818.4065654974241520730721661767724395,64498.3103470431882029937153503489873991,0.2202871485564868086339619037996641335442,27847.9717912005263767723310232189066901,53666.2739170724292520738529588690282049,0.2418982592990450309479368542640095299975,25444.2853574669045724426876035019644548,46848.6098311060308162498653775305771937,0.2532961907079821311324363088687778407573,23258.485843960012252370386038731877547,17649.7005159371573867438499728184102055,0.1904289488926349875460606615151152588826,6587.587278338632218386517807133888213999,149387.1766053050318964603034846139865817,0.154877266274062330587232490533494636143,45347.8879568991963442673977881837588864,13519.6477974359119776911089334775776472,0.2284011292515353909175504618476919997951,6052.289535074095169504032015334327016002,63783.2348253169255505132426302087588652,0.2756810675477086129528768777043299848699,34464.3073258475292205041563178883225789,77302.8826227528375282043515636863365122,0.2442662696578195709557904922696878277075,37009.6740732299936569366159915130740512
1981,44721.3269424951894232933900442110068314,0.1663102992446734663875268615289489064923,14577.7298421934955732987245450331407447,34836.4751887104160836698716540336920458,0.1475262261670990003379698008364894734832,10073.0156864062823152492089953832575757,28051.9408019577431200058795888764572563,0.1582837897658441331760977056983367479095,8702.728300825129593159264554322407201397,23742.6383720252826251769093411762734961,0.1708580735367824102258384189118544833937,7950.978047732465992265658798140093203281,11093.8368166851334584929623128574185498,0.1318042865944165265254549222424476223395,2865.941884547391423502102621121183088713,79557.8021312056055069632616982446988774,0.1270083886859776508059527434649442655457,19804.8361819212348160550341966846814888,1524.775937021471738195062377317695173951,0.2099880613239725610566007829276175837702,627.562096218421760807442213998601132803,42577.1561828518399965945360404165462181,0.2518900701622707021809827082717678393964,21020.5352020886753017822004423369934535,44101.932119873311734789598417734241392,0.2450383053119316260723202897275405132535,21181.0589069657770217727475084151413217
1982,32796.6918014790351797492097259276820204,0.162432399484515985448998471104676926096,10441.4008751580500450210174738252596046,34290.3561968837104988823436079421775694,0.1451792208255021511191216261502328679607,9757.364501205312395239831842934174695742,25538.7595685534970448270434741254841264,0.1444766143927830765328933591830054304073,7231.916895781569262729219414002231436353,20173.5095614111026090494419094067074544,0.1544498522847654793235531400686253094597,6106.959320777487704875309554396208667399,14116.8466354726078898329016985354701151,0.1463617732509465392507707427502454742406,4049.686744307681608311120928851233454899,67087.0479983627456786315533338698595899,0.1420038812181428408727048016176498681388,18672.1775426612875058837053810735821112,1720.26552211080914126444533877736700864,0.2691907060057351884859488501366621043134,907.63580121209340516749236727727622383,64143.4811203544861339861420089206211807,0.2581340298859091837422108518742835166118,32452.9259341153593747869585490755545954,65863.7466424652952752505873476979881893,0.2515427002445800168929746484520493441312,32472.3875701943981407137786345759284807
1983,16420.217783032067683500622498158612366,0.1761024418873230994608406361202977451257,5667.615277910644313311257034481668982714,22139.6365666483139319418024059442486324,0.1525153810616405617330074223048568301265,6618.204810756054288666270071258145190112,16646.2551352987799790423901875420516409,0.1613709994962569440705878360338985538727,5264.996744943613425029464679604328558847,13107.6236175391479710874995727973567237,0.1642880689677620342358255314578117343913,4220.715298848206540060909913909000541468,9032.01294910916596085430283314689190884,0.1606340175098334634210362305964260785853,2843.663111383838912906543300976822787261,38559.8543496803816154424249041028609985,0.1478946097174267570187683015999466573177,11177.4774352213291195400223188293729832,2338.43288886576777803934811024155456356,0.2361146216251363604519097944311242642877,1082.190865630617996021033686183577473012,20430.2000035320312038087014284755721091,0.1828356629230351067135863019503701170212,7321.323556140107283434516204040203313875,22768.6328923977989818480495387171266727,0.1671519007527022614747592582803527533586,7459.407720389386683883543351175130360765
1984,12546.6103276849069531938004876290702804,0.1432505065420395752939016853059998560648,3522.724238259838203488502195650806414866,19095.6187767469074803815542383924607154,0.1508835638277210082529252302766794175886,5647.181428480994762868574499794123700716,14980.8854525707263469272265581556383221,0.158385078365928256501141439942185112608,4650.58748413696181145539619147015274268,11563.7030743960136432270270241723290511,0.1739917668902322591864271634182397280161,3943.498694228019686866491598887794203325,7531.915702350893837154527214220131664315,0.1578793707217157509739045796575104129707,2330.702858375690917268670962222467499714,31642.2291044318144335753547260215309958,0.1288050001245845257380539337829969742419,7988.327554527405050198830122507379042843,2244.218046916758862458867921390214622343,0.2114478855853810887381769134594234023677,930.088915193680382936184408797537428315,14913.5544824786749357305283757138496553,0.2244045785388746894256160778789798311066,6559.473019988058066541794153597654506491,17157.7725293954337981893962971040642777,0.1984652046330081727340644192036702194348,6674.23283874241916479314767391567898005
