"SURVEY_YEAR","BIOMASS_MALE_LE112","CV_BIOMASS_MALE_LE112","CI_BIOMASS_MALE_LE112","BIOMASS_MALE_GE113","CV_BIOMASS_MALE_GE113","CI_BIOMASS_MALE_GE113","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE125","CV_BIOMASS_MALE_GE125","CI_BIOMASS_MALE_GE125","BIOMASS_MALE_113TO124","CV_BIOMASS_MALE_113TO124","CI_BIOMASS_MALE_113TO124","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1975,35536.0752277518274381892292777931966129,0.1801401216122387797112303591152341131634,12546.8869097718049682695065861258162071,171637.7988781147314343469115545476323254,0.4966024565198118546105542125081759056875,167062.0750068693583589190695230835108015,163117.8361925609540176144686642895619835,0.5160192790566584895203506432663568371686,164977.0185374001409817113158480865814226,153952.2570749009827188374858389222919598,0.5286533567454000145760793022911122286502,159519.2598631072385973393657642123443815,17685.5418032137487155094257156253403669,0.2556884034958721401201931522156228812427,8863.096379301533034119029812708365736153,207173.8741058665588725361408323408289383,0.4165668075507904439564634715249843938679,169151.4483146519968854188031959751079848,9538.746674315386981564648580454197962935,0.2468356142788963389813286161910946532948,4614.824693818619478310843671795829818441,17411.2681476235554915031958092146257723,0.1986233483396391241502486069342952424487,6778.237381507781530804666868435830239576,26950.0148219389424730678443896688237353,0.1686541021896154114736694861082372074667,8908.651885430243166964386669902542317263
1976,22589.3792386553446186526276779054543673,0.1608633519932473641358895592550763702001,7122.254397002466957126307556444423231176,77102.0599506013336284886934401055306123,0.2218738544922609479452519764921558290902,33529.585211845269233834211725439202835,71365.8586943197808156926904775856589536,0.2314581172059753115312595389096291356333,32375.6862809028824797941835924318738441,65499.6124272365737473881965108441103732,0.2433472804470845468162713319856053071796,31240.7390068319220461728523394150680499,11602.4475233647598811004969292614202395,0.1738979364264619511600541822219779886711,3954.577696346514017910301090148646636714,99691.4391892566782471413211180109849794,0.1845510672580600649337128556437999412013,36060.3965377838557886849513480229032693,4560.393710484733718829643173373691801143,0.2640411532022671181625079530264209265803,2360.097964170599748106903806002734513673,20505.2619889606250892969061697981935774,0.2006528432854302693676762620966476018077,8064.300675979308724689180553262494019533,25065.6556994453588081265493431718853786,0.1759575027532652595908657869317587804465,8644.560756225209306514050615695139423447
1977,16917.2715140462673053516219978681556008,0.1823134383088813038265445515836458826226,6045.122035600111565265768002915786600883,68762.5552185746772707043886127147427651,0.147607202994718533318155340847834766828,19893.7029553040414438534480664397403536,62815.1190374077652931184603720499072594,0.1548015309804914896587150171755485636221,19058.7981275965763210928462959258336623,57200.8171079707587626080268659182629598,0.158576584348392223520432724616723395144,17778.5919898814006335522176432274446898,11561.7381106039185080963617467964798055,0.1393087579307609732761854259617402053753,3156.876696389591045633243250052055071572,85679.8267326209445760560106105828983657,0.1341962149884972020219234922503056899008,22535.9005588404605060939347252535852506,1162.040638173896369625318644343650811615,0.2253659023792456692254213790970615408298,513.293300565892748665599600815111514953,29664.4100121958597572541334298980808595,0.3808084553742537464819058691274460439473,22141.0579864123920677607109221439540851,30826.4506503697561268794520742417316712,0.3666904772027320238882866195712242181546,22155.3811629230874671546596515620509565
1978,10955.757678660175291067240389195753685,0.1894551655364571385661163724990237483118,4068.224773792234811479089834139819271182,61103.6578234618768865187589526955912278,0.1483795033002343302846393807210810002047,17770.3995794385916002178588050621957966,55747.307157149150815752686409988730924,0.1524500079256696482105201986852513916888,16657.4077391665715596253392208989676765,49818.7775924425249300611207577490622073,0.1599389991697890262571229566360392452986,15617.212238875235512611526111571555165,11284.8802310193519564576381949465290197,0.1925304509832141313982940485534899924075,4258.458837132638470114857340619028102847,72059.4155021220521775859993418913449119,0.1443948022398153788039656613223840839763,20393.8098998533766449379110095634616336,732.951927652840396103759029031706165344,0.2888822565211485473779638614479434901489,415.004141292481175623945754058784699404,17890.5155521201261471294066713351490583,0.3116325833139001032898123227582454581523,10927.524453516413405779181684621734166,18623.4674797729665432331657003668552237,0.2997690584946867328127222422361355970753,10942.1690521431986908570513108562621629
1979,2258.441281067678779324173525213471702535,0.2643121738632162163331689180206109189103,1169.989708101193148338751206204857909195,15699.7504691145312740315608723276564634,0.1812275041032384011797348265964947900929,5576.644121420094551338717401096663943151,14632.7689048067377581516417219053402288,0.1859185818960744829042996141180981567444,5332.187142229501442412273603893353686571,13159.1297564734085674225297714681599966,0.1882461955154830471474783911329221762715,4855.225981383380008900373785725741859431,2540.620712641122706609031100859496466805,0.204268148082680230975293555207193690728,1017.177060385334805272651882978747803834,17958.191750182210053355734397541128166,0.1698091293989242970075995069943199575729,5976.951217087675971852004234649675784387,605.630357007498321593662609134085766792,0.4864190087726403847625636851456504975269,577.396631158887002258296646490865504497,2847.258091833279534556143273302776088138,0.3688839910556515167179549968589486225325,2058.603539822679429542422490146574271359,3452.888448840777856149805882436861854925,0.3298485681816605250630566698921597790085,2232.30340944460571433709681699268289362
1980,8355.572760733357675367580360959179982348,0.3857348621539578230146744562529977843429,6317.149985874539206616040034751726732968,40822.4352485269786533141990210154623227,0.3155128030676654601510232710672224657632,25244.8019076895943423463060915403321686,37324.4086579403454468908118587400659115,0.322399005421358419077803685865959442022,23585.3703693502008312527203978588586208,34218.9747139510048309977117882916854236,0.3271521465331373099734895107237110249979,21941.8296184711502167933717093359132384,6603.46053457597382231648723272377689915,0.3434675035071414928241383329920936050344,4445.425244464737702674920850040045699371,49178.0080092603363286817793819746423049,0.3061498795486524818806259981932228649607,29509.4488078163292297123870472129829735,1354.409597895754651733092474030165889786,0.2630337991684898233487434808520803775407,698.260784242982492380808252153900298957,11392.275974036839281630851119474958926,0.3858132493638907200977689426267031692614,8614.770381938938788695940346986060699395,12746.6855719325939333639435935051248157,0.3480441705420674297400138785999655858296,8695.362829805883352845965718533198170073
1981,4638.252535105463600965177153576267354738,0.2240572410178383805502731400502752752819,2036.898769673060475244619316801286104472,19842.0664474304029197322120444710124148,0.2195978873802574420206663247762164071268,8540.260711304236725174166917143805682596,17342.1025766028997080024397981313947557,0.2205574916892628728846286940917131627943,7496.864064030339081192538432123178825801,15707.9393883890316190893134335221027054,0.2263733238876408304306752593684234287029,6969.482563519433292162155895465579725487,4134.127059041371300642898610948909709477,0.2504637987791841012616312677940334536574,2029.480368972903617292013422400700344656,24480.3189825358665206973891980472797696,0.1955404191257356607559855394159256811095,9382.307994986461565352497617151448650479,913.78483308388553782635398742386355024,0.3113597247305861243304798370233442402597,557.650956420287051576673584121431715262,7710.122577412367823965321616607374586253,0.285043860653022721904503887045494794359,4307.53728692436452128405562428662585496,8623.907410496253361791675604031238136489,0.2610255105714138525918132090382265404803,4412.077276492952727568171111865727274407
1982,5454.93415716266191773894083423684016618,0.1934978328410435133020125603161947619033,2068.815157895056307973263219925529054769,11537.5352930446108459308404807582971444,0.1834899056974789181647829765337372174471,4149.361675288097261150651042277219837526,9819.200084687603345316279190484591555249,0.1839125386874126347176554012582766133067,3539.51307029092636804230204527487611575,8213.650024492446088095696768432997831237,0.18564881455037185661237544521203801266,2988.714604750164548245868602201118227324,3323.885268552164757835143712325299313218,0.2106214257660073656221193180132170986828,1372.159650516367043594711134325885387076,16992.4694502072727636697813149951373106,0.1603490620388624362397702514865288870053,5340.464014606930881443141374758403137094,1348.865645297018308830945849675603775226,0.3443387775872760728816449904384135697723,910.354824964853306239931835874739063996,6815.850844401966596514478736121044768671,0.2679876720514643390946245451973829193584,3580.065441648929418212874063791585232507,8164.716489698984905345424585796648543893,0.2332451932930177892941635652698869284563,3732.586516612157667466097258086230172117
1983,3243.31537594968165883875976995625259501,0.1866284226601197762018907160080823229634,1186.377872293492820650330991569006850125,10016.4123313165862928472116265254765114,0.2353150612673754945043776599284043523169,4619.744855589193511554903060711078104154,8549.392898548349696189017133014598217477,0.245918799767686154407425776614562857127,4120.814623092643532746169314942561346315,7239.244936648771788008315218949787962939,0.2452147933926107701141285642649685301542,3479.333104859311145953430920203025019158,2777.167394667814504838896407575688548523,0.2428695914245871079291020509270031969358,1321.999440502888037502549728342862574281,13259.7277072662679516859713964817291065,0.2088455990315072317915362241601687104622,5427.702120996647486570512354042214164786,926.389132794223418787411204289089107517,0.2931299330628760282438114323524459134509,532.242673592847106316448143359607952341,4474.656461854879454830219149394303387281,0.2734944758038029706111275624915118840692,2398.63589393671588081300115493850304106,5401.045594649102873617630353683392494799,0.2310961260939216415899835112527759168187,2446.394999008896181159776995524414525007
1984,2546.202994304245109654811709742238776962,0.1994288006456374657942767688546926110622,995.26097033467591209885051792027782178,9737.038577536279951474229426700514702738,0.2193678282485742970447870230638228813592,4186.546292400372853973245684791163510387,8559.683512871066117941309848363025456235,0.2275941933813448491934105813736292767369,3818.343158834513784062404337585679066188,7557.156232290712684855156296209618950663,0.2387697763363643808408671167884359444722,3536.664186513110598805364371494645260856,2179.882345245567266619073130490895752075,0.196242276628181808368697970826895296407,838.458745456637852640377782683488891663,12283.2415718405250611290411364427534797,0.189016421579132553157867690371788492863,4550.599359910617545445750249438669394278,680.643795805494441244223653494578225638,0.4586861841031048694703187632661143405173,611.915734645691276771272605082281112255,4186.656724069589601999427188330722248658,0.4449103839722928004258620489638167416997,3650.86661930532593352570840804271279736,4867.300519875084043243650841825300474301,0.3867128627952753450598892166618093715817,3689.205527526618437281954445710653909028
