"SURVEY_YEAR","BIOMASS_MALE_LE112","CV_BIOMASS_MALE_LE112","CI_BIOMASS_MALE_LE112","BIOMASS_MALE_GE113","CV_BIOMASS_MALE_GE113","CI_BIOMASS_MALE_GE113","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE125","CV_BIOMASS_MALE_GE125","CI_BIOMASS_MALE_GE125","BIOMASS_MALE_113TO124","CV_BIOMASS_MALE_113TO124","CI_BIOMASS_MALE_113TO124","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1975,35536.0752277518274381892292777931966129,0.1801401216122387797112303591152341131634,12546.8869097718049682695065861258162071,171637.7988781147314343469115545476323254,0.4966024565198118546105542125081759056875,167062.0750068693583589190695230835108015,163117.8361925609540176144686642895619835,0.5160192790566584895203506432663568371686,164977.0185374001409817113158480865814226,153952.2570749009827188374858389222919598,0.5286533567454000145760793022911122286502,159519.2598631072385973393657642123443815,17685.5418032137487155094257156253403669,0.2556884034958721401201931522156228812427,8863.096379301533034119029812708365736153,207173.8741058665588725361408323408289383,0.4165668075507904439564634715249843938679,169151.4483146519968854188031959751079848,9287.857452126240928198020795663407793155,0.2469220733046987938664498728693536751974,4495.018956529516916670787174772433899314,18306.4942874140526975536793714217291288,0.1921050973561141599814464403521792676388,6892.870899972335643668758524340417261493,27594.351739540293625751700167085136922,0.1667241533115702352700739898709587264176,9017.264062714761026367452057711450964966
1976,22589.3792386553446186526276779054543673,0.1608633519932473641358895592550763702001,7122.254397002466957126307556444423231176,77102.0599506013336284886934401055306123,0.2218738544922609479452519764921558290902,33529.585211845269233834211725439202835,71365.8586943197808156926904775856589536,0.2314581172059753115312595389096291356333,32375.6862809028824797941835924318738441,65499.6124272365737473881965108441103732,0.2433472804470845468162713319856053071796,31240.7390068319220461728523394150680499,11602.4475233647598811004969292614202395,0.1738979364264619511600541822219779886711,3954.577696346514017910301090148646636714,99691.4391892566782471413211180109849794,0.1845510672580600649337128556437999412013,36060.3965377838557886849513480229032693,4452.754470351623437689605984779704886727,0.2641576585906292999094687105628551687657,2305.409222527403377009442228040887359324,20967.2328899488298917190845788317331326,0.2005242619678416240584174850083590159477,8240.7002454990945811788096834831314966,25419.9873603004533294086905636114380193,0.1766441732160702717847371156120711487938,8800.97359482953116770226391685752835202
1977,16917.2715140462673053516219978681556008,0.1823134383088813038265445515836458826226,6045.122035600111565265768002915786600883,68762.5552185746772707043886127147427651,0.147607202994718533318155340847834766828,19893.7029553040414438534480664397403536,62815.1190374077652931184603720499072594,0.1548015309804914896587150171755485636221,19058.7981275965763210928462959258336623,57200.8171079707587626080268659182629598,0.158576584348392223520432724616723395144,17778.5919898814006335522176432274446898,11561.7381106039185080963617467964798055,0.1393087579307609732761854259617402053747,3156.876696389591045633243250052055071558,85679.8267326209445760560106105828983657,0.1341962149884972020219234922503056899008,22535.9005588404605060939347252535852506,1133.217594008852131330483133734525451237,0.2251234006098461396630434983408083833035,500.023044852594362133534679522109896484,30301.7031672948544409251300603833263471,0.3808647026794959095700918239016525799864,22620.0643682884247064021403329721899823,31434.9207613037065722556131941178517984,0.3673631066047061870974660574121202288092,22634.1390876207984487117346685011310527
1978,10955.757678660175291067240389195753685,0.1894551655364571385661163724990237483118,4068.224773792234811479089834139819271182,61103.6578234618768865187589526955912278,0.1483795033002343302846393807210810002047,17770.3995794385916002178588050621957966,55747.307157149150815752686409988730924,0.1524500079256696482105201986852513916888,16657.4077391665715596253392208989676765,49818.7775924425249300611207577490622073,0.1599389991697890262571229566360392452986,15617.212238875235512611526111571555165,11284.8802310193519564576381949465290197,0.1925304509832141313982940485534899924075,4258.458837132638470114857340619028102847,72059.4155021220521775859993418913449119,0.1443948022398153788039656613223840839763,20393.8098998533766449379110095634616336,715.002974499801932850317510800249588398,0.2882797530783657570430951718971003096308,403.996926640635900306077779036073910291,17691.2153229291158123705785599607561714,0.3081503920428225469181840011134455553407,10685.0476774502091870423912370436498092,18406.2182974289177452208960707610057598,0.2966087713405459960144051681629620092331,10700.5137566834846826440591868828890962
1979,2258.441281067678779324173525213471702535,0.2643121738632162163331689180206109189103,1169.989708101193148338751206204857909195,15699.7504691145312740315608723276564634,0.1812275041032384011797348265964947900929,5576.644121420094551338717401096663943151,14632.7689048067377581516417219053402288,0.1859185818960744829042996141180981567444,5332.187142229501442412273603893353686571,13159.1297564734085674225297714681599966,0.1882461955154830471474783911329221762715,4855.225981383380008900373785725741859431,2540.620712641122706609031100859496466805,0.204268148082680230975293555207193690728,1017.177060385334805272651882978747803834,17958.191750182210053355734397541128166,0.1698091293989242970075995069943199575729,5976.951217087675971852004234649675784387,590.935285550782731697760337226221009907,0.4868042175112733281245858116056649367101,563.832786993405317118458889867206993226,2857.541359928430673549455204819028834928,0.3645616876764026011926398032916664746716,2041.830197530037337186443926449958033205,3448.476645479213405247215542045249844831,0.3283449003507858139540115200474235236311,2219.287852222893550636347853274477467082
1980,8355.572760733357675367580360959179982348,0.3857348621539578230146744562529977843429,6317.149985874539206616040034751726732968,40822.4352485269786533141990210154623227,0.3155128030676654601510232710672224657632,25244.8019076895943423463060915403321686,37324.4086579403454468908118587400659115,0.322399005421358419077803685865959442022,23585.3703693502008312527203978588586208,34218.9747139510048309977117882916854236,0.3271521465331373099734895107237110249979,21941.8296184711502167933717093359132384,6603.46053457597382231648723272377689915,0.3434675035071414928241383329920936050344,4445.425244464737702674920850040045699371,49178.0080092603363286817793819746423049,0.3061498795486524818806259981932228649607,29509.4488078163292297123870472129829735,1320.865078530768084300941267638110342383,0.2626279607965371430184520451054394398121,679.916360041311289750458859716170159567,11561.8418283961996010384525597146156999,0.3769213105918141215468404017226112314938,8541.492966636129954850177558370029750354,12882.7069069269676853393938273527260423,0.3417473500044463475245815866336302949165,8629.156654799486930253157184026958383755
1981,4638.252535105463600965177153576267354738,0.2240572410178383805502731400502752752819,2036.898769673060475244619316801286104472,19842.0664474304029197322120444710124148,0.2195978873802574420206663247762164071268,8540.260711304236725174166917143805682596,17342.1025766028997080024397981313947557,0.2205574916892628728846286940917131627943,7496.864064030339081192538432123178825801,15707.9393883890316190893134335221027054,0.2263733238876408304306752593684234287029,6969.482563519433292162155895465579725487,4134.127059041371300642898610948909709477,0.2504637987791841012616312677940334536574,2029.480368972903617292013422400700344656,24480.3189825358665206973891980472797696,0.1955404191257356607559855394159256811095,9382.307994986461565352497617151448650479,893.421681090362221180649540795704402847,0.3119827115685899446586934650808630314509,546.314952535848882850174539243703074298,7683.722329678864372765395650809126867344,0.282108563614942760861548856511298855672,4248.581984497861561446830319786169660705,8577.144010769226593946045191604831270199,0.2591302968299929745769477739800661370505,4356.291831989883245872885580036178896767
1982,5454.93415716266191773894083423684016618,0.1934978328410435133020125603161947619033,2068.815157895056307973263219925529054769,11537.5352930446108459308404807582971444,0.1834899056974789181647829765337372174471,4149.361675288097261150651042277219837526,9819.200084687603345316279190484591555249,0.1839125386874126347176554012582766133067,3539.51307029092636804230204527487611575,8213.650024492446088095696768432997831237,0.18564881455037185661237544521203801266,2988.714604750164548245868602201118227324,3323.885268552164757835143712325299313218,0.2106214257660073656221193180132170986828,1372.159650516367043594711134325885387076,16992.4694502072727636697813149951373106,0.1603490620388624362397702514865288870053,5340.464014606930881443141374758403137094,1310.35612657613452856074148996199471122,0.3434784474936003315225763791984418995869,882.155012519392733902529796761734204491,6796.6034446379494432024919859425826413,0.263098713356846399890615681757814420554,3504.828138102671251530949857140661876703,8106.959571214083971763233475904577352521,0.230313994370698919595213008788892523173,3659.606632454245155165039306475968618372
1983,3243.31537594968165883875976995625259501,0.1866284226601197762018907160080823229634,1186.377872293492820650330991569006850125,10016.4123313165862928472116265254765114,0.2353150612673754945043776599284043523169,4619.744855589193511554903060711078104154,8549.392898548349696189017133014598217477,0.245918799767686154407425776614562857127,4120.814623092643532746169314942561346315,7239.244936648771788008315218949787962939,0.2452147933926107701141285642649685301542,3479.333104859311145953430920203025019158,2777.167394667814504838896407575688548523,0.2428695914245871079291020509270031969358,1321.999440502888037502549728342862574281,13259.7277072662679516859713964817291064,0.2088455990315072317915362241601687104638,5427.702120996647486570512354042214164786,912.852336441000026306223674291281121815,0.2927129251741925447416180698026736774515,523.719208197412907002995884690917814129,4437.5505987891817564020967509258200266,0.2722570930441199639732136093201296861356,2367.983067474571574093337951218018591983,5350.40293523018178270832042521710114844,0.2302498673858300426225984835171338188076,2414.581949943110118308607466608298134906
1984,2546.202994304245109654811709742238776962,0.1994288006456374657942767688546926110622,995.26097033467591209885051792027782178,9737.038577536279951474229426700514702738,0.2193678282485742970447870230638228813592,4186.546292400372853973245684791163510387,8559.683512871066117941309848363025456235,0.2275941933813448491934105813736292767369,3818.343158834513784062404337585679066188,7557.156232290712684855156296209618950663,0.2387697763363643808408671167884359444722,3536.664186513110598805364371494645260856,2179.882345245567266619073130490895752075,0.196242276628181808368697970826895296407,838.458745456637852640377782683488891663,12283.2415718405250611290411364427534797,0.189016421579132553157867690371788492863,4550.599359910617545445750249438669394278,671.03550007821496553231905098865585368,0.4600371521763650517603741416862714971449,605.054470511841001355553931981641763061,4128.958668604956504607793408224378148341,0.4436157520097907442785433055682751033581,3590.075365389443012392532460442683563582,4799.994168683171470140112459213034002026,0.3856575400806670654480734918130660301531,3628.261729251960848962793233888197083875
1985,1701.105059094378526558609726880033349614,0.262550538164138689790191348766752613835,875.387055528377339816902080287074111359,6456.392502489405595679126563964494078513,0.2348759785519405698108586445048178600117,2972.244953597718600113916458022679328437,5923.440697128672536666799214862209941045,0.2435260689949033987410909968912752427527,2827.323966676504557668183713916339290128,5045.583995293574006446346624212982560613,0.2582802660241466105194527243144622030845,2554.222562041137556344245030365551531215,1410.808507195831589232779939751511517881,0.1924573527383995985993788862224591538188,532.180122210817331890739705637990575579,8157.497561583784122237736290844527428112,0.2058557929608330104165911574896121187889,3291.365533067147525029533145067514899782,324.098914290198483725482625730371957535,0.3028108775890736943891678630136802650983,192.35572625728672109288105917977554638,2836.37492534079514331123663286082972847,0.4227455717178971516852501510129385901365,2350.167281262224493234842631125399822194,3160.473839630993627036719258591201686006,0.3807445578409931210162311954113817753275,2358.533100691123801743586368761533260472
