"SURVEY_YEAR","BIOMASS_MALE_LE112","CV_BIOMASS_MALE_LE112","CI_BIOMASS_MALE_LE112","BIOMASS_MALE_GE113","CV_BIOMASS_MALE_GE113","CI_BIOMASS_MALE_GE113","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE125","CV_BIOMASS_MALE_GE125","CI_BIOMASS_MALE_GE125","BIOMASS_MALE_113TO124","CV_BIOMASS_MALE_113TO124","CI_BIOMASS_MALE_113TO124","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1975,35536.0752277518274381892292777931966129,0.1801401216122387797112303591152341131628,12546.886909771804968269506586125816207,171637.7988781147314343469115545476323248,0.4966024565198118546105542125081759056886,167062.0750068693583589190695230835108013,163117.8361925609540176144686642895619825,0.5160192790566584895203506432663568371711,164977.0185374001409817113158480865814224,153952.2570749009827188374858389222919592,0.5286533567454000145760793022911122286529,159519.2598631072385973393657642123443817,17685.5418032137487155094257156253403669,0.2556884034958721401201931522156228812421,8863.09637930153303411902981270836573613,207173.8741058665588725361408323408289389,0.4165668075507904439564634715249843938677,169151.4483146519968854188031959751079852,9538.746674315386981564648580454197962938,0.2468356142788963389813286161910946532948,4614.824693818619478310843671795829818441,18011.2162476503056191725343045899441379,0.194339717105562643826669687024366538553,6860.577553779128872673497364826631956862,27549.9629219656926007371828850441421008,0.1676481535124499752428889823187068571626,9052.652809879858249919040111271714592002
1976,22589.3792386553446186526276779054543673,0.1608633519932473641358895592550763701982,7122.25439700246695712630755644442323109,77102.0599506013336284886934401055306119,0.2218738544922609479452519764921558290927,33529.5852118452692338342117254392028352,71365.8586943197808156926904775856589541,0.2314581172059753115312595389096291356317,32375.6862809028824797941835924318738441,65499.6124272365737473881965108441103736,0.2433472804470845468162713319856053071781,31240.7390068319220461728523394150680499,11602.4475233647598811004969292614202395,0.1738979364264619511600541822219779886711,3954.577696346514017910301090148646636714,99691.4391892566782471413211180109849798,0.1845510672580600649337128556437999412006,36060.3965377838557886849513480229032693,4560.393710484733718829643173373691801139,0.2640411532022671181625079530264209265805,2360.097964170599748106903806002734513673,20564.1230071313161340035626665283113498,0.2003488546604882454923912030180874148601,8075.197043489262898457237794813788945376,25124.5167176160498528332058399020031509,0.1758679429805200988887499385519247564204,8660.450264073373962541193234760759138255
1977,16917.2715140462673053516219978681556008,0.1823134383088813038265445515836458826226,6045.122035600111565265768002915786600883,68762.5552185746772707043886127147427645,0.1476072029947185333181553408478347668293,19893.7029553040414438534480664397403536,62815.1190374077652931184603720499072591,0.1548015309804914896587150171755485636234,19058.7981275965763210928462959258336624,57200.8171079707587626080268659182629601,0.1585765843483922235204327246167233951428,17778.5919898814006335522176432274446897,11561.7381106039185080963617467964798055,0.1393087579307609732761854259617402053753,3156.876696389591045633243250052055071572,85679.8267326209445760560106105828983654,0.1341962149884972020219234922503056899012,22535.9005588404605060939347252535852506,1162.040638173896369625318644343650811627,0.2253659023792456692254213790970615408275,513.293300565892748665599600815111514953,29908.6181661904764951226052446093603478,0.3777085877221796712998557028894100671878,22141.6141794165148887987338407119785795,31070.6588043643728647479238889530111594,0.3638242437553873550244072644065302781242,22156.3475272598902204912904817985685043
1978,10955.757678660175291067240389195753685,0.1894551655364571385661163724990237483118,4068.224773792234811479089834139819271182,61103.6578234618768865187589526955912271,0.1483795033002343302846393807210810002069,17770.3995794385916002178588050621957967,55747.307157149150815752686409988730924,0.1524500079256696482105201986852513916891,16657.4077391665715596253392208989676765,49818.777592442524930061120757749062208,0.1599389991697890262571229566360392452955,15617.2122388752355126115261115715551649,11284.8802310193519564576381949465290197,0.1925304509832141313982940485534899924075,4258.458837132638470114857340619028102847,72059.4155021220521775859993418913449116,0.1443948022398153788039656613223840839769,20393.8098998533766449379110095634616336,732.951927652840396103759029031706165351,0.2888822565211485473779638614479434901461,415.004141292481175623945754058784699404,17978.5240601535915186418301326904382052,0.3101684582093140623330531282265497279864,10929.6873336891173953533059818676590036,18711.4759878064319147455891617221443706,0.2984270989283310499586977576821018668679,10944.6625315880739836952549731515893465
1979,2258.44128106767877932417352521347170254,0.2643121738632162163331689180206109189097,1169.989708101193148338751206204857909195,15699.7504691145312740315608723276564634,0.1812275041032384011797348265964947900929,5576.644121420094551338717401096663943151,14632.7689048067377581516417219053402288,0.1859185818960744829042996141180981567445,5332.187142229501442412273603893353686574,13159.1297564734085674225297714681599966,0.1882461955154830471474783911329221762715,4855.225981383380008900373785725741859431,2540.620712641122706609031100859496466805,0.2042681480826802309752935552071936907272,1017.17706038533480527265188297874780383,17958.191750182210053355734397541128166,0.1698091293989242970075995069943199575729,5976.951217087675971852004234649675784387,605.630357007498321593662609134085766792,0.4864190087726403847625636851456504975252,577.396631158887002258296646490865504495,2895.139188671717552116448277261406250838,0.3652110708654843300714730653222416758479,2072.380291462877796350179200946711019985,3500.769545679215873710110886395492017625,0.3285649518720190569637535038837816524845,2254.451147490598302943820689386212992829
1980,8355.572760733357675367580360959179982343,0.3857348621539578230146744562529977843433,6317.14998587453920661604003475172673297,40822.4352485269786533141990210154623227,0.3155128030676654601510232710672224657632,25244.8019076895943423463060915403321686,37324.4086579403454468908118587400659115,0.322399005421358419077803685865959442022,23585.3703693502008312527203978588586208,34218.9747139510048309977117882916854236,0.3271521465331373099734895107237110249979,21941.8296184711502167933717093359132384,6603.460534575973822316487232723776899155,0.3434675035071414928241383329920936050341,4445.425244464737702674920850040045699371,49178.0080092603363286817793819746423049,0.3061498795486524818806259981932228649607,29509.4488078163292297123870472129829735,1354.409597895754651733092474030165889805,0.263033799168489823348743480852080377537,698.260784242982492380808252153900298957,11642.9610442338601056850257215278822596,0.3785695946562232790169779052012596870937,8639.035244503068648945073855477317334756,12997.3706421296147574181181955580481493,0.3426188588613886126041005129781184756302,8728.16282330572622774000353239351349866
1981,4638.252535105463600965177153576267354742,0.2240572410178383805502731400502752752817,2036.898769673060475244619316801286104472,19842.0664474304029197322120444710124148,0.2195978873802574420206663247762164071268,8540.260711304236725174166917143805682596,17342.1025766028997080024397981313947557,0.220557491689262872884628694091713162793,7496.864064030339081192538432123178825758,15707.9393883890316190893134335221027054,0.226373323887640830430675259368423428703,6969.482563519433292162155895465579725489,4134.127059041371300642898610948909709477,0.2504637987791841012616312677940334536574,2029.480368972903617292013422400700344656,24480.3189825358665206973891980472797696,0.1955404191257356607559855394159256811095,9382.307994986461565352497617151448650479,913.784833083885537826353987423863550244,0.3113597247305861243304798370233442402583,557.650956420287051576673584121431715262,7796.102142566742566287107127422394151382,0.2823529588452976446007510495588444668729,4314.454914531213138220655369751355039211,8709.886975650628104113461114846257701626,0.2590532770306731613968933745371848166447,4422.396536673785405406172201177890229202
1982,5454.934157162661917738940834236840166171,0.1934978328410435133020125603161947619036,2068.815157895056307973263219925529054769,11537.5352930446108459308404807582971444,0.1834899056974789181647829765337372174471,4149.361675288097261150651042277219837526,9819.200084687603345316279190484591555249,0.1839125386874126347176554012582766133067,3539.51307029092636804230204527487611575,8213.650024492446088095696768432997831237,0.18564881455037185661237544521203801266,2988.714604750164548245868602201118227324,3323.885268552164757835143712325299313222,0.2106214257660073656221193180132170986835,1372.159650516367043594711134325885387082,16992.4694502072727636697813149951373106,0.1603490620388624362397702514865288870053,5340.464014606930881443141374758403137094,1348.865645297018308830945849675603775231,0.3443387775872760728816449904384135697695,910.354824964853306239931835874739063992,6892.522440452226336583375449433986208991,0.2649825019915999054454221236555875598361,3579.739768956387047600864457684122505207,8241.388085749244645414321299109589984198,0.2313276957851752339605203479701394057962,3736.664179257627103196694909579671559572
1983,3243.315375949681658838759769956252595015,0.186628422660119776201890716008082322964,1186.377872293492820650330991569006850131,10016.4123313165862928472116265254765114,0.2353150612673754945043776599284043523169,4619.744855589193511554903060711078104154,8549.392898548349696189017133014598217473,0.2459187997676861544074257766145628571268,4120.814623092643532746169314942561346309,7239.244936648771788008315218949787962943,0.2452147933926107701141285642649685301541,3479.333104859311145953430920203025019158,2777.167394667814504838896407575688548518,0.2428695914245871079291020509270031969359,1321.999440502888037502549728342862574279,13259.7277072662679516859713964817291065,0.2088455990315072317915362241601687104622,5427.702120996647486570512354042214164786,926.389132794223418787411204289089107517,0.2931299330628760282438114323524459134509,532.242673592847106316448143359607952341,4480.142475186563283779506738942373527127,0.2731246950112399142364277920318447408432,2398.329592398773901050359027012094625824,5406.531607980786702566917943231462634644,0.2308316845696804088578876314592578826025,2446.077645548878823426395383491543620885
1984,2546.202994304245109654811709742238776962,0.1994288006456374657942767688546926110626,995.260970334675912098850517920277821782,9737.038577536279951474229426700514702733,0.2193678282485742970447870230638228813596,4186.546292400372853973245684791163510391,8559.68351287106611794130984836302545623,0.2275941933813448491934105813736292767371,3818.343158834513784062404337585679066188,7557.156232290712684855156296209618950663,0.2387697763363643808408671167884359444722,3536.664186513110598805364371494645260856,2179.882345245567266619073130490895752075,0.1962422766281818083686979708268952964061,838.458745456637852640377782683488891659,12283.2415718405250611290411364427534797,0.189016421579132553157867690371788492863,4550.599359910617545445750249438669394278,680.643795805494441244223653494578225638,0.4586861841031048694703187632661143405173,611.915734645691276771272605082281112255,4190.482510880536373467393396389844655857,0.4445037860026928487619016267632017620043,3650.863268878359136821996314250199967184,4871.126306686030814711617049884422881495,0.386407461806473477138209786917405877018,3689.18952251836969636941402407664997296
