"SURVEY_YEAR","BIOMASS_MALE_GE25","CV_BIOMASS_MALE_GE25","CI_BIOMASS_MALE_GE25","BIOMASS_MALE_LE94","CV_BIOMASS_MALE_LE94","CI_BIOMASS_MALE_LE94","BIOMASS_MALE_GE95","CV_BIOMASS_MALE_GE95","CI_BIOMASS_MALE_GE95","BIOMASS_MALE_GE78","CV_BIOMASS_MALE_GE78","CI_BIOMASS_MALE_GE78","BIOMASS_MALE_GE102","CV_BIOMASS_MALE_GE102","CI_BIOMASS_MALE_GE102","BIOMASS_MALE_95TO101","CV_BIOMASS_MALE_95TO101","CI_BIOMASS_MALE_95TO101","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL","GTOTAL_MT","CV_GTOTAL_MT","CI_GTOTAL_MT"
1980,335974.9189557528499489391669615635053239,0.1309263878675642492263478148926779299695,86216.4458038297491897370871910948760866,236813.9692109936566677265334321185195725,0.148591839969528278172242670911152709825,68969.7018944755819046080828020320292554,99240.1465591069357367779363055970002967,0.1590491329086055856385936604592353771272,30936.7561494998367623306068840594019306,180836.962204411692066634476829300939563,0.167528990299131420984933864640709532376,59379.0500262598723023607193627763143528,68591.5407691397818627653270481618475707,0.1489757173867820162448000615474517200273,20028.209025784717628018524072026352559,30648.6057899671538740126092574351527247,0.2140041878226721832002115084071198076648,12855.5027803591711592223052692628487295,336054.1157701005924045044697377155198694,0.1308978468455075154726152099704734400734,86217.9699486390753068679730940098544075,27574.8475298407310929833963736743118003,0.188047783959872939989921165091374617196,10163.3623831951345550183956881759056064,271682.3128484500643379844874287295639526,0.3269854334091923116993782593221093150695,174118.8712800699537651003994800658426644,299257.1603782907954309678838024038757546,0.3006191748096046964137257907124974527744,176326.3835932231255066422056156540512544,635311.2761483913878354723535401193956215,0.193446459935194934335240096958483804377,240881.4859625220250176845357708999805525
1981,204582.1553346637767753105199173225079959,0.114966210982248998810127075581222712703,46099.2690574800588523883347528925118705,166540.0954318361888022040340710391679298,0.1292637093464859003180916551448610809574,42194.0773612563188055253388666694457715,38042.2235161124681780692537874016915048,0.1081161277855453145864095781107873257323,8061.436681872013486895155501059907782759,97286.3621610915069202912638020197305998,0.1098596729720651776867504766443127874486,20948.1819460524417044210882307498484037,22629.5512497222860874538651654277330929,0.1072809787960794506051190322817460499748,4758.331999261049620107207138573650335185,15412.6722663901820906153886219739584117,0.1305142211179480004178427859286700492519,3942.682915740461426141320665565157582784,204582.3189479486569802732878584408594333,0.1149661181073852894251737722756175748317,46099.2686839911600681552304679592412912,10988.0488193971066479505673301266284546,0.2635387009875570762594179822621550129863,5675.721180013476325857940458309423490863,118844.7552260706964356733012019986305696,0.1734503315917947317241724274418011410277,40402.7779157389786375307822858923336441,129832.8040454678030836238685321252590255,0.1658096157150084362789818167746451627769,42193.953598122777880015494143028531692,334415.1229934164600638971563905661184567,0.1159237502114687850079680335951660607023,75982.644162259785375678734624111256233
1982,316335.6860409900453114487719403754862178,0.1206696137349946685020629939504635437222,74817.3258885151946592440786168947940122,250474.5888506082804255162587970733497758,0.1235601446738392790583630968184643125457,60659.4058135830771813858119572680463478,65863.521759717040793775383870920700648,0.1505109840614051377403929911178655471306,19429.8396086573727144376571094477902985,177794.2348421774870963101059100924792967,0.1376725904829141390395170051981947425806,47975.6900519543248371512418054613632959,34822.8407813277017823262015044933988362,0.1449480134344479613133686106180275120335,9893.103123059158917193483400098962157925,31040.6809783893390114491823664273018129,0.1659736311065315168919363089413288805304,10097.7916866453350365170561702550921158,316338.110610325321219291642667994050424,0.1206685214277488385105361840283704500751,74817.2220740474215319093952715252236271,3653.69054822413447978800765552608566011,0.2844101151038885930579185325086940466562,2036.727236773855171244145902643248529168,141492.0007135940678248170326535588921469,0.1584533625652760088181762351567799140368,43942.9712467485286826274772279271168404,145145.6912618182023046050403090849778069,0.1547167448753339783829317456725254808064,44014.6790140290895493857011204673998077,461483.8018721435235238966829770790282294,0.1038346707877606148715915284865253989244,93919.3165369052102086882839267309829136
1983,252368.7043954577345151205934158451451152,0.1096223548833889632670374700659939544457,54223.8932824119057279267000509841422359,184837.0668989955981835718503156581418212,0.1179136078155272983393262309020053554655,42717.8186155570769416995471392170453947,68047.3199026538441826378845430226249097,0.1384670834969326337439834361854861029202,18467.7352963383810958570271800209635477,163095.8499344944740603804183092668832013,0.1257450796541626553046583758862743644404,40196.6612569016787870857695403328777747,35087.4451872519325387059807220187616874,0.1419369570750038225216180832031539160708,9761.202194772472936610721957816668869529,32959.8747154019116439319038210038632217,0.147228281605146891131650858691982267146,9511.146403888324647465735442694529309206,252884.3868016494423662097348586807667306,0.1094536227869947143895936690065369807801,54251.0600721480774993945376232909324382,3622.276912970991230161921905405665450872,0.3809284362380062193178594514052600865004,2704.46342895498158266562355709850371798,82182.1314578926476267255679971380323069,0.2025131116971110171633996896064489037823,32620.1999681801946632381558051496837978,85804.4083708636388568874899025436977577,0.1969885690698967579390120505201553741436,33128.8757447363789701169367454976859413,338688.7951725130812230972247612244644881,0.1050977339322967787047381334104420378397,69767.0327665462452853457815434987848052
1984,239241.2207001178888398572214375896273322,0.1043190680174655144071433526882191777933,48916.545502602270216011077036192636005,119438.2271021432157632159404044570981027,0.1277783320892458909007770057955438137011,29912.7701957445124525326835868582175073,119971.0693615752744056644690461481762538,0.1383962667871596679499731062486627349432,32542.9543193266015967430288943769650778,183321.4235046102578967692553585978301342,0.1180939495915351579233674715744628567913,42432.3358549477480383691853197809829357,85095.568292176334548465312312109630169,0.1526986778357974565590514066336746932418,25468.2023050862251474438521693326992029,34875.5010693989398571991567340385460857,0.1340646541398892927200802020661189491879,9164.121098095643754046512241008519714215,239409.2964637184901688804094506052743602,0.1043051323475540476238805534292121197344,48944.3719716506022912071862935024146521,14118.6312217238244004299509136592722913,0.3463561175528804539676780903758141989338,9584.545618429604405783678107283068849272,39368.6378866461171330593355086265874197,0.1998015616123923459120190636739775549932,15417.1940434771880263346917976079867949,53487.2691083699415334892864222858597111,0.1797892679458011985234847982913363437227,18848.2164365312412199033651535336549111,292896.5655720884317023696958728911340692,0.0970885848705122004525940302780443818169,55736.3496070614091335427599365381439161
1985,99876.8174132064531822302499301125359679,0.0958472103267323642198389208558024873875,18762.9120777217589763377236382286172558,44214.2591539168028426323811247255567345,0.1268971307386614920889589969521245336204,10996.8987437605767083821407659638503157,55690.9541830727760792266136626754524631,0.1120006706475292500727283001579414212073,12225.351466309751740160953682559707867,79334.1817527410828982370130747901014635,0.1063837220635179277008915255267695600101,16542.1364617716369267377931744699416549,43098.5428261649129294097008496486521719,0.1153368889328928698298466143146937818376,9742.869620337382295923040125740800390558,12592.4113569078631498169128130268002912,0.1213149576438977342118498338028204946803,2994.189786779715855438585359029096699136,99905.2133369895789218589947874010091965,0.0958239202158072871972561197075449136738,18763.6860162159152163790799246484246048,5363.840377868737420246715004580800957101,0.2594756415957117071851652107683569489525,2727.900409990371714514295558063362476225,5889.138213011432809859741288205722425082,0.2154447086607157479727400092920622141453,2486.815986467275151344829751039715175191,11252.9785908801702301064562927865233822,0.1832731989458596642845541780921063036782,4042.243992678966730653310975612823356991,111158.1919278697491519654510801875325811,0.0939185461953870949115822518505295400738,20462.0389358037462317298663879058876192
1986,142101.7676321297547250815716842658642923,0.1053803037174351370734132280660569453065,29350.4657664421253664411626297721717684,83407.6790386010794213260068970473703919,0.146087458005810025836010981267119074351,23882.2389854708840241530778963728773463,58724.9808110668394191723294052651276323,0.125577424231315204442108664182743051766,14454.0823834428832433742170913349607165,84159.1026484400744537549942213189687262,0.1117556218655183244425577201124858502754,18434.2955901560049969560924145605016409,45966.6944775252026219232476267704246217,0.1309122769911526231705795832857461045315,11794.505094026551267654603578496258661,12758.2863335416367972490817784947030105,0.1293761328642888233220040785379848957997,3235.210785705489300693768274610246540334,142132.6598496679188404983363023124980238,0.1053721720817985488753736104967554218188,29354.5811005609769244681720510532434454,26043.4015662863534885461604777645450602,0.2851213876708892686978733215498092255482,14554.0403567295613069934416209777205989,15173.9557834878514821933729167111709974,0.2087754523759036453612810023116573091836,6209.180986738085821604824343036376247463,41217.3573497742049707395333944757160576,0.2139663562827374077981447146763395949409,17285.490424759997954152334861991177306,183350.0171994421238112378696967882140835,0.1122496966787651187562869548202551169338,40338.7282807001420928747062227675091177
1987,373865.3727780490992981149226682975174168,0.0983482914174473288478266946653679400346,72067.2804404215787921068587872328156836,266341.6688451234554803167377453412117996,0.1193249756710291965635258818909849233483,62291.1777840463156571231738951956604447,107535.8465569203972286102162879453017607,0.1134002070841478631924111586704561554014,23901.3910463068871838930227049080804486,178661.5609895511434480782772135737026994,0.1065317850074009384604329642855306113315,37304.9446086740052417490492648656614466,74289.8417649231178110156722604758463084,0.1106776787409423500829099686840656589126,16115.5653915242608459692843893107792387,33246.0047919972794175945440274694554524,0.1317285693674683072909458653193300812857,8583.719350930242854362603601277260064647,373877.5154020438527089269540332865135585,0.0983452208660854944848911340066052646421,72067.3709849914765382145901899824462357,107988.5664963698124815497849554140867327,0.1913666895089221879730243867094739988635,40504.2123714398221802341136164212041375,119551.2014377570636484782209100817046244,0.1889360915348056700388263756636675844267,44271.5720063625172124061637649266826779,227539.767934126876130028005865495791354,0.1437111090031581367671091936492412300464,64091.9850885838434839906565845666128823,601417.2833361707288389549598987823049139,0.1047095470761159972854083768702816351278,123429.2974300819815929129048357819079761
1988,475462.8779342693377384085535587903517117,0.1112999425161765864167207596895268811041,103721.222326013722309183051515709809488,331332.2762176655616890243678078766387127,0.1192811008920298505357304627199559715779,77462.4901898783261864848227688129846187,144135.2607009651205928880453010257596677,0.1911171926512740298171468201550621049486,53991.5837189667969217087841738602225205,246514.5888179458246868078813369266119153,0.1494735402416251712265270395744131506342,72220.9202911807390471740808737446839468,105694.6202819629406209442685920669014932,0.2160097075960101117635014841458154889934,44748.8854822931438854666189211370176955,38440.640419002179971943776708958858175,0.1491855451916157733055060340104335140849,11240.1842809104551664750820322110085025,475467.5369186306822819124131089023983837,0.1112987159364526558042095802468781192463,103721.0956038825246996282624307435789206,36802.5509664811084286884779330822780088,0.2005204362331573266766686589661241376781,14464.1406056119233863765254788530912294,165618.5745490353835964971150949895163102,0.1765624452685886003286339968041712099554,57314.3601883804128578843518843930150052,202421.1255155164920251855930280717943185,0.1501004782953228301033114123041825133171,59551.6752036349389984148546021354760135,677888.6624341471743070980061369741927048,0.1024822960324241759312865300413389968818,136164.3096979766516558860975516155533321
1989,516001.0259855452491605015802690794090134,0.0942439484700322729248486625247630824018,95314.7492427924001665754084632752548108,372788.4518769727298734215377867644961518,0.1095536975606935955991168375878039064921,80047.0924896561364448259411224282575762,143215.8948845466700637209713108883072229,0.1042925536083877617244544234765483937271,29275.2487338468279935057179404153852689,291752.7600582744287773318994366638994135,0.1074798411339138392433795005713188993981,61460.7789908306683552746013056608915063,92420.9126941396831656352297230534161532,0.1034577557724719493434642958746031106349,18740.8540190073414967173545176024183532,50794.9821904069868980857415878348910711,0.1192197579267656962310440694853681238318,11869.3003420440036579028427753707344709,516004.3467615193999371425090976528033761,0.0942431706864802302064108186148893689928,95314.5760245507458371039431529767578634,23265.1100094194331469255072303374417204,0.2512143471408698746402666455421640494041,11455.2776674665669601625903355055586748,256727.5337515037496915379154286006533106,0.324162566520194740321658204378414959646,163114.0542250832542393511937307989452079,279992.6437609231828384634226589380950324,0.2979285462792225938865888909934679805188,163498.8905961534519720545753388613169867,795996.9905224425827756059317565908984083,0.1276586567494327787638834108166932284915,199167.1769099045491204816176132438664019
