"SURVEY_YEAR","BIOMASS_MALE_GE25","CV_BIOMASS_MALE_GE25","CI_BIOMASS_MALE_GE25","BIOMASS_MALE_LE94","CV_BIOMASS_MALE_LE94","CI_BIOMASS_MALE_LE94","BIOMASS_MALE_GE95","CV_BIOMASS_MALE_GE95","CI_BIOMASS_MALE_GE95","BIOMASS_MALE_GE78","CV_BIOMASS_MALE_GE78","CI_BIOMASS_MALE_GE78","BIOMASS_MALE_GE102","CV_BIOMASS_MALE_GE102","CI_BIOMASS_MALE_GE102","BIOMASS_MALE_95TO101","CV_BIOMASS_MALE_95TO101","CI_BIOMASS_MALE_95TO101","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL","BIOMASS_FEMALE_IMMATURE","CV_BIOMASS_FEMALE_IMMATURE","CI_BIOMASS_FEMALE_IMMATURE","BIOMASS_FEMALE_MATURE","CV_BIOMASS_FEMALE_MATURE","CI_BIOMASS_FEMALE_MATURE","BIOMASS_FEMALE_TOTAL","CV_BIOMASS_FEMALE_TOTAL","CI_BIOMASS_FEMALE_TOTAL"
1980,332818.372506132057022264759022072267614,0.1305770172530613668458221504946741921035,85178.5235229832605248162158780470443573,233253.2812478002233531343840671925175545,0.148298866447896009542232797861446632952,67798.7465204300619226232367036841217513,99640.7283877565916211231941551993416762,0.1580663572780123920496511322207640092425,30869.7000666498291664774139137137955219,180716.4868405639429231168322672495599015,0.1666384062331250693614254854328874923679,59024.0424004357464337158383252197327542,68943.1413185362369589218986684223822766,0.1479268444092220798114515157212865111349,19989.1410242638350276683538880070440489,30697.5870692203546622012954867769593989,0.2132322939713451948509591476717692486378,12829.6051439037208945970819598358279645,332894.0096355568149742575782223918592317,0.1305494324751980046235414803169981122653,85179.8831033374751239874214028265594934,27574.8475298407310929833963736743118003,0.1880477839598729399899211650913746171971,10163.3623831951345550183956881759056065,271682.3128484500643379844874287295639526,0.3269854334091923116993782593221093150695,174118.8712800699537651003994800658426644,299257.1603782907954309678838024038757559,0.3006191748096046964137257907124974527731,176326.3835932231255066422056156540512544
1981,203260.5825017794283764036602099066317965,0.1142232159806270150260856346904281757595,45505.4717342796633295489238705660802053,165041.1579660970338762453967120866614293,0.1284418719720143888665521662431636712175,41548.4627519250982778441246991273725804,38219.583350396483158002464797791422858,0.1078645590225426414111525689711272521817,8080.175468067025806947396058949984190832,97550.5760885273539514850367592555047925,0.1096954023411136329658298977259637775922,20973.6653975713170908563786666973629725,22765.8210010256317908492264011745981964,0.1070692357506576605418288151011908037297,4777.537349399529626596411984133258007282,15453.7623493708513671532383966168246617,0.1303720116073936692823598161529260007057,3948.886645404556594434827177262468486051,203260.7413164935170342478615098780842864,0.1142231263963975107344033264392073997791,45505.471599765821654056170624994787022,10988.0488193971066479505673301266284546,0.2635387009875570762594179822621550129863,5675.721180013476325857940458309423490863,118844.755226070696435673301201998630571,0.1734503315917947317241724274418011410248,40402.7779157389786375307822858923336439,129832.8040454678030836238685321252590249,0.1658096157150084362789818167746451627777,42193.953598122777880015494143028531692
1982,313812.2757566504486194094150373344655156,0.1197958437605105302663387444908928569853,73683.0764590809294333954930124836194031,248309.2827421303362969122137900575998354,0.1226083470451917722770859492132620362117,59671.7897974599381296993235925331804379,65505.3078188089522445854919414322933672,0.1496166361347706926358682943292786839874,19209.3402574528617884688970822511053764,176590.4721706733145865557233383483880318,0.1367685718552834847700162809733986511194,47337.9722967850166479393622747670316917,34704.4362226113117358704490758390498733,0.144092168333740665122235613855590908244,9801.249433587509267664966443615860748492,30800.8715961976405087150428655932434915,0.1651374763529152545206204668129182966594,9969.301281537883299603452207491934863739,313814.5905609392885414977057314898931971,0.1197947986831779242167020651481118762045,73682.9771721795934856812334887167934277,3653.69054822413447978800765552608566011,0.2844101151038885930579185325086940466562,2036.727236773855171244145902643248529168,141492.0007135940678248170326535588921464,0.1584533625652760088181762351567799140374,43942.9712467485286826274772279271168404,145145.6912618182023046050403090849778048,0.1547167448753339783829317456725254808094,44014.6790140290895493857011204673998079
1983,250809.73675561610898722901246085390486,0.1087094225478617995141579838104595438394,53440.1480380851421059297388505596048414,183590.6747348476212519316183400181134556,0.1167681015302269780277516753507424707617,42017.5677129854652767113258513729819757,67711.7406493497762638868542914749509507,0.1376015317423204113032976411509057731137,18261.7888913669702531194369477375072396,162275.5854492738556663217158685365827391,0.124825410938556755968605417928216162438,39701.9886124409609644920142499352393812,34917.8687951072433477327147449776197587,0.1411482459459200248148492034572023716332,9660.048027894360072840983811052581937106,32793.8718542425329161541395464973311902,0.1462338411888397497208673476605873840814,9399.324743452910002973753128146820346237,251302.4153841973975158184726314930644037,0.108547325650981388446334184464620678999,53465.2820343898733156909092655266845055,3622.276912970991230161921905405665450872,0.3809284362380062193178594514052600865004,2704.46342895498158266562355709850371798,82182.1314578926476267255679971380323064,0.2025131116971110171633996896064489037835,32620.1999681801946632381558051496837978,85804.4083708636388568874899025436977573,0.1969885690698967579390120505201553741445,33128.8757447363789701169367454976859413
1984,238376.4930743519916417903076376410885979,0.1035309007108922157237170028861673535318,48371.4927511311870211030967777545770089,119009.8087577656375773439515555807254501,0.1261345705615207291689317691508565199565,29422.0521957281757990792155164009084908,119527.3407941537771135898928971495783123,0.1376107627832681617784145644534414098883,32238.5671386727279629612664974957191477,182786.4487311176114051526397898521766086,0.1173521816895405696071364534243554218813,42042.7615420848122312342130599149907602,84672.0633907016783374001885430604369533,0.152047797669936236630473357749865082289,25233.4334949418309833714472953597173306,34855.2774034520987761897043540891413607,0.1329647575924340988297859293348600435936,9083.666081103426100469116548841206495546,238537.1495519194146909338444527303037645,0.1035169038486035329289920544020338480583,48397.5492619925665835387131881377561303,14118.6312217238244004299509136592722913,0.3463561175528804539676780903758141989303,9584.545618429604405783678107283068849174,39368.6378866461171330593355086265874197,0.1998015616123923459120190636739775549932,15417.1940434771880263346917976079867949,53487.2691083699415334892864222858597114,0.1797892679458011985234847982913363437212,18848.216436531241219903365153533654911
1985,99233.8258287728088319427902252546496592,0.0954967960415555388194597066936702907227,18573.9643541633833953321369334495452504,43791.1993211478965110045609075358074442,0.1260326575272767752321046924278418604722,10817.4776044318581757344939574600054002,55469.7524254384764154609206404711660856,0.1116868511298267816845392665599901288973,12142.6742834426585200943453165441426438,79000.0879937365179655782599797165494741,0.1059929388631051390989800585541636729884,16411.9649339240805045050071173715029144,42896.9461737305467425661339421822897266,0.1150986717250104499413692136589168628105,9677.267790285084365851649812935074060798,12572.8062517079296728947866982888763588,0.1206127346074303858227348665112636224749,2972.223465667464634566932975117215690792,99260.9517465863729264654815480069735311,0.095474395440846588859061428407520076227,18574.6835434212233393789321878950548964,5363.840377868737420246715004580800957092,0.259475641595711707185165210768356948953,2727.900409990371714514295558063362476225,5889.138213011432809859741288205722425098,0.2154447086607157479727400092920622141447,2486.815986467275151344829751039715175191,11252.9785908801702301064562927865233822,0.183273198945859664284554178092106303678,4042.243992678966730653310975612823356987
1986,141168.3444708130828945834480810278792163,0.1042918385822178937959686514860657175349,28856.5041411591811176467543730235485278,82303.8614594025707655207727603623742146,0.1448299485635149209918847177027613820641,23363.3254826181075484115596675116918222,58893.994094805514298818517941868358757,0.1243489162904253962873388572035945413215,14353.8725097394058753049908075702443771,84308.4783979805730474809020764602955519,0.1107165611995575578433047727274893067347,18295.3158240555211965362928207641224012,46085.0130126792948941429418944504891069,0.1297031052182531005299016796189855646515,11715.6438118654875541198499055869983813,12808.9810821262194046755760474178696502,0.1279765878147878489271822064730149817667,3212.929396858377514737164161419042671214,141197.8555542080850643392907022307329715,0.1042844504042347031231877480000697299333,28860.4918988651327738248225548877646788,26043.4015662863534885461604777645450602,0.2851213876708892686978733215498092255482,14554.0403567295613069934416209777205989,15173.9557834878514821933729167111709974,0.2087754523759036453612810023116573091836,6209.180986738085821604824343036376247463,41217.3573497742049707395333944757160576,0.2139663562827374077981447146763395949407,17285.490424759997954152334861991177306
1987,369455.7978531004500350513298747764018267,0.0976037690826969991401424153192224109184,70678.1456246384921905355128717245930336,261889.187258426669874922717020909962545,0.1185541415002897758038351555006119079412,60854.1736167175472094586856447681657795,107578.2264667622502505360247306752471332,0.1125561060301754761888342786186128011987,23732.8290788729981932780238438740595546,178411.1839487418967326789927098385429605,0.1057529795248164881557766062331688677016,36980.3279949339569829969401564866095361,74314.6183706852898657306045590782498335,0.1099643411707688171924016194054908669653,16017.0377750394613515815558565862836479,33263.6080960769603848054201715969972984,0.1305774478742400675067941166138516481556,8513.215022458292812403713263470371545171,369467.4137251889201254587417515852096786,0.0976008237878387081882294999003012210092,70678.2349269877021879850173460113461335,107988.5664963698124815497849554140867306,0.1913666895089221879730243867094739988682,40504.2123714398221802341136164212041377,119551.2014377570636484782209100817046236,0.188936091534805670038826375663667584428,44271.5720063625172124061637649266826779,227539.767934126876130028005865495791354,0.1437111090031581367671091936492412300464,64091.9850885838434839906565845666128823
1988,469700.1374087496866634494347894485030292,0.1109221465869375531230929204073826966296,102116.2890873737657966665309738332910259,326108.9989990287399455134261991673285101,0.1187800427216403711698200282465448272563,75921.0720327113811080489516445862337081,143595.5842126480943754070487871577502888,0.1900641790415383695036869245823063081955,53493.0585816394139026180943420287278271,245169.3337440478566478487667308222359302,0.1487381809332031460580031563151651300401,71473.4398145223128912802029212765615713,105241.7911319030706920283292629196101594,0.2149900581005424610009118455425919645658,44346.8400285038711780453806799054235709,38353.7930807450236833787195242381401313,0.1481126041270966149240387439134490655457,11134.1331358282913761793468918684915988,469704.5832116768343209204749863250788046,0.1109209648497840625050934591852670789413,102116.1677058415636597214768345111556148,36802.5509664811084286884779330822780088,0.2005204362331573266766686589661241376789,14464.1406056119233863765254788530912294,165618.5745490353835964971150949895163089,0.1765624452685886003286339968041712099568,57314.3601883804128578843518843930150052,202421.1255155164920251855930280717943197,0.1501004782953228301033114123041825133162,59551.6752036349389984148546021354760135
1989,511801.9213550336951319340372969202352907,0.093606218197148994897590800153652145521,93899.3709551955727375054819069831462486,368726.3415205046009429513884832304698181,0.1088789776153362973905140094132140446468,78687.2322858078997434369011055240647794,143078.7521834209269347719625947712486324,0.1037010669816567136426732997139163618122,29081.341757096598808218221245605908004,290494.9209452220632808144145666342552657,0.1067089649408954732882152634523312199048,60756.888175917730376302453984318289857,92336.9158200234824992762441268783543955,0.1029745456278897837790710955833869577237,18636.3698244453471731289647318776685072,50741.8363633974444354957184678928942379,0.1183648863912693864730216454695884844336,11771.8613250183237208107353995392999984,511805.0937039255278777233510780017184515,0.093605472150283502062621870427621609808,93899.2045923490367245091396316552307221,23265.1100094194331469255072303374417204,0.2512143471408698746402666455421640494035,11455.2776674665669601625903355055586748,256727.5337515037496915379154286006533106,0.3241625665201947403216582043784149596476,163114.0542250832542393511937307989452087,279992.6437609231828384634226589380950324,0.2979285462792225938865888909934679805202,163498.8905961534519720545753388613169875
