"SURVEY_YEAR","BIOMASS_MALE_LE119","CV_BIOMASS_MALE_LE119","CI_BIOMASS_MALE_LE119","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE135","CV_BIOMASS_MALE_GE135","CI_BIOMASS_MALE_GE135","BIOMASS_MALE_LE94","CV_BIOMASS_MALE_LE94","CI_BIOMASS_MALE_LE94","BIOMASS_MALE_GE65","CV_BIOMASS_MALE_GE65","CI_BIOMASS_MALE_GE65","BIOMASS_MALE_95TO109","CV_BIOMASS_MALE_95TO109","CI_BIOMASS_MALE_95TO109","BIOMASS_MALE_110TO134","CV_BIOMASS_MALE_110TO134","CI_BIOMASS_MALE_110TO134","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL"
1975,47149.8180145857956497715398186081056607,0.2200652391418844304736263727955572421386,20337.030514677261215949266831659904615,87701.040969416697919261514599125814897,0.1733694237637617060119356896702613262408,29801.1707152456672599179843049112244388,58088.8837475988022230200280514451143114,0.1859942609219202614952357824268647766013,21176.2300408114103861828252989986420325,18174.5607340572106577310802872416544202,0.3440640667784929796815125893995290424665,12256.2980250219755709215606354041385668,133084.0428521984619315489148449733847608,0.1714855024267955696163027383071544462363,44731.0885488569520508519199592630415111,14350.130915645766856458619863442830601,0.2085846521083102197366953661636317094178,5866.705446907411756792927574893981842139,44237.2835867007138318233262156043212246,0.2187339332008838364325101357757271203092,18965.3422647622197863594736978511031635,134850.858984002493569033054417733920555,0.1717824500154338388366051053556380569169,45403.421448197142128831812832271228381
1976,99164.4595899989163694692990211914743997,0.2711774889040202772545576312290239865579,52706.6915146745926996421638403807991595,157280.3692277300059105161139773375754761,0.2519961757159869677367301556025053509022,77682.741058749265737304238913790040992,92067.3054064617353966700747161096455308,0.2289851560694966310024826909433919623957,41320.8107428974368205634208965864455795,32056.4977872334615316726712690798749433,0.4652032115696259611952734024743088659904,29229.0600156994043725407958389251344671,256362.2346223638200203904230854730181351,0.2215940815162133890436400876938779124018,111344.3736765099529764669383701593843261,37758.417546555213457538786031308700814,0.268998657030256156577383636669126915345,19907.6486787575835000649658451680938698,94562.6080774785118941038809820308285904,0.2695511978462409895502544407714936132873,49959.3499863479550472745663195417388122,256444.8288177289222799854129985290498784,0.2216179825159079829692094687366737464059,111392.259754876029355649315801407122632
1977,82772.9756389817152763221216996772129019,0.1951034122275654990698505008598091118225,31652.6083752931932789366640809378387896,149899.0841029616954524898533859738957037,0.1926618042560181103577576412697223068244,56604.4628792183564005413004337193166642,93760.3227685309077107116958520509531358,0.2117702777241866516413118433661657941433,38917.0732007142959665594106091831180395,13739.7637063104463230764975017201255111,0.2428936310432790741338651534457590936644,6541.110148752716098432904469628874297113,232538.7214005189371811584348634107969705,0.1761101117727908120200261045191690523248,80266.743626000615530691721375113110009,35527.025323449617640482388257712228662,0.2337292776406362283081173657523740759514,16275.2636925181207751859367357517579619,89644.947943652439054541393474167801297,0.1860562748195188829791393142271251877746,32690.8499387398982354101785790894567905,232672.059741943410728811975085651108604,0.1760455810650437409539979999485508577734,80283.3403915471580242483650058418543831
1978,54371.205524387862999598609168190595733,0.2569281219124818164854552645248248800814,27380.2037741371182062959136973535232215,146682.425345630114755341463641175346232,0.2310183159887820297563022212302034763979,66417.2007014555076542554733738563929045,98240.9554602769855475684901702128056464,0.2376428541097856232196342612647369946977,45758.6716502629999540019473456086918358,13353.2264628901711276809135048647752885,0.4343000826279811494232788826698623026938,11366.6424181193577296250963153177022818,199542.234127022366017484632802320497255,0.2003780242762916533529382269920353125141,78368.4021227379225546815509793522983376,19470.5906532011630810549847596864038134,0.2991500793598731086927696828014274616472,11416.2723286139137890810846358585019451,69988.8582936496579986356843746019572163,0.2173904817497982213308140250577438473857,29821.2267782867253243491551575888165173,201053.6308700179777549400728093659419641,0.1986640654837884926168765261620867662072,78286.5781102727945513584839180544723492
1979,16886.3645865122112501169845357120384021,0.2475665714674136525216506489086928941545,8193.778795053893542505501280977904727148,86905.6476687720456725885925352862337157,0.2542259723403701915801864858487416210007,43303.5986497078706357662195941455138839,63107.1259971489068308047793603720116651,0.2509394125605186793448272395347157876629,31038.6876471700792243595296344834476373,5804.604930967744389979131333744529950783,0.2914108877416060113397454593176495437825,3315.389148808323579808956056066129684048,102448.1921511449950458482996394995929003,0.2392835101029637535850555294958255881783,48047.7595223925956769606864021832722556,4926.198019198867408936927229248948290006,0.3547159978066502392121841933655678946468,3424.906441715609601457437450931061076304,29954.0833079687382929847391476327822122,0.2909980209710425314243305058129900352654,17084.4947667364582161630933524455703144,103792.012255284256922705577070998272119,0.2361432674626416777936052133560278908381,48039.1784245513313441182402586393689741
1980,37368.7056680698349812305659423943376028,0.3585495717622765800964473210948407567226,26261.1254926101139041021055502785981087,129828.7169568356745500743399224945377661,0.2570548977520632370924010818148345837925,65411.2908227370677026314098808308136188,106655.0931277016814359548643119694562639,0.2658224421245398353872959699998034394955,55568.581947642737634378464324840476133,14009.2370916819716843144514287725613271,0.5352526357026937597995454755701437502955,14697.022911913162203407827378350291262,166524.2514952204024210211899681612478325,0.2400267117387424190670433643568519778817,78341.7262818601030403990936953666590037,13180.8376917626669640922173403547302014,0.4105819317175272262276658500624840614181,10607.1550502326526681426756507279855235,33352.2547137591894469433727837921275771,0.2807099838727449424571501398612926370838,18350.129330325286171173614482889052623,167197.4226249055095313049058648888753693,0.2389588125036531636271113981495058181553,78308.4632256729519293687329107802112716
1981,27294.3531219933585227252837326134024268,0.1587491063375776294515769579349541262132,8492.590165710286550403496857193708807852,41520.3021366622940027847952094976329017,0.1555579930235104791239512071640869125738,12659.2771454135623260884380484690784165,27367.6356237846817031530123754306266673,0.175218939425287863447321130501881035247,9398.843053611465614065794896556134723837,8298.386624097508583297041497400584827643,0.2034684738065163197818626588837817097244,3309.381720464597456894320566298590874471,68294.4113749626106374667762253490190415,0.1439705169081811533505764288040490449226,19271.4681468829342952270832029572310152,10034.4019279938498872883781540595598453,0.1819908956664747353915850044241612034417,3579.292796931883263901314241087331300246,23114.2310827796123517716469152202639885,0.1464623579353855215564113347617512229559,6635.314981044671217322900637968682841071,68814.6552586556525255100789421110353289,0.1433801758378850173313597318938457457282,19338.648447570593222278244682151025271
1982,51267.5281672781798315202234482582720229,0.3331974404674834876577998838212447768231,33481.1299622861401515534986145524019856,23037.9045101206975847473781711368876594,0.1917082834503936297226968834301190658346,8656.451970741468160894541048287457251334,10183.7544802745867720199299803578187814,0.1773900662125887031504080521110032622858,3540.733887835365375399146005908636395151,25985.9080406640542030933163714048641806,0.4289027526371476743824362173831884900567,21845.0378772965391948173307742338698365,72296.2782467365025070715637542267922983,0.2628778906963153446149562844150210508403,37249.9825361641581709158049327781120087,15282.0654521303752600520876691346398054,0.3278993750097148279358623772534556214764,9821.520232797766001210807969464175481161,22853.7047043298611811022675984978369144,0.262647259664094799549487262075999496732,11764.8273109787530346781677449164713109,74305.4326773988774162676016193951596826,0.2661664069286878706811826776790866636054,38764.1156608085505397384934188381488516
1983,25675.4781614470967195124689142629563512,0.2554769679856180564502541707903584817732,12856.6068920442127501553309224454865387,9795.746274591874460367810226011266949884,0.1298929973138258364993784868334444359266,2493.901735283664316758220287614702251735,2866.819344160487580278833248463757837062,0.1699794689386424536371317248539702084798,955.108842140316780553048569352348315444,11236.9976365031313456633837412564938035,0.3527684815778001064461000524581990077453,7769.554843696174925036113958764319299018,34761.8523909296214575216768690785785558,0.2097862751948012788600854580633091437006,14293.4166826506598531030197366866515526,8447.414913736022005864231603356362873786,0.247614289616700585945479364957220532621,4099.733260206043613404182214159895687151,12919.9925416393302480738305471976087867,0.1438756224105294022715743757791210139221,3643.389058196802454971762658663455091717,35471.2244360389711798802791402742233011,0.2062378093376847886687570368904996232689,14338.3949395395007252267073213341807934
1984,79710.4344345277441511905824922109835499,0.6170621931435590643856159282767047637085,96405.1391576472978243580047958035818216,16848.5191370342813903635984071278331605,0.2650030579497679772319672552627240831094,8751.221822748970027864219594300106281172,7623.176700456769685450820177641270600081,0.3626958277622857819193399788136087892785,5419.192991758663598434991952324057762473,54162.320708191389045597561644943617314,0.8175852913233487933363031621460463974027,86793.3408397123957259802247695605450345,96418.3057447957764070244620410276619449,0.548932684647997048521124370911475201592,103737.2324665361985571734216920460375662,15701.6751292773146206666736804802047189,0.5494172193984726497565442880567348968621,16908.4705512743637151863994310216840586,19071.7810336365521898391253962737240787,0.253225985333402951389611300491920313369,9465.76226683882340448764507784896279877,96558.9535715620255415541808993388167105,0.5492237018021201139467929639529496933677,103943.6332085161920063709461798394074062
