"SURVEY_YEAR","BIOMASS_MALE_LE119","CV_BIOMASS_MALE_LE119","CI_BIOMASS_MALE_LE119","BIOMASS_MALE_GE120","CV_BIOMASS_MALE_GE120","CI_BIOMASS_MALE_GE120","BIOMASS_MALE_GE135","CV_BIOMASS_MALE_GE135","CI_BIOMASS_MALE_GE135","BIOMASS_MALE_LE94","CV_BIOMASS_MALE_LE94","CI_BIOMASS_MALE_LE94","BIOMASS_MALE_GE65","CV_BIOMASS_MALE_GE65","CI_BIOMASS_MALE_GE65","BIOMASS_MALE_95TO109","CV_BIOMASS_MALE_95TO109","CI_BIOMASS_MALE_95TO109","BIOMASS_MALE_110TO134","CV_BIOMASS_MALE_110TO134","CI_BIOMASS_MALE_110TO134","BIOMASS_MALE_TOTAL","CV_BIOMASS_MALE_TOTAL","CI_BIOMASS_MALE_TOTAL"
1975,47052.4661557790477756261425865562491589,0.2200489442911871094035804147297126428442,20293.5371875969415183038327700662221717,87900.9635153419571060418318644206012301,0.1735993817871314978500768690735722291756,29908.7237325228670692176333228911554476,58278.7123130254193200360859035985641879,0.1864263896699348390969028220156988029298,21294.7922650150084366832113956474966964,18101.9899651104269791963909897333848914,0.3439617633622791327231458757114313097016,12203.7290819807017899980822424088450553,133197.280225845196581651239386321964804,0.1716501176179871955063245745599453520746,44812.12448163816302301832090987787246,14327.2558072850821318519110905203910297,0.2086274378341862023262045953006598085642,5858.554993726949381270408561095254286058,44245.4715857000764505835864671245102786,0.2186574911724138735544033441929649536106,18962.2234728322265435082777643650324252,134953.429671121004881667974450976850387,0.1719536153889895524508156998669041664114,45483.2310765422645185625967274204531857
1976,98949.6400501686083867981348726243200307,0.2710348154772806197388914853618469054669,52564.8429677799386372556641346929073698,157745.5819501991623428918965275246174584,0.2514136040615118032538016807115457034124,77732.3951544450648420298865540463997844,92434.7196083127949464383574619909150269,0.228364694717301734753202483076698255621,41373.2999882782025613656708711281620704,31942.0301313211987469414432997881793562,0.4651562840009331880134353990841712921714,29121.7506370891691288243156634260917646,256613.0959632655227338218479557175175775,0.2213697669524161895159391614437042206479,111340.5072506391567853233948844227210528,37673.843037601692986016868603423097421,0.2689646224068808858643972551322332439609,19860.5446957602900284154315631082863238,94644.6292231320840502933620349467456832,0.2693063458934315073350667681335178621568,49957.2625388599541213850689647554987905,256695.222000367770729690031400148937488,0.2213938294248655011945040627990109995986,111388.2468597057124661434398721834881384
1977,82628.9595675931311550740880461942056021,0.1950138241588267388101310411928938089877,31583.0272074211658776758738861768220418,150309.258367869650002011546111165197577,0.1921657028363137674925852875368658263931,56613.1971830508254758894236353507268874,94112.261479697425764958382178864101981,0.2111410347257806578820141381867884313375,38947.0821276448253279149580772780347105,13695.6778853009968413950444119567977353,0.2428503382686657657456803154484532965552,6518.960014237502918215370172656057635126,232805.7275096821362347813963152474147643,0.175815299260107990895144752104681642956,80224.3849571005636478654421907670237472,35456.409119168424953029809125872351549,0.2336203126142020215025967619866007135719,16235.3412698904547176118539390298049514,89673.8694512959335977023984406661519128,0.185795486475173074236522530909420963851,32655.5603896767914953928076955804868632,232938.2179354627811570856341573594031783,0.1757519245110410075794971851980156917891,80241.1065848865515038698915462687818188
1978,54391.9404145791314042325216906482346884,0.2568533967495691392801928442190734032487,27382.6791165182428335962545813095568495,147124.1687692210667368349076678466992906,0.2302456773501996751943042266522789117213,66394.4196299946188838079811418563640127,98508.2942077622913176569557943647507661,0.2369871450337475058863979432285667204492,45756.5908366263817334639652343389700963,13350.2256373629609346677693204936888389,0.4346704017173888759930757167349642736057,11373.7779639882706654718177347128342367,200015.8452053807528518859612766014371805,0.1998507612428333924212980286412192706781,78347.7050928511791236187853580366356474,19488.0029109049706181908394346264493746,0.2989115797266630446597150248959593577114,11417.3718822001687273749450165129559753,70169.5864277699752705518648090100449992,0.2166566250001094346857244838464970633769,29797.3033152644910859751631054555559765,201516.1091838001981410674293584949339785,0.1981562510301988119089649802869090843013,78266.0863673859659781358822502354509429
1979,16875.018799499964781604607844096904849,0.247330772585062859112609078736396549732,8180.474416652861049650250824346069851012,87185.0616895615502410004643813228518337,0.2534196261017052424064919283859649271227,43305.0352406446762388560611765474558421,63343.0952136128513228974674530668212615,0.2500976265119518357555347330069171242405,31050.2372269364957169489079597925588888,5802.833922268919290040584865885529038492,0.291336924979944842519006420360615358721,3313.536390522952872937446482758251309664,102716.5173833914001268445134504951755113,0.2386323934737680860830675565193540373528,48042.517249277648390764307778616071071,4920.010190434650795301509318376281828761,0.3543749418556727246882639211614664092454,3417.315517322609463564281981966244404419,29994.1411627450936143655105880911245539,0.2903254977526104393470140428599086330583,17067.8053669626206546149880071562339577,104060.0804890615150226050722254197566827,0.2355093438099565014485718629723831691327,48033.9576946686642529534003773263701341
1980,37272.8669885343571164257603984372350714,0.3584046543554581070159113140516847919394,26183.1872593307371055615604612487784616,130054.3070005816759383755003303615860047,0.2566555486096050548869190435669049778876,65423.1526440615270556203012537751492547,106873.3778185668833748444496967708783935,0.2653852479839288410380226312067124355827,55590.7310355105649183772528103225650913,13957.0371611592894870334169419614617814,0.5352510385991060343836880134307333513407,14642.2165271025832066242638714025350311,166659.3168705729915471793699950629903646,0.2397319277232934745054755949086278579282,78308.9762406021516629401416429251560236,13149.6865589757576751096408023063600686,0.4105478713785014114435782000740789405027,10581.2086191206968264126461857807853646,33347.0724504141025178137532877601208332,0.2804219298087247115195551154992898326148,18328.4508036323028076905995134397336038,167327.1739891160330548012607287988210753,0.2386743038340989148196061143385008626115,78275.9256581836495184802048870365820723
1981,27323.1407810145514994382151041556035407,0.1585530289093377457566965054268404946345,8491.04679108636638231307082438229098722,42100.6910189533396770626874385912899912,0.1559097925379784499420682861380894888194,12865.2636048422735755404212161734005543,27789.3979467363089385357126068328115635,0.1756619017467332394099451452183163909105,9567.815443772109290814517018083973085931,8277.657927776920650467223720440104023596,0.2034799885774804878754716970300313136848,3301.301971560983693696493947167756310156,68906.2117957837203411958746552367769878,0.1441349121535341342131521424942423803266,19466.309936675483981873859899124721532,10038.2032737314137849798568097072193684,0.1817854881966994102078203670160632812844,3576.607378156623746670475196892815520268,23318.5726517232478025181094057667585763,0.1462224908662586310961656165542686850586,6683.011562098350181580203488774203353037,69423.8317999678911765009025427468935309,0.1435519679205482801847239032679561813956,19533.2182439222393537443669617016656308
1982,51161.9959882253141187120805871016859985,0.3328573839854152619023376838467441425918,33378.1103624614575542580704586022499129,23175.2302078332953210210996957138209646,0.1909693470451757547084411766579155123119,8674.48681760665212668880440610732364606,10267.1493059537392037426622059324963902,0.1770147859537072054175636330276213980861,3562.176984026383089073890484642655894494,25885.5877551449591088336924258650111851,0.4286873246444570103352772462127402721736,21749.7737887407201658987419637520905971,72339.6846116224850203010327781055916977,0.2622070295000192129855824577835395179122,37177.2286812842943544417727471799663778,15265.6734821325938364497450097159513664,0.3274885961933061814431666190569909723674,9798.694598073607247079824306379860900703,22918.815652827317290707080641302048023,0.2618080681879378176079188294369220233413,11760.6484683954941119690375954994949117,74337.2261960586094397331802828155069643,0.2654900563685289551367574914859090116563,38682.1569712205074945809286773281589598
1983,25675.0438217423704819783680123031493826,0.2549403807912032481952241055138738360863,12829.3866795418273137035193109913263125,9881.218791261988748413123422658676296155,0.1299613709826253367034666707616555274433,2516.986412539708535806665440560831164338,2898.643026124424701360303547749257247231,0.169934220527481862462121411120071934353,965.454140734475698950400733613876455128,11196.7412376608270696669143253564670828,0.3527167408044861827660157641370012445695,7740.585030878674904145670740619349746829,34851.2750255054058794791761322721099473,0.2090536738972978930385933668151667602033,14280.1426848106168838887155047642716121,8454.667843624448692080252148692668497526,0.247194660287923460097625469325821395533,4096.299541085872924011859343834509475379,13006.2105055946587672840214131634328512,0.1437592174576490872382152114864739208386,3664.734782972535554957617904314253335237,35556.2626130043592303914914349618256787,0.2055508505966970699983260434889568711931,14324.8952473194662369747629274368944024
1984,79515.4000323369596850271031994175136195,0.6165288421860763846747063980749246685614,96086.1335350828366858858471644316386466,16948.1313000225256897737498552575457664,0.2651064213329484361744701277228489926602,8806.394536970609522140386321284858714487,7686.094603613974793087450692188797454793,0.3636443174567529298156943174357128934209,5478.209067036902215684414663826573844834,53953.8995684616992609688466547996798532,0.8174793426411511138677461804391466892169,86448.1487702194030729773978906624841384,96323.6602699452384919219936894649776329,0.5480971415898457365384518055655511433964,103477.6568083996126127024638902190707389,15679.9781226783919765260021784727176676,0.548842283128743731669196016922978647438,16867.4365848287407814139531217095643961,19143.5590376054193442185535292138644098,0.2529503318463815306328993097571747141638,9491.044438114850658226322078662575648449,96463.5313323594853748008530546750593863,0.5483880436318979036570753334347171691159,103682.9165691867318114834174453049013275
