ACCESS_ID,HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,CHELA_HEIGHT,COMMENTS
392,-11624,200601,88,136,O-26,68560,2,,10.5,2,0,0,0,2,,
456,-7846,201101,162,82,B-04,68560,2,,15,2,0,0,0,2,,
,-17840,201801,162,107,GF1918,68560,2,,15.2,2,0,0,0,2,,
5631,-5224,200901,89,106,HG1918,68560,1,,16.8,2,,,,2,2.1,
4496,-6387,201001,89,28,D-08,68560,2,,17.2,2,0,0,0,2,,
473,-7853,201101,162,89,G-18,68560,2,,18,2,0,0,0,2,,
3511,-4313,200801,89,146,F-22,68560,2,,18.1,2,0,0,0,2,,
,-15791,201601,162,186,L-30,68560,2,,18.3,2,0,0,0,2,,
2233,-3450,200701,88,108,E-18,68560,2,,18.6,2,0,0,0,2,,
1114,-6552,201001,162,107,G-23,68560,1,,18.7,2,,,,2,,
1411,-6567,201001,162,124,M-28,68560,1,,18.7,2,,,,2,,
,-12300,201401,162,191,L-30,68560,2,,18.7,2,0,0,0,2,,
1413,-6567,201001,162,124,M-28,68560,1,,18.8,2,,,,2,,
1732,-6586,201001,162,143,JI2221,68560,1,,18.9,2,,,,2,,
3629,-4369,200801,89,202,N-30,68560,2,,19.3,2,0,0,0,2,,
3638,-4378,200801,89,211,L-30,68560,2,,19.4,2,0,0,0,2,,
370,-11622,200601,88,134,ON2524,68560,2,,19.6,0,0,0,0,4,,
33,-7934,201101,89,97,F-22,68560,1,,19.6,2,,,,4,,
,-12014,201401,162,139,F-23,68560,2,,19.7,2,0,0,0,10,,
2230,-3450,200701,88,108,E-18,68560,2,,19.8,2,0,0,0,2,,
2227,-3450,200701,88,108,E-18,68560,1,,20,2,,,,2,2.4,
3639,-4378,200801,89,211,L-30,68560,2,,20.2,2,0,0,0,2,,
1369,-6566,201001,162,123,L-28,68560,1,,20.5,2,,,,4,2.4,
5630,-5224,200901,89,106,HG1918,68560,1,,20.6,2,,,,4,,
