"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.width","log10.weight","log.width","log.weight","Cooks_D","SC"
"10",1114,-6552,201001,162,107,"G-23",68560,1,NA,18.7,2,NA,NA,NA,2,NA,NA,"2010",1.2718416065365,0.301029995663981,2.92852352386054,0.693147180559945,6.07970416600954e-05,"NS"
"11",1411,-6567,201001,162,124,"M-28",68560,1,NA,18.7,2,NA,NA,NA,2,NA,NA,"2010",1.2718416065365,0.301029995663981,2.92852352386054,0.693147180559945,6.07970416611731e-05,"NS"
"13",1413,-6567,201001,162,124,"M-28",68560,1,NA,18.8,2,NA,NA,NA,2,NA,NA,"2010",1.27415784926368,0.301029995663981,2.9338568698359,0.693147180559945,1.03177614503482e-05,"NS"
"14",1732,-6586,201001,162,143,"JI2221",68560,1,NA,18.9,2,NA,NA,NA,2,NA,NA,"2010",1.27646180417324,0.301029995663981,2.9391619220656,0.693147180559945,1.73112935428338e-06,"NS"
"48",NA,-17865,201801,94,141,"K-22",68560,1,NA,22.9,2,NA,NA,NA,4,2.9,NA,"2018",1.35983548233989,0.602059991327962,3.13113691056019,1.38629436111989,0.000814597601049904,"NS"
"49",915,NA,200001,88,NA,"",68560,1,NA,23,2,NA,NA,NA,4,NA,NA,"2000",1.36172783601759,0.602059991327962,3.13549421592915,1.38629436111989,0.000636542388428488,"NS"
"50",916,1010924,200001,88,34,"A-05",68560,1,NA,23,2,NA,NA,NA,4,NA,NA,"2000",1.36172783601759,0.602059991327962,3.13549421592915,1.38629436111989,0.000636542388428488,"NS"
"51",5628,-5224,200901,89,106,"HG1918",68560,1,NA,23,2,NA,NA,NA,4,3.2,NA,"2009",1.36172783601759,0.602059991327962,3.13549421592915,1.38629436111989,0.000636542388428488,"NS"
"55",NA,-17989,201801,94,172,"ON2625",68560,1,NA,23.1,2,NA,NA,NA,4,NA,NA,"2018",1.36361197989214,0.602059991327962,3.13983261752775,1.38629436111989,0.000481994212653557,"NS"
"58",1117,-6552,201001,162,107,"G-23",68560,1,NA,23.2,2,NA,NA,NA,4,NA,NA,"2010",1.3654879848909,0.602059991327962,3.14415227867226,1.38629436111989,0.000350230966107059,"NS"
"59",NA,-8716,201201,162,160,"O-26",68560,1,NA,23.2,2,NA,NA,NA,4,NA,NA,"2012",1.3654879848909,0.602059991327962,3.14415227867226,1.38629436111989,0.000350230966107059,"NS"
"60",NA,-17865,201801,94,141,"K-22",68560,1,NA,23.2,2,NA,NA,NA,4,2.6,NA,"2018",1.3654879848909,0.602059991327962,3.14415227867226,1.38629436111989,0.000350230966107059,"NS"
"64",1199,-6557,201001,162,113,"H-24",68560,1,NA,23.4,2,NA,NA,NA,4,2.6,NA,"2010",1.36921585741014,0.602059991327962,3.15273602236366,1.38629436111989,0.000152264171294947,"NS"
"65",NA,-9017,201201,89,175,"I-26",68560,1,NA,23.4,2,NA,NA,NA,4,NA,NA,"2012",1.36921585741014,0.602059991327962,3.15273602236366,1.38629436111989,0.000152264171294947,"NS"
"69",NA,-18169,201801,162,176,"O-29",68560,1,NA,23.5,2,NA,NA,NA,4,NA,NA,"2018",1.37106786227174,0.602059991327962,3.15700042115011,1.38629436111989,8.47082643001496e-05,"NS"
"70",NA,-9381,201201,162,237,"B-08",68560,1,NA,23.6,2,NA,NA,NA,4,2.6,NA,"2012",1.37291200297011,0.602059991327962,3.16124671203156,1.38629436111989,3.72316128368106e-05,"NS"
"72",388,-11624,200601,88,136,"O-26",68560,1,NA,23.7,2,NA,NA,NA,4,NA,NA,"2006",1.3747483460101,0.602059991327962,3.16547504814109,1.38629436111989,9.20109615632108e-06,"NS"
"75",NA,-15793,201601,162,188,"L-28",68560,1,NA,23.8,2,NA,NA,NA,4,2,NA,"2016",1.37657695705651,0.602059991327962,3.16968558067743,1.38629436111989,3.99358128780353e-12,"NS"
"78",NA,-17663,201801,94,91,"J-02",68560,1,NA,23.9,2,NA,NA,NA,4,2.9,NA,"2018",1.37839790094814,0.602059991327962,3.17387845893747,1.38629436111989,9.0276050612548e-06,"NS"
"79",NA,-17594,201801,162,35,"H-07",68560,1,NA,23.9,2,NA,NA,NA,4,3.1,NA,"2018",1.37839790094814,0.602059991327962,3.17387845893747,1.38629436111989,9.0276050612548e-06,"NS"
"85",NA,-15793,201601,162,188,"L-28",68560,1,NA,24,2,NA,NA,NA,4,2.7,NA,"2016",1.38021124171161,0.602059991327962,3.17805383034795,1.38629436111989,3.56987279038448e-05,"NS"
"87",NA,-15791,201601,162,186,"L-30",68560,1,NA,24.2,2,NA,NA,NA,4,3,NA,"2016",1.38381536598043,0.602059991327962,3.18635263316264,1.38629436111989,0.000139706220773999,"NS"
"88",NA,-17989,201801,94,172,"ON2625",68560,1,NA,24.2,2,NA,NA,NA,4,NA,NA,"2018",1.38381536598043,0.602059991327962,3.18635263316264,1.38629436111989,0.000139706220773999,"NS"
"94",NA,-17978,201801,94,158,"M-24",68560,1,NA,24.5,2,NA,NA,NA,4,NA,NA,"2018",1.38916608436453,0.602059991327962,3.19867311755068,1.38629436111989,0.00041426501216284,"NS"
"95",1147,-6553,201001,162,109,"G-24",68560,1,NA,24.6,2,NA,NA,NA,4,NA,NA,"2010",1.39093510710338,0.602059991327962,3.20274644293832,1.38629436111989,0.000535330141418136,"NS"
"113",NA,-16954,201701,162,119,"K-27",68560,1,NA,25,2,NA,NA,NA,5,NA,NA,"2017",1.39794000867204,0.698970004336019,3.2188758248682,1.6094379124341,0.000310575327679361,"NS"
"125",47,-7939,201101,89,102,"H-22",68560,1,NA,25.4,2,NA,NA,NA,5,2.4,NA,"2011",1.40483371661994,0.698970004336019,3.23474917402449,1.6094379124341,4.32128274009844e-05,"NS"
"153",NA,-18170,201801,162,177,"N-29",68560,1,NA,26,2,NA,NA,NA,6,NA,NA,"2018",1.41497334797082,0.778151250383644,3.25809653802148,1.79175946922805,0.00100184419355332,"NS"
"154",NA,-17809,201801,94,118,"J-20",68560,1,NA,26,2,NA,NA,NA,6,3.8,NA,"2018",1.41497334797082,0.778151250383644,3.25809653802148,1.79175946922805,0.00100184419355332,"NS"
"156",387,-11624,200601,88,136,"O-26",68560,1,NA,26.1,2,NA,NA,NA,6,NA,NA,"2006",1.41664050733828,0.778151250383644,3.26193531432865,1.79175946922805,0.000840518740021495,"NS"
"157",NA,-9028,201201,162,187,"F-23",68560,1,NA,26.1,2,NA,NA,NA,6,2.9,NA,"2012",1.41664050733828,0.778151250383644,3.26193531432865,1.79175946922805,0.000840518740021495,"NS"
"164",NA,-17823,201801,162,98,"K-19",68560,1,NA,26.2,2,NA,NA,NA,6,NA,NA,"2018",1.41830129131975,0.778151250383644,3.26575941076705,1.79175946922805,0.000694749563534725,"NS"
"165",NA,-17638,201801,94,75,"C-06",68560,1,NA,26.2,2,NA,NA,NA,6,3.2,NA,"2018",1.41830129131975,0.778151250383644,3.26575941076705,1.79175946922805,0.000694749563534725,"NS"
"167",NA,-17719,201801,162,60,"G-03",68560,1,NA,26.2,2,NA,NA,NA,6,2.9,NA,"2018",1.41830129131975,0.778151250383644,3.26575941076705,1.79175946922805,0.000694749563534725,"NS"
"168",NA,-16954,201701,162,119,"K-27",68560,1,NA,26.2,2,NA,NA,NA,6,NA,NA,"2017",1.41830129131975,0.778151250383644,3.26575941076705,1.79175946922805,0.000694749563534725,"NS"
"171",NA,-18129,201801,94,200,"L-30",68560,1,NA,26.3,2,NA,NA,NA,6,NA,NA,"2018",1.41995574848976,0.778151250383644,3.26956893918372,1.79175946922805,0.000564102582140462,"NS"
"176",NA,-18169,201801,162,176,"O-29",68560,1,NA,26.4,2,NA,NA,NA,6,NA,NA,"2018",1.42160392686983,0.778151250383644,3.27336401015227,1.79175946922805,0.000448153948735097,"NS"
"177",NA,-18025,201801,94,192,"Q-29",68560,1,NA,26.4,2,NA,NA,NA,6,NA,NA,"2018",1.42160392686983,0.778151250383644,3.27336401015227,1.79175946922805,0.000448153948735097,"NS"
"182",NA,-17705,201801,162,73,"B-03",68560,1,NA,26.5,2,NA,NA,NA,6,NA,NA,"2018",1.42324587393681,0.778151250383644,3.27714473299218,1.79175946922805,0.000346489806871957,"NS"
"184",NA,-17661,201801,94,89,"H-02",68560,1,NA,26.6,2,NA,NA,NA,6,3.1,NA,"2018",1.42488163663107,0.778151250383644,3.28091121578765,1.79175946922805,0.000258706052905487,"NS"
"185",NA,-18169,201801,162,176,"O-29",68560,1,NA,26.6,2,NA,NA,NA,6,NA,NA,"2018",1.42488163663107,0.778151250383644,3.28091121578765,1.79175946922805,0.000258706052905487,"NS"
"186",NA,-17729,201801,162,56,"H-04",68560,1,NA,26.6,2,NA,NA,NA,6,3.6,NA,"2018",1.42488163663107,0.778151250383644,3.28091121578765,1.79175946922805,0.000258706052905487,"NS"
"188",NA,-9014,201201,89,172,"K-25",68560,1,NA,26.7,2,NA,NA,NA,6,3.4,NA,"2012",1.42651126136458,0.778151250383644,3.2846635654062,1.79175946922805,0.000184408104289899,"NS"
"189",NA,-15399,201601,162,96,"E-18",68560,1,NA,26.7,2,NA,NA,NA,6,3.1,NA,"2016",1.42651126136458,0.778151250383644,3.2846635654062,1.79175946922805,0.000184408104289899,"NS"
"191",NA,-17015,201701,162,152,"L-30",68560,1,NA,26.7,2,NA,NA,NA,6,NA,NA,"2017",1.42651126136458,0.778151250383644,3.2846635654062,1.79175946922805,0.000184408104289899,"NS"
"192",NA,-17865,201801,94,141,"K-22",68560,1,NA,26.8,2,NA,NA,NA,6,3.1,NA,"2018",1.42813479402879,0.778151250383644,3.28840188751681,1.79175946922805,0.000123210673856234,"NS"
"193",NA,-17010,201701,162,147,"P-28",68560,1,NA,26.8,2,NA,NA,NA,6,NA,NA,"2017",1.42813479402879,0.778151250383644,3.28840188751681,1.79175946922805,0.000123210673856234,"NS"
"196",414,-6157,201001,162,38,"G-07",68560,1,NA,27,2,NA,NA,NA,6,NA,NA,"2010",1.43136376415899,0.778151250383644,3.29583686600433,1.79175946922805,3.86213818960447e-05,"NS"
"197",NA,-17724,201801,162,79,"G-01",68560,1,NA,27,2,NA,NA,NA,6,3.3,NA,"2018",1.43136376415899,0.778151250383644,3.29583686600433,1.79175946922805,3.86213818960447e-05,"NS"
