"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log.width","log.weight","Cooks_D","SC"
"2469",2251,-3451,200701,88,109,"D-18",68560,2,NA,55.5,2,4,1,5,52,NA,NA,"2007",4.01638302075239,3.95124371858143,0.00563551908107089,"NS"
"2731",2250,-3451,200701,88,109,"D-18",68560,2,NA,58.9,2,4,1,6,58,NA,NA,"2007",4.07584109065754,4.06044301054642,1.87640917994925e-05,"NS"
"2890",2255,-3451,200701,88,109,"D-18",68560,2,NA,60.7,2,4,1,5,68,NA,NA,"2007",4.10594369806545,4.21950770517611,0.00498551628032051,"NS"
"2906",NA,-16542,201701,94,77,"B-05",68560,2,NA,60.8,2,4,1,5,60,NA,NA,"2017",4.10758978897212,4.0943445622221,0.003920391263596,"NS"
"2999",2242,-3451,200701,88,109,"D-18",68560,2,NA,62,2,4,1,5,70,NA,NA,"2007",4.12713438504509,4.24849524204936,0.00126330329094426,"NS"
"3039",NA,-17680,201801,162,74,"B-01",68560,2,NA,62.5,2,4,1,6,70,NA,NA,"2018",4.13516655674236,4.24849524204936,0.000167145067340916,"NS"
"3093",NA,-19246,201901,162,70,"B-02",68560,2,NA,63,2,4,1,2,72,NA,NA,"2019",4.14313472639153,4.27666611901606,0.000305206963076402,"NS"
"3099",NA,-17680,201801,162,74,"B-01",68560,2,NA,63.1,2,4,1,6,78,NA,NA,"2018",4.14472076954717,4.35670882668959,0.00748289073443135,"NS"
"3145",2244,-3451,200701,88,109,"D-18",68560,2,NA,63.6,2,4,1,4,76,NA,NA,"2007",4.15261347034608,4.33073334028633,0.00167509535685691,"NS"
"3169",1436,1063350,200101,89,85,"C-01",68560,2,NA,64,2,4,1,5,72,NA,NA,"2001",4.15888308335967,4.27666611901606,0.000528983183659512,"NS"
"3216",2254,-3451,200701,88,109,"D-18",68560,2,NA,64.6,2,4,1,4,74,NA,NA,"2007",4.16821441078856,4.30406509320417,0.000476006717507258,"NS"
"3241",2253,-3451,200701,88,109,"D-18",68560,2,NA,64.9,2,4,1,6,82,NA,NA,"2007",4.17284762371004,4.40671924726425,0.00283792888058798,"NS"
"3294",NA,-19246,201901,162,70,"B-02",68560,2,NA,65.5,2,4,1,2,80,NA,NA,"2019",4.18205014264121,4.38202663467388,0.000103349288577829,"NS"
"3309",2245,-3451,200701,88,109,"D-18",68560,2,NA,65.8,2,4,1,4,80,NA,NA,"2007",4.18661983833127,4.38202663467388,2.32636612988481e-07,"NS"
"3318",876,-6216,201001,162,97,"D-18",68560,2,NA,65.9,2,4,1,6,80,NA,NA,"2010",4.18813844150846,4.38202663467388,1.55930759878859e-05,"NS"
"3364",NA,-11963,201401,162,99,"J-21",68560,2,NA,66.3,2,4,1,5,82,NA,NA,"2014",4.19418989719182,4.40671924726425,3.31238977178103e-06,"NS"
"3372",NA,-17680,201801,162,74,"B-01",68560,2,NA,66.4,2,4,1,6,86,NA,NA,"2018",4.19569705648239,4.45434729625351,0.00124963966007514,"NS"
"3373",NA,-17682,201801,162,76,"A-02",68560,2,NA,66.4,2,4,1,4,74,NA,NA,"2018",4.19569705648239,4.30406509320417,0.00657131778920365,"NS"
"3375",2268,-3470,200701,88,128,"E-22",68560,2,NA,66.5,2,4,1,5,86,NA,NA,"2007",4.19720194766181,4.45434729625351,0.00101342237424754,"NS"
"3380",NA,-17680,201801,162,74,"B-01",68560,2,NA,66.5,2,4,1,6,84,NA,NA,"2018",4.19720194766181,4.43081679884331,0.000187730379567501,"NS"
"3390",2216,-3440,200701,88,98,"H-01",68560,2,NA,66.8,2,4,1,6,88,NA,NA,"2007",4.2017030805426,4.47733681447821,0.00151848879963917,"NS"
