"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log.width","log.weight","Cooks_D","SC"
"28",NA,-8960,201201,89,108,"N-18",68580,1,NA,21.8,2,NA,NA,NA,4,NA,"","2012",3.08190996979504,1.38629436111989,0.000415327289216728,"NS"
"33",NA,-8959,201201,89,107,"M-18",68580,1,NA,22.1,2,NA,NA,NA,4,2.9,"","2012",3.09557760852371,1.38629436111989,4.82209915573631e-05,"NS"
"43",NA,-14720,201501,94,166,"R-25",68580,1,NA,22.7,2,NA,NA,NA,4,3.2,"","2015",3.12236492448736,1.38629436111989,0.000343148388876229,"NS"
"79",NA,-8590,201201,162,114,"Q-19",68580,1,NA,24.7,2,NA,NA,NA,6,NA,"","2012",3.20680324363393,1.79175946922805,0.000606194324251846,"NS"
"80",NA,-10201,201301,89,157,"ON2524",68580,1,NA,24.7,2,NA,NA,NA,6,3.3,"","2013",3.20680324363393,1.79175946922805,0.000606194324251846,"NS"
"83",3279,-3785,200701,89,183,"S-26",68580,1,NA,24.8,2,NA,NA,NA,6,3.9,"","2007",3.21084365317094,1.79175946922805,0.000440849387993234,"NS"
"85",NA,-9604,201202,162,17,"CH30-D03",68580,1,NA,24.8,2,NA,NA,NA,6,NA,"","2012",3.21084365317094,1.79175946922805,0.000440849387993234,"NS"
"96",NA,-10201,201301,89,157,"ON2524",68580,1,NA,25.2,2,NA,NA,NA,6,3.5,"","2013",3.22684399451738,1.79175946922805,4.75475819294261e-05,"NS"
"99",NA,-10083,201301,89,91,"K-01",68580,1,NA,25.5,2,NA,NA,NA,6,3.8,"","2013",3.23867845216438,1.79175946922805,1.0725331522242e-05,"NS"
"100",NA,-8991,201201,89,149,"R-24",68580,1,NA,25.6,2,NA,NA,NA,6,NA,"","2012",3.24259235148552,1.79175946922805,4.34298338466089e-05,"NS"
"102",3221,-3775,200701,89,173,"S-25",68580,1,NA,25.7,2,NA,NA,NA,6.5,3.7,"","2007",3.24649099190117,1.87180217690159,0.000149204733540818,"NS"
"108",3275,-3783,200701,89,181,"T-27",68580,1,NA,25.9,2,NA,NA,NA,6.5,3.9,"","2007",3.25424296870549,1.87180217690159,3.1456826897556e-05,"NS"
"110",NA,-9603,201202,162,16,"CH30-D03",68580,1,NA,26,2,NA,NA,NA,6,3.8,"","2012",3.25809653802148,1.79175946922805,0.000379731232893597,"NS"
"128",NA,-10152,201301,89,126,"O-21",68580,1,NA,27.2,2,NA,NA,NA,8,3.9,"","2013",3.30321697330195,2.07944154167984,0.000413452741219951,"NS"
"129",3272,-3782,200701,89,180,"U-27",68580,1,NA,27.3,2,NA,NA,NA,8,4.2,"","2007",3.30688670219091,2.07944154167984,0.000300194530757399,"NS"
"133",NA,-9610,201202,162,23,"CH30-D01",68580,1,NA,27.4,2,NA,NA,NA,8,3.7,"","2012",3.31054301339402,2.07944154167984,0.000205938638234729,"NS"
"134",NA,-9624,201202,162,37,"CH30-I04",68580,1,NA,27.4,2,NA,NA,NA,8,NA,"","2012",3.31054301339402,2.07944154167984,0.000205938638234729,"NS"
"144",NA,-19425,201901,94,183,"N-30",68580,1,NA,27.6,2,NA,NA,NA,8,3.7,"","2019",3.3178157727231,2.07944154167984,7.21430430549112e-05,"NS"
"146",NA,-9605,201202,162,18,"CH30-D02",68580,1,NA,27.7,2,NA,NA,NA,8,4.2,"","2012",3.32143241319329,2.07944154167984,3.14919816534973e-05,"NS"
"147",NA,-8723,201201,162,167,"O-23",68580,1,NA,27.8,2,NA,NA,NA,8,NA,"","2012",3.32503602069659,2.07944154167984,7.61988520392684e-06,"NS"
