"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.width","log10.weight","log.width","log.weight","Cooks_D","SC"
"28",NA,-8960,201201,89,108,"N-18",68580,1,NA,21.8,2,NA,NA,NA,4,NA,"","2012",1.3384564936046,0.602059991327962,3.08190996979504,1.38629436111989,0.000415327289217121,"NS"
"33",NA,-8959,201201,89,107,"M-18",68580,1,NA,22.1,2,NA,NA,NA,4,2.9,"","2012",1.34439227368511,0.602059991327962,3.09557760852371,1.38629436111989,4.82209915574664e-05,"NS"
"43",NA,-14720,201501,94,166,"R-25",68580,1,NA,22.7,2,NA,NA,NA,4,3.2,"","2015",1.35602585719312,0.602059991327962,3.12236492448736,1.38629436111989,0.000343148388876058,"NS"
"79",NA,-8590,201201,162,114,"Q-19",68580,1,NA,24.7,2,NA,NA,NA,6,NA,"","2012",1.39269695325967,0.778151250383644,3.20680324363393,1.79175946922805,0.000606194324252265,"NS"
"80",NA,-10201,201301,89,157,"ON2524",68580,1,NA,24.7,2,NA,NA,NA,6,3.3,"","2013",1.39269695325967,0.778151250383644,3.20680324363393,1.79175946922805,0.000606194324252265,"NS"
"83",3279,-3785,200701,89,183,"S-26",68580,1,NA,24.8,2,NA,NA,NA,6,3.9,"","2007",1.39445168082622,0.778151250383644,3.21084365317094,1.79175946922805,0.000440849387993597,"NS"
"85",NA,-9604,201202,162,17,"CH30-D03",68580,1,NA,24.8,2,NA,NA,NA,6,NA,"","2012",1.39445168082622,0.778151250383644,3.21084365317094,1.79175946922805,0.000440849387993597,"NS"
"96",NA,-10201,201301,89,157,"ON2524",68580,1,NA,25.2,2,NA,NA,NA,6,3.5,"","2013",1.40140054078154,0.778151250383644,3.22684399451738,1.79175946922805,4.75475819295092e-05,"NS"
"99",NA,-10083,201301,89,91,"K-01",68580,1,NA,25.5,2,NA,NA,NA,6,3.8,"","2013",1.40654018043396,0.778151250383644,3.23867845216438,1.79175946922805,1.07253315222093e-05,"NS"
"100",NA,-8991,201201,89,149,"R-24",68580,1,NA,25.6,2,NA,NA,NA,6,NA,"","2012",1.40823996531185,0.778151250383644,3.24259235148552,1.79175946922805,4.34298338465457e-05,"NS"
"102",3221,-3775,200701,89,173,"S-25",68580,1,NA,25.7,2,NA,NA,NA,6.5,3.7,"","2007",1.40993312333129,0.812913356642856,3.24649099190117,1.87180217690159,0.000149204733540984,"NS"
"108",3275,-3783,200701,89,181,"T-27",68580,1,NA,25.9,2,NA,NA,NA,6.5,3.9,"","2007",1.41329976408125,0.812913356642856,3.25424296870549,1.87180217690159,3.14568268976217e-05,"NS"
"110",NA,-9603,201202,162,16,"CH30-D03",68580,1,NA,26,2,NA,NA,NA,6,3.8,"","2012",1.41497334797082,0.778151250383644,3.25809653802148,1.79175946922805,0.000379731232893468,"NS"
"128",NA,-10152,201301,89,126,"O-21",68580,1,NA,27.2,2,NA,NA,NA,8,3.9,"","2013",1.4345689040342,0.903089986991944,3.30321697330195,2.07944154167984,0.00041345274122024,"NS"
"129",3272,-3782,200701,89,180,"U-27",68580,1,NA,27.3,2,NA,NA,NA,8,4.2,"","2007",1.43616264704076,0.903089986991944,3.30688670219091,2.07944154167984,0.000300194530757638,"NS"
"133",NA,-9610,201202,162,23,"CH30-D01",68580,1,NA,27.4,2,NA,NA,NA,8,3.7,"","2012",1.43775056282039,0.903089986991944,3.31054301339402,2.07944154167984,0.000205938638234913,"NS"
"134",NA,-9624,201202,162,37,"CH30-I04",68580,1,NA,27.4,2,NA,NA,NA,8,NA,"","2012",1.43775056282039,0.903089986991944,3.31054301339402,2.07944154167984,0.000205938638234913,"NS"
"144",NA,-19425,201901,94,183,"N-30",68580,1,NA,27.6,2,NA,NA,NA,8,3.7,"","2019",1.44090908206522,0.903089986991944,3.3178157727231,2.07944154167984,7.21430430550119e-05,"NS"
"146",NA,-9605,201202,162,18,"CH30-D02",68580,1,NA,27.7,2,NA,NA,NA,8,4.2,"","2012",1.44247976906445,0.903089986991944,3.32143241319329,2.07944154167984,3.1491981653555e-05,"NS"
"147",NA,-8723,201201,162,167,"O-23",68580,1,NA,27.8,2,NA,NA,NA,8,NA,"","2012",1.44404479591808,0.903089986991944,3.32503602069659,2.07944154167984,7.61988520395606e-06,"NS"
"151",NA,-14498,201501,94,85,"Q-19",68580,1,NA,27.9,2,NA,NA,NA,8,3.3,"","2015",1.4456042032736,0.903089986991944,3.32862668882732,2.07944154167984,3.68166237852793e-09,"NS"
"160",NA,-8723,201201,162,167,"O-23",68580,1,NA,28.2,2,NA,NA,NA,8,NA,"","2012",1.45024910831936,0.903089986991944,3.33932197794407,2.07944154167984,6.96454497093418e-05,"NS"
"164",NA,-9617,201202,162,30,"CH30-F02",68580,1,NA,28.3,2,NA,NA,NA,8,4.2,"","2012",1.45178643552429,0.903089986991944,3.34286180464919,2.07944154167984,0.000122067751767852,"NS"
"174",NA,-10252,201301,89,169,"U-25",68580,1,NA,28.6,2,NA,NA,NA,8,3.2,"","2013",1.45636603312904,0.903089986991944,3.35340671782581,2.07944154167984,0.000360470152772743,"NS"
"180",NA,-9617,201202,162,30,"CH30-F02",68580,1,NA,28.8,2,NA,NA,NA,8,4.3,"","2012",1.45939248775923,0.903089986991944,3.3603753871419,2.07944154167984,0.000582629258906024,"NS"
"182",3234,-3776,200701,89,174,"T-25",68580,1,NA,28.9,2,NA,NA,NA,9.5,4.4,"","2007",1.46089784275655,0.977723605288848,3.36384159511839,2.2512917986065,0.000244409398452165,"NS"
"185",498,-11660,200601,88,172,"W-22",68580,1,NA,29,2,NA,NA,NA,10,4.5,"","2006",1.46239799789896,1,3.36729582998647,2.30258509299405,0.000653321546257965,"NS"
"186",NA,-8995,201201,89,153,"Q-25",68580,1,NA,29,2,NA,NA,NA,10,NA,"","2012",1.46239799789896,1,3.36729582998647,2.30258509299405,0.000653321546257965,"NS"
"189",1507,-11432,200601,134,180,"X-24",68580,1,NA,29.1,2,NA,NA,NA,10,4,"","2006",1.46389298898591,1,3.37073817417745,2.30258509299405,0.00052381447671133,"NS"
"190",NA,-9605,201202,162,18,"CH30-D02",68580,1,NA,29.1,2,NA,NA,NA,10,4.5,"","2012",1.46389298898591,1,3.37073817417745,2.30258509299405,0.00052381447671133,"NS"
"193",NA,-8995,201201,89,153,"Q-25",68580,1,NA,29.2,2,NA,NA,NA,10,NA,"","2012",1.46538285144842,1,3.37416870927424,2.30258509299405,0.000409705508276769,"NS"
"198",NA,-10252,201301,89,169,"U-25",68580,1,NA,29.3,2,NA,NA,NA,10,4.3,"","2013",1.46686762035411,1,3.37758751602302,2.30258509299405,0.000310551058650454,"NS"
"201",2017,-8171,201101,162,170,"S-24",68580,1,NA,29.5,2,NA,NA,NA,10,4.7,"","2011",1.46982201597816,1,3.38439026334577,2.30258509299405,0.00015538165327678,"NS"
