"CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION"
3153700,-17413,201702,162,63,"EE-01",3,69323,2,92.7,,3,0,4,1,726,,,,,1,,,"","EE-01"
3155561,-17354,201702,162,30,"X-20",3,69323,2,98.1,,3,0,4,1,916,,,,,1,,,"","X-20"
3155799,-17386,201702,162,48,"BB-21",3,69323,2,89.3,,2,0,0,1,574,,,,,1,,,"","BB-21"
3155800,-17386,201702,162,48,"BB-21",3,69323,2,87.8,,2,0,0,1,558,,,,,1,,,"","BB-21"
3155801,-17386,201702,162,48,"BB-21",3,69323,2,79.8,,3,0,4,1,422,,,,,1,,,"","BB-21"
3155802,-17386,201702,162,48,"BB-21",3,69323,2,81.8,,2,0,0,1,490,,,,,1,,,"","BB-21"
3155803,-17386,201702,162,48,"BB-21",3,69323,2,75,,2,0,0,1,324,,,,,1,,,"","BB-21"
3155804,-17386,201702,162,48,"BB-21",3,69323,2,92.7,,2,0,0,1,584,,,,,1,,,"","BB-21"
3155805,-17386,201702,162,48,"BB-21",3,69323,2,83.6,,2,0,0,1,460,,,,,1,,,"","BB-21"
3155806,-17386,201702,162,48,"BB-21",3,69323,2,92.5,,2,2,1,5,642,,,,,1,,,"","BB-21"
3159107,-17385,201702,162,47,"BB-22",3,69323,2,77.9,,3,0,4,1,372,,,,,1,,,"","BB-22"
3159108,-17385,201702,162,47,"BB-22",3,69323,2,31.6,,2,0,0,0,22,,,,,1,,,"","BB-22"
3159109,-17385,201702,162,47,"BB-22",3,69323,2,87.3,,2,0,0,0,506,,,,,1,,,"","BB-22"
3159110,-17385,201702,162,47,"BB-22",3,69323,2,74.7,,2,0,0,0,276,,,,,1,,,"","BB-22"
3159111,-17385,201702,162,47,"BB-22",3,69323,2,52.3,,2,0,0,0,98,,,,,1,,,"","BB-22"
