"CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION"
3153696,-17413,201702,162,63,"EE-01",3,69323,1,121.4,,2,,,,1608,,,,,1,,,"","EE-01"
3153455,-17233,201702,162,16,"Y-18",3,69323,1,112.4,,2,,,,1104,,,,,1,,,"","Y-18"
3159260,-17386,201702,162,48,"BB-21",3,69323,1,95.2,,2,,,,742,,,,,1,,,"","BB-21"
3159261,-17386,201702,162,48,"BB-21",3,69323,1,125,,2,,,,1458,,,,,1,,,"","BB-21"
3159262,-17386,201702,162,48,"BB-21",3,69323,1,101.1,,2,,,,858,,,,,1,,,"","BB-21"
3158780,-17379,201702,162,41,"Y-24",3,69323,1,101,,2,,,,714,,,,,1,,,"","Y-24"
3159356,-17396,201702,162,53,"DD-20",3,69323,1,80.9,,2,,,,400,,,,,1,,,"","DD-20"
3159357,-17396,201702,162,53,"DD-20",3,69323,1,84,,2,,,,464,,,,,1,,,"","DD-20"
3159358,-17396,201702,162,53,"DD-20",3,69323,1,80.7,,2,,,,412,,,,,1,,,"","DD-20"
3159359,-17396,201702,162,53,"DD-20",3,69323,1,101.2,,2,,,,976,,,,,1,,,"","DD-20"
3159387,-17397,201702,162,54,"DD-19",3,69323,1,99.9,,2,,,,822,,,,,1,,,"","DD-19"
3159424,-17455,201702,162,51,"BB-20",3,69323,1,105.4,,2,,,,934,,,,,1,,,"","BB-20"
3159425,-17455,201702,162,51,"BB-20",3,69323,1,96.3,,2,,,,704,,,,,1,,,"","BB-20"
3159426,-17455,201702,162,51,"BB-20",3,69323,1,96.1,,2,,,,718,,,,,1,,,"","BB-20"
3159427,-17455,201702,162,51,"BB-20",3,69323,1,120.9,,2,,,,1410,,,,,1,,,"","BB-20"
3159428,-17455,201702,162,51,"BB-20",3,69323,1,93.1,,2,,,,610,,,,,1,,,"","BB-20"
3159429,-17455,201702,162,51,"BB-20",3,69323,1,121.8,,2,,,,1744,,,,,1,,,"","BB-20"
3159430,-17455,201702,162,51,"BB-20",3,69323,1,108.7,,3,,,,1052,,,,,1,,,"","BB-20"
3159431,-17455,201702,162,51,"BB-20",3,69323,1,90.5,,2,,,,572,,,,,1,,,"","BB-20"
3159432,-17455,201702,162,51,"BB-20",3,69323,1,129.5,,2,,,,1906,,,,,1,,,"","BB-20"
3159436,-17455,201702,162,51,"BB-20",3,69323,1,93.7,,2,,,,666,,,,,1,,,"","BB-20"
3159437,-17455,201702,162,51,"BB-20",3,69323,1,112,,3,,,,1362,,,,,1,,,"","BB-20"
3159438,-17455,201702,162,51,"BB-20",3,69323,1,112.4,,2,,,,1320,,,,,1,,,"","BB-20"
3159439,-17455,201702,162,51,"BB-20",3,69323,1,109.8,,2,,,,998,,,,,1,,,"","BB-20"
3159443,-17455,201702,162,51,"BB-20",3,69323,1,125.5,,3,,,,1818,,,,,1,,,"","BB-20"
3159444,-17455,201702,162,51,"BB-20",3,69323,1,85,,2,,,,510,,,,,1,,,"","BB-20"
3159445,-17455,201702,162,51,"BB-20",3,69323,1,108.4,,2,,,,1212,,,,,1,,,"","BB-20"
3159446,-17455,201702,162,51,"BB-20",3,69323,1,99.8,,2,,,,810,,,,,1,,,"","BB-20"
3159447,-17455,201702,162,51,"BB-20",3,69323,1,92.5,,2,,,,614,,,,,1,,,"","BB-20"
3159448,-17455,201702,162,51,"BB-20",3,69323,1,111,,2,,,,1014,,,,,1,,,"","BB-20"
3159449,-17455,201702,162,51,"BB-20",3,69323,1,148.5,,2,,,,2708,,,,,1,,,"","BB-20"
3159698,-17384,201702,162,46,"AA-22",3,69323,1,80,,2,,,,408,,,,,1,,,"","AA-22"
3159701,-17385,201702,162,47,"BB-22",3,69323,1,45.7,,2,,,,64,,,,,1,,,"","BB-22"
3159702,-17385,201702,162,47,"BB-22",3,69323,1,71.4,,2,,,,248,,,,,1,,,"","BB-22"
3159703,-17385,201702,162,47,"BB-22",3,69323,1,81.4,,2,,,,408,,,,,1,,,"","BB-22"
3159704,-17385,201702,162,47,"BB-22",3,69323,1,87.2,,2,,,,538,,,,,1,,,"","BB-22"
