"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.length","log.weight","Cooks_D","SC"
"1",3153696,-17413,201702,162,63,"EE-01",3,69323,1,121.4,NA,2,NA,NA,NA,1608,NA,NA,NA,NA,1,NA,NA,NA,"EE-01","2017",4.7990908786254,7.38274644973891,0.0100733206137433,"NS"
"2",3153455,-17233,201702,162,16,"Y-18",3,69323,1,112.4,NA,2,NA,NA,NA,1104,NA,NA,NA,NA,1,NA,NA,NA,"Y-18","2017",4.72206393745959,7.00669522683704,0.00126392838656087,"NS"
"3",3159260,-17386,201702,162,48,"BB-21",3,69323,1,95.2,NA,2,NA,NA,NA,742,NA,NA,NA,NA,1,NA,NA,NA,"BB-21","2017",4.55597994179732,6.60934924316738,0.00420568344188839,"NS"
"4",3159261,-17386,201702,162,48,"BB-21",3,69323,1,125,NA,2,NA,NA,NA,1458,NA,NA,NA,NA,1,NA,NA,NA,"BB-21","2017",4.8283137373023,7.2848209125686,0.0120056800270316,"NS"
"5",3159262,-17386,201702,162,48,"BB-21",3,69323,1,101.1,NA,2,NA,NA,NA,858,NA,NA,NA,NA,1,NA,NA,NA,"BB-21","2017",4.61611012602643,6.75460409948796,0.00125115593110048,"NS"
"6",3158780,-17379,201702,162,41,"Y-24",3,69323,1,101,NA,2,NA,NA,NA,714,NA,NA,NA,NA,1,NA,NA,NA,"Y-24","2017",4.61512051684126,6.57088296233958,0.0108677017807684,"NS"
"7",3159356,-17396,201702,162,53,"DD-20",3,69323,1,80.9,NA,2,NA,NA,NA,400,NA,NA,NA,NA,1,NA,NA,NA,"DD-20","2017",4.39321382406445,5.99146454710798,5.27707388284807e-05,"NS"
"8",3159357,-17396,201702,162,53,"DD-20",3,69323,1,84,NA,2,NA,NA,NA,464,NA,NA,NA,NA,1,NA,NA,NA,"DD-20","2017",4.43081679884331,6.13988455222626,0.000153636996778529,"NS"
"9",3159358,-17396,201702,162,53,"DD-20",3,69323,1,80.7,NA,2,NA,NA,NA,412,NA,NA,NA,NA,1,NA,NA,NA,"DD-20","2017",4.3907385752759,6.02102334934953,0.000333786208638196,"NS"
"10",3159359,-17396,201702,162,53,"DD-20",3,69323,1,101.2,NA,2,NA,NA,NA,976,NA,NA,NA,NA,1,NA,NA,NA,"DD-20","2017",4.61709875685337,6.88346258641309,0.0176616157546813,"NS"
"11",3159387,-17397,201702,162,54,"DD-19",3,69323,1,99.9,NA,2,NA,NA,NA,822,NA,NA,NA,NA,1,NA,NA,NA,"DD-19","2017",4.60416968565451,6.71174039505618,0.000956269811468308,"NS"
"12",3159424,-17455,201702,162,51,"BB-20",3,69323,1,105.4,NA,2,NA,NA,NA,934,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2017",4.65776263610726,6.83947643822884,1.56592801502596e-06,"NS"
"13",3159425,-17455,201702,162,51,"BB-20",3,69323,1,96.3,NA,2,NA,NA,NA,704,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2017",4.56746831880408,6.55677835615804,2.3196719030763e-06,"NS"
"14",3159426,-17455,201702,162,51,"BB-20",3,69323,1,96.1,NA,2,NA,NA,NA,718,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2017",4.56538931597625,6.57646956904822,0.000417890297476152,"NS"
"15",3159427,-17455,201702,162,51,"BB-20",3,69323,1,120.9,NA,2,NA,NA,NA,1410,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2017",4.79496375762075,7.25134498337221,0.00069042254695795,"NS"
"16",3159428,-17455,201702,162,51,"BB-20",3,69323,1,93.1,NA,2,NA,NA,NA,610,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2017",4.53367418428302,6.41345895716736,0.000560010750841239,"NS"
