"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.width","log.weight","Cooks_D","SC"
"1",3153514,-17431,201702,162,76,"Y-01",7,68580,1,NA,28.4,2,NA,NA,NA,8,NA,NA,NA,NA,1,4.1,NA,"","Y-01","2017",3.34638914516716,2.07944154167984,0.000452716485042212,"NS"
"2",3153515,-17431,201702,162,76,"Y-01",7,68580,1,NA,29.5,2,NA,NA,NA,8,NA,NA,NA,NA,1,4.1,NA,"","Y-01","2017",3.38439026334577,2.07944154167984,0.0021943651140877,"NS"
"3",3153516,-17431,201702,162,76,"Y-01",7,68580,1,NA,35.8,2,NA,NA,NA,16,NA,NA,NA,NA,1,5,NA,"","Y-01","2017",3.57794789340665,2.77258872223978,0.000241303156172595,"NS"
"4",3153517,-17431,201702,162,76,"Y-01",7,68580,1,NA,37.8,2,NA,NA,NA,20,NA,NA,NA,NA,1,5.7,NA,"","Y-01","2017",3.63230910262554,2.99573227355399,2.76270996595703e-05,"NS"
"5",3153518,-17431,201702,162,76,"Y-01",7,68580,1,NA,36.1,2,NA,NA,NA,18,NA,NA,NA,NA,1,5.8,NA,"","Y-01","2017",3.58629286533884,2.89037175789616,4.26799318620918e-09,"NS"
"6",3153567,-17413,201702,162,63,"EE-01",7,68580,1,NA,52.3,2,NA,NA,NA,52,NA,NA,NA,NA,1,8.5,NA,"","EE-01","2017",3.95699637107088,3.95124371858143,9.49837535961778e-05,"NS"
"7",3153568,-17413,201702,162,63,"EE-01",7,68580,1,NA,32.2,2,NA,NA,NA,14,NA,NA,NA,NA,1,5.1,NA,"","EE-01","2017",3.47196645255036,2.63905732961526,0.000357960703666388,"NS"
"8",3153569,-17413,201702,162,63,"EE-01",7,68580,1,NA,32.3,2,NA,NA,NA,12,NA,NA,NA,NA,1,4.6,NA,"","EE-01","2017",3.47506723022861,2.484906649788,0.000192272244527906,"NS"
"9",3153570,-17413,201702,162,63,"EE-01",7,68580,1,NA,64.5,2,NA,NA,NA,110,NA,NA,NA,NA,1,13.6,NA,"","EE-01","2017",4.16666522380173,4.70048036579242,0.000152855077537481,"NS"
"10",3153901,-17352,201702,162,28,"V-20",7,68580,1,NA,30.8,2,NA,NA,NA,12,NA,NA,NA,NA,22.31748,NA,NA,"","V-20","2017",3.42751468997953,2.484906649788,0.000261479212108417,"NS"
"11",3153902,-17352,201702,162,28,"V-20",7,68580,1,NA,40.8,2,NA,NA,NA,26,NA,NA,NA,NA,22.31748,NA,NA,"","V-20","2017",3.70868208141012,3.25809653802148,1.68498751716557e-07,"NS"
"12",3153903,-17352,201702,162,28,"V-20",7,68580,1,NA,26.7,2,NA,NA,NA,8,NA,NA,NA,NA,22.31748,NA,NA,"","V-20","2017",3.2846635654062,2.07944154167984,0.000768271299976818,"NS"
"13",3153904,-17352,201702,162,28,"V-20",7,68580,1,NA,42.6,2,NA,NA,NA,36,NA,NA,NA,NA,22.31748,NA,NA,"","V-20","2017",3.75185425327532,3.58351893845611,0.000687940162900737,"NS"
"14",3153905,-17352,201702,162,28,"V-20",7,68580,1,NA,55,2,NA,NA,NA,64,NA,NA,NA,NA,22.31748,NA,NA,"","V-20","2017",4.00733318523247,4.15888308335967,9.53856814515767e-07,"NS"
"15",3153976,-17234,201702,162,17,"X-18",7,68580,1,NA,72.4,2,NA,NA,NA,134,NA,NA,NA,NA,1,12.7,NA,"","X-18","2017",4.28220629939167,4.89783979995091,0.000733568184327771,"NS"
"16",3153977,-17234,201702,162,17,"X-18",7,68580,1,NA,71.1,2,NA,NA,NA,136,NA,NA,NA,NA,1,13.1,NA,"","X-18","2017",4.26408733680919,4.91265488573605,5.87954180255994e-05,"NS"
"17",3153978,-17234,201702,162,17,"X-18",7,68580,1,NA,73.8,2,NA,NA,NA,176,NA,NA,NA,NA,1,16.4,NA,"","X-18","2017",4.30135873160643,5.17048399503815,0.00109299581870866,"NS"
"19",3154158,-17349,201702,162,26,"V-19",7,68580,1,NA,39.1,2,NA,NA,NA,26,NA,NA,NA,NA,5.37304,6.9,NA,"","V-19","2017",3.66612246699132,3.25809653802148,0.0003406529022486,"NS"
"20",3154159,-17349,201702,162,26,"V-19",7,68580,1,NA,34.5,2,NA,NA,NA,18,NA,NA,NA,NA,5.37304,5.7,NA,"","V-19","2017",3.54095932403731,2.89037175789616,0.000592692570461102,"NS"
"21",3154160,-17349,201702,162,26,"V-19",7,68580,1,NA,33,2,NA,NA,NA,14,NA,NA,NA,NA,5.37304,4.8,NA,"","V-19","2017",3.49650756146648,2.63905732961526,1.46820801894989e-05,"NS"
"22",3154161,-17349,201702,162,26,"V-19",7,68580,1,NA,34.4,2,NA,NA,NA,16,NA,NA,NA,NA,5.37304,5.5,NA,"","V-19","2017",3.53805656437935,2.77258872223978,2.46473642293738e-05,"NS"
"23",3154183,-17325,201702,162,22,"X-19",7,68580,1,NA,33,2,NA,NA,NA,14,NA,NA,NA,NA,17.15497,5,NA,"","X-19","2017",3.49650756146648,2.63905732961526,1.46820801894989e-05,"NS"
"24",3155288,-17353,201702,162,29,"W-20",7,68580,1,NA,28.5,2,NA,NA,NA,10,NA,NA,NA,NA,4.225,4.4,NA,"","W-20","2017",3.3499040872746,2.30258509299405,0.000985162668371063,"NS"
"25",3155289,-17353,201702,162,29,"W-20",7,68580,1,NA,29.2,2,NA,NA,NA,10,NA,NA,NA,NA,4.225,4.3,NA,"","W-20","2017",3.37416870927424,2.30258509299405,0.000161831463867977,"NS"
"26",3155290,-17353,201702,162,29,"W-20",7,68580,1,NA,55,2,NA,NA,NA,60,NA,NA,NA,NA,4.225,8.3,NA,"","W-20","2017",4.00733318523247,4.0943445622221,0.000148503042704659,"NS"
