"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.width","log.weight","Cooks_D","SC"
"1",3153692,-17381,201702,162,43,"Y-23",7,68580,2,NA,51.5,2,4,1,5,46,NA,NA,NA,NA,1,NA,NA,NA,"Y-23","2017",3.94158180766969,3.8286413964891,0.000184806727727296,"NS"
"2",3153693,-17381,201702,162,43,"Y-23",7,68580,2,NA,57.8,2,4,1,5,69,NA,NA,NA,NA,1,NA,NA,NA,"Y-23","2017",4.05698877567833,4.23410650459726,0.00039480192594233,"NS"
"5",3153711,-17381,201702,162,43,"Y-23",7,68580,2,NA,48.2,2,4,1,5,36,NA,NA,NA,NA,1,NA,NA,NA,"Y-23","2017",3.87535902105655,3.58351893845611,0.00119873377882584,"NS"
"6",3153712,-17381,201702,162,43,"Y-23",7,68580,2,NA,53.8,2,4,1,5,52,NA,NA,NA,NA,1,NA,NA,NA,"Y-23","2017",3.98527346716774,3.95124371858143,0.000272742262503832,"NS"
"7",3153713,-17381,201702,162,43,"Y-23",7,68580,2,NA,54.7,2,4,1,5,58,NA,NA,NA,NA,1,NA,NA,NA,"Y-23","2017",4.00186370942794,4.06044301054642,8.36092918787721e-05,"NS"
"22",3154602,-17349,201702,162,26,"V-19",7,68580,2,NA,47.8,2,4,1,5,42,NA,NA,NA,NA,1,NA,NA,NA,"V-19","2017",3.86702563949741,3.73766961828337,0.00107148890758742,"NS"
"23",3154603,-17349,201702,162,26,"V-19",7,68580,2,NA,53.1,2,4,1,5,50,NA,NA,NA,NA,1,NA,NA,NA,"V-19","2017",3.97217692824789,3.91202300542815,0.000269631186856406,"NS"
"27",3153980,-17234,201702,162,17,"X-18",7,68580,2,NA,68.2,2,4,1,6,114,NA,NA,NA,NA,1,NA,NA,NA,"X-18","2017",4.22244456484942,4.7361984483945,0.00386080552603022,"NS"
"28",3153981,-17234,201702,162,17,"X-18",7,68580,2,NA,70.5,2,4,1,5,122,NA,NA,NA,NA,1,NA,NA,NA,"X-18","2017",4.25561270981822,4.80402104473326,0.00149541969087457,"NS"
"29",3153982,-17234,201702,162,17,"X-18",7,68580,2,NA,66.7,2,4,1,4,110,NA,NA,NA,NA,1,NA,NA,NA,"X-18","2017",4.20020495292158,4.70048036579242,0.00705120703004281,"NS"
