"CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION"
3153514,-17431,201702,162,76,"Y-01",7,68580,1,,28.4,2,,,,8,,,,,1,4.1,,"","Y-01"
3153515,-17431,201702,162,76,"Y-01",7,68580,1,,29.5,2,,,,8,,,,,1,4.1,,"","Y-01"
3153516,-17431,201702,162,76,"Y-01",7,68580,1,,35.8,2,,,,16,,,,,1,5,,"","Y-01"
3153517,-17431,201702,162,76,"Y-01",7,68580,1,,37.8,2,,,,20,,,,,1,5.7,,"","Y-01"
3153518,-17431,201702,162,76,"Y-01",7,68580,1,,36.1,2,,,,18,,,,,1,5.8,,"","Y-01"
3153567,-17413,201702,162,63,"EE-01",7,68580,1,,52.3,2,,,,52,,,,,1,8.5,,"","EE-01"
3153568,-17413,201702,162,63,"EE-01",7,68580,1,,32.2,2,,,,14,,,,,1,5.1,,"","EE-01"
3153569,-17413,201702,162,63,"EE-01",7,68580,1,,32.3,2,,,,12,,,,,1,4.6,,"","EE-01"
3153570,-17413,201702,162,63,"EE-01",7,68580,1,,64.5,2,,,,110,,,,,1,13.6,,"","EE-01"
3153901,-17352,201702,162,28,"V-20",7,68580,1,,30.8,2,,,,12,,,,,22.31748,,,"","V-20"
3153902,-17352,201702,162,28,"V-20",7,68580,1,,40.8,2,,,,26,,,,,22.31748,,,"","V-20"
3153903,-17352,201702,162,28,"V-20",7,68580,1,,26.7,2,,,,8,,,,,22.31748,,,"","V-20"
3153904,-17352,201702,162,28,"V-20",7,68580,1,,42.6,2,,,,36,,,,,22.31748,,,"","V-20"
3153905,-17352,201702,162,28,"V-20",7,68580,1,,55,2,,,,64,,,,,22.31748,,,"","V-20"
3153976,-17234,201702,162,17,"X-18",7,68580,1,,72.4,2,,,,134,,,,,1,12.7,,"","X-18"
3153977,-17234,201702,162,17,"X-18",7,68580,1,,71.1,2,,,,136,,,,,1,13.1,,"","X-18"
3153978,-17234,201702,162,17,"X-18",7,68580,1,,73.8,2,,,,176,,,,,1,16.4,,"","X-18"
3154157,-17349,201702,162,26,"V-19",7,68580,1,,29.3,2,,,,12,,,,,5.37304,,,"","V-19"
3154158,-17349,201702,162,26,"V-19",7,68580,1,,39.1,2,,,,26,,,,,5.37304,6.9,,"","V-19"
3154159,-17349,201702,162,26,"V-19",7,68580,1,,34.5,2,,,,18,,,,,5.37304,5.7,,"","V-19"
3154160,-17349,201702,162,26,"V-19",7,68580,1,,33,2,,,,14,,,,,5.37304,4.8,,"","V-19"
3154161,-17349,201702,162,26,"V-19",7,68580,1,,34.4,2,,,,16,,,,,5.37304,5.5,,"","V-19"
3154183,-17325,201702,162,22,"X-19",7,68580,1,,33,2,,,,14,,,,,17.15497,5,,"","X-19"
3155288,-17353,201702,162,29,"W-20",7,68580,1,,28.5,2,,,,10,,,,,4.225,4.4,,"","W-20"
3155289,-17353,201702,162,29,"W-20",7,68580,1,,29.2,2,,,,10,,,,,4.225,4.3,,"","W-20"
3155290,-17353,201702,162,29,"W-20",7,68580,1,,55,2,,,,60,,,,,4.225,8.3,,"","W-20"
3155338,-17363,201702,162,33,"Y-22",7,68580,1,,33.7,2,,,,18,,,,,1,,,"","Y-22"
3155339,-17363,201702,162,33,"Y-22",7,68580,1,,41,2,,,,26,,,,,1,,,"","Y-22"
3155340,-17363,201702,162,33,"Y-22",7,68580,1,,30.6,2,,,,10,,,,,1,,,"","Y-22"
3155341,-17363,201702,162,33,"Y-22",7,68580,1,,44.8,2,,,,34,,,,,1,,,"","Y-22"
3155342,-17363,201702,162,33,"Y-22",7,68580,1,,45.4,2,,,,34,,,,,1,,,"","Y-22"
