"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.length","log.weight","Cooks_D","SC"
"1",3153543,-17410,201702,162,60,"EE-02",2,69322,1,33.8,NA,2,NA,NA,NA,26,NA,NA,NA,NA,1,NA,NA,NA,"EE-02","2017",3.52046080248897,3.25809653802148,0.000476344788949542,"NS"
"2",3153544,-17410,201702,162,60,"EE-02",2,69322,1,34.7,NA,2,NA,NA,NA,26,NA,NA,NA,NA,1,NA,NA,NA,"EE-02","2017",3.54673968695281,3.25809653802148,0.00912824217463504,"NS"
"3",3156530,-17411,201702,162,61,"FF-02",2,69322,1,53.3,NA,2,NA,NA,NA,104,NA,NA,NA,NA,1,NA,NA,NA,"FF-02","2017",3.9759363311718,4.64439089914137,0.000609572325680561,"NS"
"4",3163695,-17429,201702,162,74,"AA-02",2,69322,1,142.3,NA,2,NA,NA,NA,2308,NA,NA,NA,NA,1,NA,NA,NA,"AA-02","2017",4.95793750509581,7.74413662762799,0.000508788860512397,"NS"
"5",3164272,-17088,201702,162,11,"S-20",2,69322,1,124.6,NA,2,NA,NA,NA,1626,NA,NA,NA,NA,1,38.4,NA,NA,"S-20","2017",4.82510860635335,7.39387829010776,0.00459317389072547,"NS"
"6",3166504,-17402,201702,94,48,"BB-05",2,69322,1,94.7,NA,2,NA,NA,NA,522,NA,NA,NA,NA,1,28.3,NA,NA,"BB-05","2017",4.55071400019203,6.25766758788264,0.0147064915793844,"NS"
"7",3166505,-17402,201702,94,48,"BB-05",2,69322,1,72,NA,2,NA,NA,NA,292,NA,NA,NA,NA,1,26,NA,NA,"BB-05","2017",4.27666611901606,5.67675380226828,0.000876278025002858,"NS"
"8",3166541,-17403,201702,94,49,"BB-04",2,69322,1,92.3,NA,2,NA,NA,NA,560,NA,NA,NA,NA,1,23.2,NA,NA,"BB-04","2017",4.52504414150881,6.32793678372919,0.00101563417414622,"NS"
"9",3166542,-17403,201702,94,49,"BB-04",2,69322,1,69.7,NA,2,NA,NA,NA,254,NA,NA,NA,NA,1,19.2,NA,NA,"BB-04","2017",4.24420031776648,5.53733426701854,0.000108233763663667,"NS"
"10",3166543,-17403,201702,94,49,"BB-04",2,69322,1,79.3,NA,2,NA,NA,NA,440,NA,NA,NA,NA,1,24.8,NA,NA,"BB-04","2017",4.3732381286408,6.08677472691231,0.00766053738753393,"NS"
"11",3166544,-17403,201702,94,49,"BB-04",2,69322,1,88.1,NA,2,NA,NA,NA,506,NA,NA,NA,NA,1,27.5,NA,NA,"BB-04","2017",4.47847253294213,6.22653666928747,5.02816232005797e-05,"NS"
"12",3167177,-17405,201702,94,51,"BB-03",2,69322,1,118.6,NA,2,NA,NA,NA,1096,NA,NA,NA,NA,1,29.6,NA,NA,"BB-03","2017",4.77575648656363,6.99942246750796,0.014484636919088,"NS"
"13",3167178,-17405,201702,94,51,"BB-03",2,69322,1,112.9,NA,2,NA,NA,NA,1112,NA,NA,NA,NA,1,35,NA,NA,"BB-03","2017",4.72650247115562,7.01391547481053,3.88588546132457e-05,"NS"
"14",3167179,-17405,201702,94,51,"BB-03",2,69322,1,126.4,NA,2,NA,NA,NA,1350,NA,NA,NA,NA,1,43.9,NA,NA,"BB-03","2017",4.83945148171276,7.20785987143248,0.0143099342410562,"NS"
"16",3167218,-17403,201702,94,49,"BB-04",2,69322,1,133.1,NA,2,NA,NA,NA,1832,NA,NA,NA,NA,1,43.8,NA,NA,"BB-04","2017",4.89110072540107,7.51316354523408,8.85434955926037e-08,"NS"
"17",3166277,-17377,201702,94,30,"AA-07",2,69322,1,54.3,NA,2,NA,NA,NA,132,NA,NA,NA,NA,1,14.1,NA,NA,"AA-07","2017",3.99452422693989,4.88280192258637,0.00594741038016329,"NS"
