"CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION"
3160583,-17410,201702,162,60,"EE-02",2,69322,2,26.6,,2,0,0,0,12,,,,,1,,,"","EE-02"
3160584,-17410,201702,162,60,"EE-02",2,69322,2,45,,2,0,0,0,50,,,,,1,,,"","EE-02"
3160585,-17410,201702,162,60,"EE-02",2,69322,2,35.1,,2,0,0,0,26,,,,,1,,,"","EE-02"
3160586,-17410,201702,162,60,"EE-02",2,69322,2,34.5,,2,0,0,0,26,,,,,1,,,"","EE-02"
3160587,-17410,201702,162,60,"EE-02",2,69322,2,39.4,,2,0,0,0,36,,,,,1,,,"","EE-02"
3168959,-17079,201702,94,14,"R-19",2,69322,2,104.9,,2,5,1,6,714,,,,,1,,,"","R-19"
3166426,-17389,201702,94,33,"BB-09",2,69322,2,27.6,,2,0,0,0,12,,,,,1,,,"","BB-09"
3166427,-17389,201702,94,33,"BB-09",2,69322,2,27.9,,2,0,0,0,12,,,,,1,,,"","BB-09"
3166437,-17389,201702,94,33,"BB-09",2,69322,2,98.1,,2,2,1,6,592,,,,,1,,,"","BB-09"
3166444,-17391,201702,94,35,"AA-10",2,69322,2,108.4,,2,2,1,6,856,,,,,1,,,"","AA-10"
3166450,-17447,201702,94,38,"CC-09",2,69322,2,26.8,,2,0,0,0,10,,,,,1,,,"","CC-09"
3166451,-17447,201702,94,38,"CC-09",2,69322,2,24.9,,2,0,0,0,9,,,,,1,,,"","CC-09"
3166469,-17392,201702,94,40,"CC-07",2,69322,2,77.6,,2,2,1,5,350,,,,,1,,,"","CC-07"
3166470,-17392,201702,94,40,"CC-07",2,69322,2,25.1,,2,0,0,0,10,,,,,1,,,"","CC-07"
3166472,-17394,201702,94,42,"BB-06",2,69322,2,102.6,,2,2,1,6,684,,,,,1,,,"","BB-06"
3166482,-17388,201702,94,32,"BB-08",2,69322,2,26.2,,2,0,0,0,12,,,,,1,,,"","BB-08"
3166483,-17388,201702,94,32,"BB-08",2,69322,2,32.9,,2,0,0,0,18,,,,,1,,,"","BB-08"
3166484,-17388,201702,94,32,"BB-08",2,69322,2,31.6,,2,0,0,0,22,,,,,1,,,"","BB-08"
3166485,-17388,201702,94,32,"BB-08",2,69322,2,28.7,,2,0,0,0,12,,,,,1,,,"","BB-08"
3166486,-17388,201702,94,32,"BB-08",2,69322,2,25.9,,2,0,0,0,14,,,,,1,,,"","BB-08"
3166487,-17388,201702,94,32,"BB-08",2,69322,2,27.5,,2,0,0,0,14,,,,,1,,,"","BB-08"
3166492,-17389,201702,94,33,"BB-09",2,69322,2,27.1,,2,0,0,0,12,,,,,1,,,"","BB-09"
3166493,-17389,201702,94,33,"BB-09",2,69322,2,25.4,,2,0,0,0,10,,,,,1,,,"","BB-09"
3342889,-19579,201902,162,14,"DD-02",2,69322,2,59.4,,2,0,0,0,154,,,,,1,,,"","DD-02"
3352411,-19783,201902,94,49,"AA-04",2,69322,2,65.2,,2,0,0,0,202,,,,,1,,,"","AA-04"
3352412,-19783,201902,94,49,"AA-04",2,69322,2,74.7,,2,0,0,0,274,,,,,1,,,"","AA-04"
3352432,-19574,201902,94,14,"CC-06",2,69322,2,73.4,,2,2,1,3,272,,,,,1,,,"","CC-06"
