"CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION"
3153543,-17410,201702,162,60,"EE-02",2,69322,1,33.8,,2,,,,26,,,,,1,,,"","EE-02"
3153544,-17410,201702,162,60,"EE-02",2,69322,1,34.7,,2,,,,26,,,,,1,,,"","EE-02"
3156530,-17411,201702,162,61,"FF-02",2,69322,1,53.3,,2,,,,104,,,,,1,,,"","FF-02"
3163695,-17429,201702,162,74,"AA-02",2,69322,1,142.3,,2,,,,2308,,,,,1,,,"","AA-02"
3164272,-17088,201702,162,11,"S-20",2,69322,1,124.6,,2,,,,1626,,,,,1,38.4,,"","S-20"
3166504,-17402,201702,94,48,"BB-05",2,69322,1,94.7,,2,,,,522,,,,,1,28.3,,"","BB-05"
3166505,-17402,201702,94,48,"BB-05",2,69322,1,72,,2,,,,292,,,,,1,26,,"","BB-05"
3166541,-17403,201702,94,49,"BB-04",2,69322,1,92.3,,2,,,,560,,,,,1,23.2,,"","BB-04"
3166542,-17403,201702,94,49,"BB-04",2,69322,1,69.7,,2,,,,254,,,,,1,19.2,,"","BB-04"
3166543,-17403,201702,94,49,"BB-04",2,69322,1,79.3,,2,,,,440,,,,,1,24.8,,"","BB-04"
3166544,-17403,201702,94,49,"BB-04",2,69322,1,88.1,,2,,,,506,,,,,1,27.5,,"","BB-04"
3167177,-17405,201702,94,51,"BB-03",2,69322,1,118.6,,2,,,,1096,,,,,1,29.6,,"","BB-03"
3167178,-17405,201702,94,51,"BB-03",2,69322,1,112.9,,2,,,,1112,,,,,1,35,,"","BB-03"
3167179,-17405,201702,94,51,"BB-03",2,69322,1,126.4,,2,,,,1350,,,,,1,43.9,,"","BB-03"
3167180,-17405,201702,94,51,"BB-03",2,69322,1,116.9,,3,,,,1228,,,,,1,40.9,,"","BB-03"
3167218,-17403,201702,94,49,"BB-04",2,69322,1,133.1,,2,,,,1832,,,,,1,43.8,,"","BB-04"
3166277,-17377,201702,94,30,"AA-07",2,69322,1,54.3,,2,,,,132,,,,,1,14.1,,"","AA-07"
3166280,-17388,201702,94,32,"BB-08",2,69322,1,25.7,,2,,,,10,,,,,1,6.9,,"","BB-08"
3166281,-17388,201702,94,32,"BB-08",2,69322,1,26.8,,2,,,,14,,,,,1,8.5,,"","BB-08"
3166282,-17388,201702,94,32,"BB-08",2,69322,1,31.6,,2,,,,20,,,,,1,8.3,,"","BB-08"
3166404,-17449,201702,94,44,"DD-03",2,69322,1,20.4,,2,,,,6,,,,,1,5.7,,"","DD-03"
3166418,-17450,201702,94,45,"CC-03",2,69322,1,92.8,,3,,,,668,,,,,1,31.7,,"","CC-03"
3166419,-17450,201702,94,45,"CC-03",2,69322,1,104.9,,3,,,,1192,,,,,1,34.6,,"","CC-03"
3166420,-17450,201702,94,45,"CC-03",2,69322,1,122.2,,3,,,,1732,,,,,1,41.7,,"","CC-03"
3166421,-17450,201702,94,45,"CC-03",2,69322,1,72.3,,3,,,,288,,,,,1,22.4,,"","CC-03"
3166434,-17389,201702,94,33,"BB-09",2,69322,1,31.8,,2,,,,20,,,,,1,8.4,,"","BB-09"
3166435,-17389,201702,94,33,"BB-09",2,69322,1,29.4,,2,,,,14,,,,,1,8,,"","BB-09"
3166436,-17389,201702,94,33,"BB-09",2,69322,1,30.6,,2,,,,20,,,,,1,9,,"","BB-09"
3166445,-17447,201702,94,38,"CC-09",2,69322,1,25.2,,2,,,,10,,,,,1,7.2,,"","CC-09"
