HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,CHELA_HEIGHT,COMMENTS
-4036,200801,88,6,K-13,69322,2,15.1,,2,0,0,0,6,,
-7572,201101,162,8,J-14,69322,2,16.3,,2,0,0,0,2,,
1010892,200001,88,2,I-16,69322,2,18,,2,0,0,0,6,,
1063182,200101,88,17,E-10,69322,1,23,,2,,,,8,,
1063182,200101,88,17,E-10,69322,1,26,,2,,,,12,,
1063182,200101,88,17,E-10,69322,2,28,,2,0,0,0,12,,
1063182,200101,88,17,E-10,69322,1,28,,2,,,,18,,
1063182,200101,88,17,E-10,69322,2,34,,2,0,0,0,24,,
-9275,201201,162,221,H-14,69322,1,34,,2,,,,32,,
1010892,200001,88,2,I-16,69322,2,42,,2,0,0,0,48,,
-18756,201901,162,4,J-16,69322,2,42.2,,2,0,0,0,54,,
-7495,201101,89,3,G-15,69322,1,42.6,,2,,,,52,,
-7497,201101,89,5,I-15,69322,1,45,,2,,,,62,,
-7495,201101,89,3,G-15,69322,2,45.2,,2,0,0,0,63,,
-18756,201901,162,4,J-16,69322,1,45.7,,2,,,,70,,
-6390,201001,89,31,G-08,69322,2,46,,2,0,0,0,136,,
-18758,201901,162,6,J-14,69322,1,47.9,,2,,,,94,,
1010893,200001,88,3,J-16,69322,2,48,,2,0,0,0,72,,
-11686,200601,88,198,J-13,69322,1,49.6,,2,,,,88,13.3,
-2881,200701,88,23,F-14,69322,1,50,,2,,,,102,16.5,
-18756,201901,162,4,J-16,69322,1,50.5,,2,,,,90,,
-7495,201101,89,3,G-15,69322,1,51,,2,,,,82,,
-13921,201501,162,5,J-16,69322,2,51,,2,0,0,0,90,,
-7495,201101,89,3,G-15,69322,2,51.2,,2,0,0,0,88,,
-18758,201901,162,6,J-14,69322,1,52,,2,,,,86,,
-7496,201101,89,4,H-15,69322,2,52,,2,0,0,0,90,,
-7495,201101,89,3,G-15,69322,2,52.4,,2,0,0,0,96,,
-18758,201901,162,6,J-14,69322,1,52.7,,2,,,,126,,
-18758,201901,162,6,J-14,69322,2,52.9,,2,0,0,0,106,,
-18759,201901,162,7,I-14,69322,2,53.5,,2,0,0,0,108,,
-7495,201101,89,3,G-15,69322,2,53.5,,2,0,0,0,110,,
-6364,201001,89,5,J-15,69322,1,54.1,,2,,,,106,,
