SURVEY_YEAR,CRUISE,MALE_WEIGHTED_GEAR_TEMP,a_base,aT,aT_OS,a_OS,b,bmat,bOS,bmat_OS,a_NS,a_OS,bNS_immat,bOS_imm,bNS_mat,bOS_mat
1975,197502,0.858063444,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.411105615,-3.418764131,2.99049,3.01473,3.01858,3.02948
1976,197601,0.087527829,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.412384704,-3.420089452,2.99049,3.01473,3.01858,3.02948
1976,197602,0.765529728,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.411259221,-3.418923289,2.99049,3.01473,3.01858,3.02948
1977,197703,1.51214955,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.410019832,-3.417639103,2.99049,3.01473,3.01858,3.02948
1978,197801,1.614481102,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.409849961,-3.417463093,2.99049,3.01473,3.01858,3.02948
1978,197802,3.081748841,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.407414297,-3.414939392,2.99049,3.01473,3.01858,3.02948
1979,197901,2.539137869,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.408315031,-3.415872683,2.99049,3.01473,3.01858,3.02948
1979,197902,4.208831016,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.405543341,-3.413000811,2.99049,3.01473,3.01858,3.02948
1980,198001,0.617402987,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.411505111,-3.419178067,2.99049,3.01473,3.01858,3.02948
1980,198002,2.790425435,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.407897894,-3.415440468,2.99049,3.01473,3.01858,3.02948
1981,198101,3.375464514,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.406926729,-3.414434201,2.99049,3.01473,3.01858,3.02948
1981,198103,1.842197608,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.409471952,-3.41707142,2.99049,3.01473,3.01858,3.02948
1982,198201,1.882754973,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.409404627,-3.417001661,2.99049,3.01473,3.01858,3.02948
