,ACCESS_ID,HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,CHELA_HEIGHT,COMMENTS,YEAR,log10.width,log10.weight,log.width,log.weight,Cooks_D,SC,Maturity
28,NA,-8960,201201,89,108,N-18,68580,1,NA,21.8,2,NA,NA,NA,4,NA,,2012,1.338456494,0.602059991,3.08190997,1.386294361,0.000415327,NS,#VALUE!
33,NA,-8959,201201,89,107,M-18,68580,1,NA,22.1,2,NA,NA,NA,4,2.9,,2012,1.344392274,0.602059991,3.095577609,1.386294361,4.82E-05,NS,Immature
43,NA,-14720,201501,94,166,R-25,68580,1,NA,22.7,2,NA,NA,NA,4,3.2,,2015,1.356025857,0.602059991,3.122364924,1.386294361,0.000343148,NS,Immature
79,NA,-8590,201201,162,114,Q-19,68580,1,NA,24.7,2,NA,NA,NA,6,NA,,2012,1.392696953,0.77815125,3.206803244,1.791759469,0.000606194,NS,#VALUE!
80,NA,-10201,201301,89,157,ON2524,68580,1,NA,24.7,2,NA,NA,NA,6,3.3,,2013,1.392696953,0.77815125,3.206803244,1.791759469,0.000606194,NS,Immature
83,3279,-3785,200701,89,183,S-26,68580,1,NA,24.8,2,NA,NA,NA,6,3.9,,2007,1.394451681,0.77815125,3.210843653,1.791759469,0.000440849,NS,Immature
85,NA,-9604,201202,162,17,CH30-D03,68580,1,NA,24.8,2,NA,NA,NA,6,NA,,2012,1.394451681,0.77815125,3.210843653,1.791759469,0.000440849,NS,#VALUE!
96,NA,-10201,201301,89,157,ON2524,68580,1,NA,25.2,2,NA,NA,NA,6,3.5,,2013,1.401400541,0.77815125,3.226843995,1.791759469,4.75E-05,NS,Immature
99,NA,-10083,201301,89,91,K-01,68580,1,NA,25.5,2,NA,NA,NA,6,3.8,,2013,1.40654018,0.77815125,3.238678452,1.791759469,1.07E-05,NS,Immature
100,NA,-8991,201201,89,149,R-24,68580,1,NA,25.6,2,NA,NA,NA,6,NA,,2012,1.408239965,0.77815125,3.242592351,1.791759469,4.34E-05,NS,#VALUE!
102,3221,-3775,200701,89,173,S-25,68580,1,NA,25.7,2,NA,NA,NA,6.5,3.7,,2007,1.409933123,0.812913357,3.246490992,1.871802177,0.000149205,NS,Immature
108,3275,-3783,200701,89,181,T-27,68580,1,NA,25.9,2,NA,NA,NA,6.5,3.9,,2007,1.413299764,0.812913357,3.254242969,1.871802177,3.15E-05,NS,Immature
110,NA,-9603,201202,162,16,CH30-D03,68580,1,NA,26,2,NA,NA,NA,6,3.8,,2012,1.414973348,0.77815125,3.258096538,1.791759469,0.000379731,NS,Immature
128,NA,-10152,201301,89,126,O-21,68580,1,NA,27.2,2,NA,NA,NA,8,3.9,,2013,1.434568904,0.903089987,3.303216973,2.079441542,0.000413453,NS,Immature
129,3272,-3782,200701,89,180,U-27,68580,1,NA,27.3,2,NA,NA,NA,8,4.2,,2007,1.436162647,0.903089987,3.306886702,2.079441542,0.000300195,NS,Immature
133,NA,-9610,201202,162,23,CH30-D01,68580,1,NA,27.4,2,NA,NA,NA,8,3.7,,2012,1.437750563,0.903089987,3.310543013,2.079441542,0.000205939,NS,Immature
134,NA,-9624,201202,162,37,CH30-I04,68580,1,NA,27.4,2,NA,NA,NA,8,NA,,2012,1.437750563,0.903089987,3.310543013,2.079441542,0.000205939,NS,#VALUE!
144,NA,-19425,201901,94,183,N-30,68580,1,NA,27.6,2,NA,NA,NA,8,3.7,,2019,1.440909082,0.903089987,3.317815773,2.079441542,7.21E-05,NS,Immature
146,NA,-9605,201202,162,18,CH30-D02,68580,1,NA,27.7,2,NA,NA,NA,8,4.2,,2012,1.442479769,0.903089987,3.321432413,2.079441542,3.15E-05,NS,Immature
147,NA,-8723,201201,162,167,O-23,68580,1,NA,27.8,2,NA,NA,NA,8,NA,,2012,1.444044796,0.903089987,3.325036021,2.079441542,7.62E-06,NS,#VALUE!
