SURVEY_YEAR,CRUISE,MALE_WEIGHTED_GEAR_TEMP,A_BASE,AT,AT_OS,AOS,B,BMAT,BOS,BMAT_OS,A_NS,A_OS,log10_A_NS,log10_A_OS,BNS_IMMAT,BOS_IMMAT,BNS_MAT,BOS_MAT
1988,198801,2.566873794,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.463924791,-3.65005696,0.000343617,0.000223843,2.95405,3.06986,2.97702,3.07612
1992,199201,1.983222426,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.465453957,-3.652047212,0.00034241,0.000222819,2.95405,3.06986,2.97702,3.07612
2001,200101,3.558796621,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.461325953,-3.646674504,0.00034568,0.000225593,2.95405,3.06986,2.97702,3.07612
2012,201201,0.25784316,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.469974451,-3.657930755,0.000338864,0.000219821,2.95405,3.06986,2.97702,3.07612
1986,198601,1.516192997,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.466677574,-3.653639782,0.000341446,0.000222004,2.95405,3.06986,2.97702,3.07612
1989,198901,2.67704631,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.463636139,-3.649681272,0.000343846,0.000224036,2.95405,3.06986,2.97702,3.07612
1991,199101,2.881740173,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.463099841,-3.648983266,0.000344271,0.000224397,2.95405,3.06986,2.97702,3.07612
2002,200201,3.430965973,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.461660869,-3.647110406,0.000345413,0.000225367,2.95405,3.06986,2.97702,3.07612
2013,201301,1.26496608,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.467335789,-3.654496466,0.000340929,0.000221566,2.95405,3.06986,2.97702,3.07612
2010,201001,1.522367328,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.466661398,-3.653618727,0.000341459,0.000222014,2.95405,3.06986,2.97702,3.07612
1980,198001,3.513923671,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.46144352,-3.64682752,0.000345586,0.000225513,2.95405,3.06986,2.97702,3.07612
