SURVEY_YEAR,CRUISE,MATURE_FEMALE_WEIGHTED_GEAR_TEMP,A_BASE,AT,AOS,B,BT,BOS,A_NS,A_OS,LOG10_A_NS,LOG10_A_OS,B_NS,B_OS
1975,197502,2.110104815,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.279677355,-3.106401995,0.000525197,0.000782705,2.849249815,2.773417745
1976,197601,1.271939229,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.214460001,-3.041184641,0.000610295,0.000909527,2.814029938,2.738197868
1976,197602,1.473050083,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.230108362,-3.056833002,0.000588697,0.000877338,2.822480654,2.746648584
1977,197703,1.622493894,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.24173653,-3.06846117,0.000573144,0.000854159,2.828760312,2.752928242
1978,197801,3.144918219,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.360195803,-3.186920443,0.000436319,0.000650249,2.892732871,2.816900801
1978,197802,3.370623491,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.377757847,-3.204482487,0.000419027,0.000624479,2.90221705,2.82638498
1979,197901,3.651019329,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.399575343,-3.226299983,0.000398497,0.000593882,2.913999336,2.838167266
1979,197902,3.791845288,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.410532959,-3.237257599,0.000388568,0.000579085,2.919916869,2.844084799
1980,198001,3.29399732,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.371795593,-3.198520233,0.000424819,0.000633111,2.898997203,2.823165133
1980,198002,3.405473594,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.38046952,-3.20719416,0.000416419,0.000620592,2.903681457,2.827849387
1981,198101,4.299670732,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.450046669,-3.276771309,0.000354775,0.000528724,2.941255791,2.865423721
1981,198103,3.539253494,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.390878885,-3.217603525,0.000406557,0.000605894,2.909302914,2.833470844
1982,198201,3.277201787,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.370488738,-3.197213378,0.0004261,0.000635019,2.898291452,2.822459382
1982,198203,3.482976769,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.386500014,-3.213224654,0.000410677,0.000612034,2.906938156,2.831106086
1983,198301,3.360405151,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.376962761,-3.203687401,0.000419795,0.000625623,2.901787673,2.825955603
1983,198303,3.660666544,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.400325989,-3.227050629,0.000397808,0.000592856,2.914404714,2.838572644
1984,198401,3.248762839,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.368275914,-3.195000554,0.000428276,0.000638263,2.897096442,2.821264372
1984,198402,2.869227763,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.338744431,-3.165469071,0.000458412,0.000683173,2.881148306,2.805316236
1985,198501,2.884369918,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.339922636,-3.166647276,0.00045717,0.000681322,2.881784582,2.805952512
1986,198601,2.074929791,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.276940399,-3.103665039,0.000528518,0.000787653,2.847771754,2.771939684
1986,198602,2.410362073,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.303040261,-3.129764901,0.000497691,0.000741712,2.861866682,2.786034612
1987,198701,3.704692424,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.403751627,-3.230476267,0.000394683,0.000588198,2.91625469,2.84042262
1988,198801,2.198090623,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.286523498,-3.113248138,0.000516983,0.000770463,2.852946996,2.777114926
1989,198901,2.55053768,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.313947273,-3.140671913,0.000485347,0.000723316,2.867756888,2.791924818
1990,199001,2.711661287,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.326484241,-3.153208881,0.000471537,0.000702734,2.874527332,2.798695262
1991,199101,2.946748878,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.34477632,-3.17150096,0.000452089,0.00067375,2.884405758,2.808573688
1992,199201,2.150006029,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.282782054,-3.109506694,0.000521456,0.000777129,2.850926472,2.775094402
1993,199301,2.871281624,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.338904241,-3.165628881,0.000458243,0.000682922,2.881234609,2.805402539
1994,199401,2.387010972,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.30122332,-3.12794796,0.000499777,0.000744821,2.860885465,2.785053395
1995,199501,1.977113724,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.269329367,-3.096054007,0.000537862,0.000801578,2.843661504,2.767829434
1996,199601,2.802880788,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.333581997,-3.160306637,0.000463893,0.000691343,2.878360393,2.802528323
1997,199701,2.569400913,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.315415014,-3.142139654,0.00048371,0.000720876,2.868549525,2.792717455
1998,199801,3.349027542,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.376077474,-3.202802114,0.000420652,0.000626899,2.901309584,2.825477514
