SURVEY_YEAR,CRUISE,MALE_WEIGHTED_GEAR_TEMP,A_BASE,ATR,AOS,B,BTR,BOS,A_NS,A_OS,LOG10_A_NS,LOG10_A_OS,B_NS,B_OS
1975,197502,0.858063444,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1976,197601,0.087527829,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1976,197602,0.765529728,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1977,197703,1.51214955,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1978,197801,1.614481102,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1978,197802,3.081748841,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.398517,-3.239668064,0.000399469,0.00057588,3.015052769,2.947748709
1979,197901,2.539137869,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.437447,-3.278598257,0.000365219,0.000526504,3.032888235,2.965584175
1979,197902,4.208831016,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.317653,-3.158804369,0.000481224,0.000693738,2.978005905,2.910701845
1980,198001,0.617402987,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1980,198002,2.790425435,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.419418,-3.260569367,0.000380699,0.000548821,3.024628485,2.957324425
1981,198101,3.375464514,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.377444,-3.218595124,0.00041933,0.000604512,3.00539842,2.93809436
1981,198103,1.842197608,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1982,198201,1.882754973,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1982,198203,1.588257187,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1983,198301,1.257009107,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
1983,198303,0.805691994,-3.61961982,0.07174605,0.15884845,3.11634896,-0.03286971,-0.06730406,-3.61962,-3.46077137,0.000240093,0.000346122,3.11634896,3.0490449
