SURVEY_YEAR,CRUISE,MATURE_FEMALE_WEIGHTED_GEAR_TEMP,A_BASE,AT,AOS,B,BT,BOS,A_NS,A_OS,LOG10_A_NS,LOG10_A_OS,B_NS,B_OS
1975,197502,1.239996814,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.089199623,-3.167409737,0.00081433,0.000680127,2.790802084,2.864491014
1976,197601,-0.01135241,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.160039115,-3.159323087,0.000691769,0.00069291,2.829644615,2.903333545
1976,197602,1.627211396,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.067279216,-3.169912051,0.000856487,0.00067622,2.778782742,2.852471672
1977,197703,1.59693034,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.068993441,-3.169716365,0.000853113,0.000676525,2.779722682,2.853411612
1978,197801,2.844644884,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-2.998359709,-3.177779527,0.001003784,0.00066408,2.740992974,2.814681904
1978,197802,3.756502458,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-2.946739005,-3.183672265,0.001130475,0.00065513,2.71268844,2.78637737
1979,197901,2.918407106,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-2.994183994,-3.178256204,0.001013482,0.000663352,2.738703356,2.812392286
1979,197902,3.873275076,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-2.94012845,-3.18442689,0.001147814,0.000653993,2.709063758,2.782752688
1980,198001,1.161900157,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.093620713,-3.16690505,0.000806082,0.000680918,2.793226245,2.866915175
1980,198002,3.374840035,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-2.968345102,-3.181205831,0.00107561,0.000658862,2.72453544,2.79822437
1981,198101,3.694189754,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-2.950266558,-3.183269579,0.00112133,0.000655738,2.714622659,2.788311589
1981,198103,2.944149452,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-2.992726707,-3.17842256,0.001016888,0.000663098,2.7379043,2.81159323
1982,198201,2.569915918,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.013912251,-3.176004133,0.000968474,0.0006668,2.749520704,2.823209634
1982,198203,2.838020957,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-2.998734693,-3.177736721,0.001002918,0.000664146,2.741198584,2.814887514
1983,198301,2.385619586,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.024345356,-3.174813147,0.000945485,0.000668632,2.755241358,2.828930288
1983,198303,2.414052267,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.022735768,-3.174996889,0.000948996,0.000668349,2.754358792,2.828047722
1984,198401,1.998252393,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.046274403,-3.172309846,0.000898929,0.000672497,2.767265437,2.840954367
1984,198402,1.643347861,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.066365722,-3.170016331,0.00085829,0.000676058,2.778281858,2.851970788
1985,198501,0.197824992,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.14819748,-3.160674863,0.00071089,0.000690757,2.823151639,2.896840569
1986,198601,-0.531608856,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.189491088,-3.15596101,0.000646411,0.000698295,2.845793645,2.919482575
1986,198602,0.33984772,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.140157504,-3.161592663,0.000724173,0.000689299,2.81874318,2.89243211
1987,198701,2.064456629,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.042526549,-3.172737681,0.000906721,0.000671835,2.765210423,2.838899353
1988,198801,0.634366785,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.123484635,-3.163495947,0.000752515,0.000686284,2.809601155,2.883290085
1989,198901,2.541050123,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.015546357,-3.175817593,0.000964836,0.000667087,2.750416713,2.824105643
1990,199001,1.468409821,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.076269051,-3.168885821,0.00083894,0.00067782,2.783712026,2.857400956
1991,199101,1.511030659,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.073856264,-3.169161251,0.000843614,0.00067739,2.782389053,2.856077983
1992,199201,0.859823608,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.110721414,-3.164952927,0.000774959,0.000683986,2.802602858,2.876291788
1993,199301,1.245137442,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.088908609,-3.167442958,0.000814876,0.000680075,2.790642516,2.864331446
1994,199401,-0.093878776,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.164710974,-3.158789773,0.000684367,0.000693762,2.832206276,2.905895206
1995,199501,0.588442751,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.126084418,-3.16319917,0.000748024,0.000686753,2.811026661,2.884715591
1996,199601,2.755031848,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.003432747,-3.177200416,0.000992127,0.000664966,2.743774609,2.817463539
1997,199701,1.699701258,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.063175529,-3.170380506,0.000864618,0.000675491,2.776532619,2.850221549
1998,199801,1.978407397,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.047397838,-3.172181601,0.000896607,0.000672695,2.767881436,2.841570366
1999,199901,0.501459903,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.131008559,-3.162637057,0.000739591,0.000687643,2.813726654,2.887415584
2000,200001,0.299249287,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.142455801,-3.161330302,0.000720351,0.000689715,2.820003377,2.893692307
2001,200101,1.466087689,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.076400508,-3.168870814,0.000838686,0.000677843,2.783784106,2.857473036
2002,200201,2.297540204,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.029331573,-3.174243947,0.000934692,0.000669508,2.757975387,2.831664317
2003,200301,3.585346872,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-2.956428207,-3.182566198,0.001105533,0.000656801,2.718001199,2.791690129
2004,200401,1.304348428,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.085556646,-3.1678256,0.000821189,0.000679476,2.788804577,2.862493507
2005,200501,1.885287669,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.052669391,-3.171579829,0.00088579,0.000673628,2.77077192,2.84446085
2006,200601,0.437785891,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.134613176,-3.162225573,0.000733478,0.000688295,2.815703128,2.889392058
2007,200701,0.213644006,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.147301958,-3.160777091,0.000712358,0.000690594,2.822660609,2.896349539
2008,200801,0.501048033,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.131031875,-3.162634395,0.000739551,0.000687647,2.813739439,2.887428369
2009,200901,0.494021673,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.131429641,-3.162588988,0.000738874,0.000687719,2.81395754,2.88764647
2010,201001,0.26001505,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.144676871,-3.161076757,0.000716676,0.000690118,2.821221228,2.894910158
2011,201101,1.561928027,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.070974939,-3.169490168,0.000849229,0.000676877,2.780809172,2.854498102
2012,201201,0.51081818,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.130478783,-3.162697533,0.000740493,0.000687547,2.813436168,2.887125098
2013,201301,1.196391946,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.091668116,-3.167127948,0.000809714,0.000680569,2.792155602,2.865844532
2014,201401,2.358352337,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.025888969,-3.174636936,0.00094213,0.000668903,2.756087747,2.829776677
2015,201501,2.173140807,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.036373884,-3.173440036,0.000919657,0.000670749,2.761836809,2.835525739
2016,201601,3.047668352,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-2.986866451,-3.179091534,0.001030703,0.000662077,2.73469102,2.80837995
2017,201701,1.107995522,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.096672281,-3.166556699,0.000800438,0.000681465,2.794899473,2.868588403
2018,201801,3.219321576,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-2.977149078,-3.180200817,0.001054025,0.000660388,2.729362814,2.803051744
2019,201901,2.452549107,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.020556443,-3.175245668,0.00095377,0.000667966,2.75316383,2.82685276
2021,202101,2.385726905,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.024339281,-3.17481384,0.000945498,0.00066863,2.755238026,2.828926956
2022,202201,-0.153894791,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.16810851,-3.158401929,0.000679034,0.000694381,2.834069204,2.907758134
2023,202301,-0.563072246,-3.15939645,0.05661049,-0.11415455,2.82929223,-0.03104052,0.07368893,-3.191272246,-3.155757683,0.000643766,0.000698622,2.846770285,2.920459215
