SURVEY_YEAR,CRUISE,MALE_WEIGHTED_GEAR_TEMP,A_BASE,AT,AT_OS,AOS,A_NS,A_OS,log10_A_NS,log10_A_OS,B
1975,197502,1.851192842,-3.38775,0.00216,0.00466,0.02593,-3.383751423,-3.349194865,0.000413284,0.000447512,3.12765
1976,197601,0.244903177,-3.38775,0.00216,0.00466,0.02593,-3.387221009,-3.36014976,0.000409995,0.000436365,3.12765
1976,197602,1.140500549,-3.38775,0.00216,0.00466,0.02593,-3.385286519,-3.354041786,0.000411826,0.000442546,3.12765
1977,197703,0.948003262,-3.38775,0.00216,0.00466,0.02593,-3.385702313,-3.355354618,0.000411432,0.00044121,3.12765
1978,197801,3.887449604,-3.38775,0.00216,0.00466,0.02593,-3.379353109,-3.335307594,0.000417491,0.000462054,3.12765
1978,197802,3.197739178,-3.38775,0.00216,0.00466,0.02593,-3.380842883,-3.340011419,0.000416061,0.000457076,3.12765
1979,197901,6.424415547,-3.38775,0.00216,0.00466,0.02593,-3.373873262,-3.318005486,0.000422792,0.000480833,3.12765
1979,197902,4.276806215,-3.38775,0.00216,0.00466,0.02593,-3.378512099,-3.332652182,0.0004183,0.000464887,3.12765
1980,198001,2.600918667,-3.38775,0.00216,0.00466,0.02593,-3.382132016,-3.344081735,0.000414828,0.000452812,3.12765
1980,198002,2.118299953,-3.38775,0.00216,0.00466,0.02593,-3.383174472,-3.347373194,0.000413833,0.000449394,3.12765
1981,198101,4.595558619,-3.38775,0.00216,0.00466,0.02593,-3.377823593,-3.33047829,0.000418964,0.00046722,3.12765
1981,198103,4.274975545,-3.38775,0.00216,0.00466,0.02593,-3.378516053,-3.332664667,0.000418296,0.000464874,3.12765
1982,198201,0.409573064,-3.38775,0.00216,0.00466,0.02593,-3.386865322,-3.359026712,0.000410331,0.000437495,3.12765
1982,198203,0.991266021,-3.38775,0.00216,0.00466,0.02593,-3.385608865,-3.355059566,0.00041152,0.00044151,3.12765
1983,198301,3.610671966,-3.38775,0.00216,0.00466,0.02593,-3.379950949,-3.337195217,0.000416916,0.00046005,3.12765
1983,198303,3.663464691,-3.38775,0.00216,0.00466,0.02593,-3.379836916,-3.336835171,0.000417026,0.000460431,3.12765
1984,198401,3.612324976,-3.38775,0.00216,0.00466,0.02593,-3.379947378,-3.337183944,0.00041692,0.000460062,3.12765
