SURVEY_YEAR,CRUISE,MALE_WEIGHTED_GEAR_TEMP,A_BASE,AT,AT_OS,AOS,B,BT,BOS,BT_OS,A_NS,A_OS,log10_A_NS,log10_A_OS,B_NS,B_OS
1976,197601,0.548294818,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.548765424,-3.246540131,0.000282641,0.000566839,3.220848824,3.085893953
1978,197801,1.496789692,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.517570035,-3.183373237,0.00030369,0.000655582,3.207009202,3.054132331
1979,197902,2.2,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.494441898,-3.136541554,0.000320301,0.000730228,3.196748562,3.030584392
1979,197901,2.556066312,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.482731105,-3.112828613,0.000329055,0.000771208,3.191553149,3.018661034
1980,198001,0.293624094,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.557141381,-3.263500432,0.000277242,0.000545129,3.22456476,3.094421944
1980,198002,2,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.50101977,-3.14986095,0.000315486,0.000708172,3.19966679,3.03728166
1981,198103,1.659621143,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.512214613,-3.172529154,0.000307458,0.000672157,3.204633306,3.048679702
1982,198201,0.892811086,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.537434505,-3.223596388,0.000290112,0.00059759,3.215821938,3.074357364
1982,198203,0.821436575,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.539781967,-3.228349715,0.000288548,0.000591085,3.216863374,3.076747436
1983,198303,1.061311531,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.531892633,-3.212374767,0.000293838,0.000613233,3.213363325,3.068714901
1983,198301,1.452741854,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.51901874,-3.18630669,0.000302678,0.000651168,3.20765191,3.055607332
1984,198401,0.103968323,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.563379038,-3.276130934,0.000273288,0.000529504,3.227332054,3.100772821
1984,198402,-0.446551692,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.581485289,-3.312793904,0.000262129,0.000486638,3.235364768,3.119207722
1985,198501,0.185701314,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.560690893,-3.270687763,0.000274985,0.000536182,3.226139476,3.098035883
1986,198601,-0.314400561,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.577138923,-3.303993038,0.000264765,0.0004966,3.233436533,3.114782464
1986,198602,-0.437593012,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.581190644,-3.312197283,0.000262307,0.000487307,3.235234051,3.118907728
1987,198701,1.370398981,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.521726945,-3.191790476,0.000300797,0.000642998,3.208853387,3.058364694
1988,198801,0.335520806,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.555763425,-3.260710238,0.000278123,0.000548643,3.223953439,3.093018976
1989,198901,2.282120073,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.491741021,-3.131072605,0.000322299,0.000739482,3.195550337,3.027834491
1990,199001,0.040038742,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.565481641,-3.280388451,0.000271968,0.000524338,3.228264859,3.102913589
1991,199101,1.240749157,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.525991044,-3.200424763,0.000297858,0.000630341,3.210745125,3.062706192
1992,199201,-0.184388585,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.572862913,-3.295334633,0.000267385,0.0005066,3.23153951,3.110428839
