"SURVEY_YEAR","CRUISE","MALE_WEIGHTED_GEAR_TEMP"
1988,198801,2.56687379368476213298916747799326111398
1992,199201,1.98322242596323256382509733103413090454
2001,200101,3.5587966213766573816749259612705466914
2012,201201,0.2578431599209492844529783628545804878225
1986,198601,1.51619299745246815105915568650859089411
1989,198901,2.67704631032691405930895654549780497733
1991,199101,2.88174017338205723452394944701886816685
2002,200201,3.43096597308194003321112543801943056153
2013,201301,1.26496608037098118176184854605302592459
2010,201001,1.52236732836261018295067377238526182748
1980,198001,3.51392367100930007096030320847703633275
1978,197801,3.1353673490760208515228410622389797129
1985,198501,2.75975822399879523965929111350244553796
1984,198401,3.38554804573641067655872262285892613055
2018,201801,4.18003064684454027220265887049573234795
1977,197703,2.10787788324481936738382020329338653717
1982,198203,3.06367550153585601882842136367705617839
1983,198301,3.62161658781202341623926709794891044602
1987,198701,3.46286233949448788042667522662538386125
1998,199801,3.13116743375904439282506227841204526213
1999,199901,2.09998005774248098973271015968940675115
2000,200001,2.6101532559818364890049771587337046686
2011,201101,2.50110048179635687528572787733967421394
2015,201501,4.08914413084243205276033859101534071196
2021,202101,3.81819158224400630069965390908664799827
1984,198402,2.37694666671884309115647221247127254654
1994,199401,1.89344505686989222729524207058411055982
1975,197502,1.61801217533810759863664279673507204493
1981,198103,3.82012535761168598083657345578434676265
1981,198101,4.22426460936043690381366090164896552251
1983,198303,3.68736918371269328562165773653881553177
1979,197902,3.96772925324472357533598132335668976191
1980,198002,3.15885467757880429915298725197483540174
1993,199301,2.7772393933008518053208976281947504764
2016,201601,4.78071839308702399032948325737915735698
2022,202201,2.74485829617135589162997551152566758451
1997,199701,2.62867685523091137848790648388046994236
1976,197602,1.76655365286375675244755904283538766235
1978,197802,3.51169972855719686734733498109762177751
1996,199601,2.9761153652998683267156658726877945569
2003,200301,4.08590510580288791814351635141983808121
2004,200401,3.48302436674044909353711625374970144621
2014,201401,3.30048606392052634445493007217281388952
2019,201901,4.32108162002137518463529849461672618937
2023,202301,3.15549346684619758157881049240860165583
1982,198201,3.1573521746186335365982937371366044397
1990,199001,2.37913924444921507827055052609865848578
2005,200501,3.50843269597752614282192698011494328581
2007,200701,1.4979010508355352977533543448462015776
2006,200601,2.22686841368072998056711883902117431796
2008,200801,1.94569424972499250777553749205643371244
1979,197901,3.72346344018111427483091936614118580041
1986,198602,2.28952996392384255341385421666371260445
1995,199501,1.88395296657489189765072044920307684942
2009,200901,1.90961545359497874396796728339565807468
2017,201701,3.14829628890350045313687612032362289904
1976,197601,-0.5676195452084484061358039303652812121476
