"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.width","log10.weight","log.width","log.weight","Cooks_D","SC"
"2469",2251,-3451,200701,88,109,"D-18",68560,2,NA,55.5,2,4,1,5,52,NA,NA,"2007",1.74429298312268,1.7160033436348,4.01638302075239,3.95124371858143,0.00686320158229509,"NS"
"2731",2250,-3451,200701,88,109,"D-18",68560,2,NA,58.9,2,4,1,6,58,NA,NA,"2007",1.7701152947871,1.76342799356294,4.07584109065754,4.06044301054642,1.59075378485846e-05,"NS"
"2890",2255,-3451,200701,88,109,"D-18",68560,2,NA,60.7,2,4,1,5,68,NA,NA,"2007",1.78318869107526,1.83250891270624,4.10594369806545,4.21950770517611,0.00560267795048439,"NS"
"2906",NA,-16542,201701,94,77,"B-05",68560,2,NA,60.8,2,4,1,5,60,NA,NA,"2017",1.78390357927273,1.77815125038364,4.10758978897212,4.0943445622221,0.00283056724384588,"NS"
"2999",2242,-3451,200701,88,109,"D-18",68560,2,NA,62,2,4,1,5,70,NA,NA,"2007",1.79239168949825,1.84509804001426,4.12713438504509,4.24849524204936,0.00163330439588634,"NS"
"3039",NA,-17680,201801,162,74,"B-01",68560,2,NA,62.5,2,4,1,6,70,NA,NA,"2018",1.79588001734408,1.84509804001426,4.13516655674236,4.24849524204936,0.000339295941288291,"NS"
"3093",NA,-19246,201901,162,70,"B-02",68560,2,NA,63,2,4,1,2,72,NA,NA,"2019",1.79934054945358,1.85733249643127,4.14313472639153,4.27666611901606,0.000507235243571797,"NS"
"3099",NA,-17680,201801,162,74,"B-01",68560,2,NA,63.1,2,4,1,6,78,NA,NA,"2018",1.80002935924413,1.89209460269048,4.14472076954717,4.35670882668959,0.00788192954761665,"NS"
"3128",NA,-17681,201801,162,75,"B-02",68560,2,NA,63.4,2,0,0,1,70,NA,NA,"2018",1.80208925788173,1.84509804001426,4.14946386144318,4.24849524204936,0.00033051646156929,"NS"
"3145",2244,-3451,200701,88,109,"D-18",68560,2,NA,63.6,2,4,1,4,76,NA,NA,"2007",1.80345711564841,1.88081359228079,4.15261347034608,4.33073334028633,0.00200268477632509,"NS"
